,artist,title,stream_count
3203,teen,the way & the color,1999963
3204,life without buildings,any other city,4387908
3206,sza,z,157888397
3207,lockah,yahoo or the highway,700135
3208,plague vendor,free to eat,2098573
3209,duck sauce,quack,16142895
3212,purling hiss,dizzy polizzy,7774
3214,slint,spiderland,11201812
3215,ratking,so it goes,6826035
3216,jessica lea mayfield,make my head sing...,3674238
3217,dj q,ineffable,481616
3219,the afghan whigs,do to the beast,10975307
3223,howler,world of joy,400374
3224,woods,with light and with love,9620988
3225,the both,the both,1477344
3227,ghetto ghouls,ghetto ghouls,0
3228,impetuous ritual,unholy congregation of hypocritical ambivalence,75602
3230,school of language,old fears,1317148
3231,downliners sekt,silent ascent,551469
3232,deleted scenes,lithium burn,165919
3233,triptykon,melana chasmata,2225472
3234,ema,the future's void,2762691
3235,chuck inglish,convertibles,8639912
3236,cute heels,spiritual,19861
3237,golden retriever,seer,137297
3238,tweens,tweens,771155
3239,mobb deep,the infamous,302353809
3241,the skull defekts,dances in dreams of the known unknown,95486
3242,sohn,tremors,75782971
3245,off!,wasted years,2906245
3246,fireworks,"oh, common life",4041367
3247,pyrrhon,the mother of virtues,88439
3248,loops haunt,exits,76704
3249,todd terje,it's album time,45069332
3250,protomartyr,under color of official right,5607588
3251,young & sick,young & sick,1787023
3252,dalhous,visibility is a trap,52042
3255,the faint,doom abuse,2413745
3256,teebs,e s t a r a,7688432
3257,white hinterland,baby,1019673
3258,sage the gemini,remember me,266280585
3259,sisyphus,sisyphus ,6517210
3260,the body,i shall die here,537423
3261,millie & andrea,drop the vowels,61985
3262,s. carey,range of light,14185968
3263,nux vomica,nux vomica,78179
3264,max richter,memoryhouse,19903952
3266,legowelt,crystal cult 2080,1014451
3267,orcas,yearling,370332
3268,architecture in helsinki,now + 4eva,10035461
3269,mac demarco,salad days,333323578
3270,pure x,angel,2118641
3271,torn hawk,through force of will,145983
3272,manchester orchestra,cope,22200623
3273,ausmuteants,amusements,149294
3274,cloud nothings,here and nowhere else,15005018
3275,miles davis,miles at the fillmore - miles davis 1970: the bootleg series vol. 3,2843926
3277,bart davenport,physical world,636614
3278,gang wizard,important picnic,0
3279,the hold steady,teeth dreams,3104207
3281,2ne1,crush,70487940
3282,chimurenga renaissance,rize vadzimu rize,109166
3283,pilgrim,ii: void worship,77014
3284,johnny cash,out among the stars,85728024
3285,glenn kotche,adventureland,209185
3286,the bad plus,the rite of spring,860101
3288,horseback,piedmont apocrypha,0
3289,yg,my krazy life,589509754
3291,smoke dza,dream.zone.achieve,2761367
3292,carla bozulich,boy,212860
3293,twilight,iii: beneath trident's tomb,54477
3294,future islands,singles,146560521
3295,lavender country,lavender country,253330
3296,owls,two,394304
3297,tony molina,dissed and dismissed,2132982
3298,grieves,winter & the wolves,19397696
3299,liars,mess,5751894
3300,kevin gates,by any means,204176632
3302,dutch e germ,in.rak.dust,81344
3304,skrillex,recess,313440933
3307,tokyo police club,forcefield,18571298
3308,jon porras,light divide,61881
3309,black lips,underneath the rainbow,9499563
3311,current 93,i am the last of all the field that fell: a channel ,393889
3312,offenders,endless struggle,104255
3313,vertical scratchers,daughter of everything,308949
3314,kevin drew,darlings,2576922
3315,the coathangers,suck my shirt,3039609
3316,woo,when the past arrives,6333
3317,vermont,vermont,78374
3318,lyla foy,mirrors the sky,4830593
3319,the war on drugs,lost in the dream,210407792
3320,kid cudi,satellite flight: the journey to mother moon,47552981
3321,tycho,awake,118902850
3322,beth israel,dental denial,89196
3323,psalm zero,the drain,31772
3324,perfect pussy,say yes to love,2197362
3326,shit robot,we got a love,1525049
3328,bo anders persson,love is here to stay,23649
3332,the unsemble,the unsemble,39979
3333,ringworm,hammer of the witch,1516178
3335,unwound,rat conspiracy,2167219
3336,elbow,the take off and landing of everything,26430093
3338,posse,soft opening,730805
3339,dean wareham,dean wareham,611160
3341,peter walker,"second poem to karmela"" or gypsies are important",42906
3343,dodsferd,the parasitic survival of the human race,7876
3344,frankie cosmos,zentropy,17932783
3345,sun araw,belomancie,2413
3346,hauschka,abandoned city,964339
3347,thou,heathen,966396
3348,tensnake,glow,28955854
3349,metronomy,love letters,64434293
3350,eagulls,eagulls,4522218
3352,axxa/abraxas,axxa/abraxas,204083
3353,cynic,kindly bent to free us,2146106
3356,linda perhacs,the soul of all natural things,597818
3357,eternal summers,the drop beneath,774490
3358,laibach,spectre,2728789
3359,rick ross,mastermind,209001789
3360,nothing,guilty of everything,5682792
3364,various artists,warfaring strangers: darkscorch canticles,371762
3365,drive-by truckers,english oceans,7658276
3366,perc,the power and the glory,139689
3367,empty flowers,the air you found,7296
3368,whomadewho,dreams,11066326
3369,the men,tomorrow's hits,1452867
3370,thug entrancer,death after life,94201
3371,patten,estoile naiant ,267465
3374,real estate,atlas,81616451
3378,death vessel,island intervals,1949476
3379,schoolboy q,oxymoron,792834904
3380,the hotelier,"home, like noplace is there",19219332
3381,ricky eat acid,three love songs,1681432
3382,ava luna,electric balloon,1485301
3383,com truise,wave 1,7460251
3384,the notwist,close to the glass,3433572
3385,moodymann,moodymann,20394437
3387,skaters,manhattan,4538449
3389,wild beasts,present tense,20757171
3390,superchunk,indoor living,581042
3391,behemoth,the satanist,33702303
3392,christina vantzou,no. 2,3052182
3393,the souljazz orchestra,inner fire,4273324
3394,beck,morning phase,164739647
3395,damaged bug,hubba bubba,952300
3396,ramesh,the king,107470
3397,homeboy sandman,white sands,252960
3398,tacocat,nvm,3526702
3399,st. vincent,st. vincent,85637135
3400,neneh cherry,blank project,2729216
3402,dena,flash,977783
3403,bleeding rainbow,interrupt,221756
3404,morrissey,your arsenal,14885214
3405,new bums,voices in a rented room,1525
3407,slough feg,digital resistance,225383
3408,yautja,songs of descent,343113
3409,untold,black light spiral,67332
3412,kalle mattson,"someday, the moon will be gold",412062
3413,various artists,acid arab collections,713550
3414,guided by voices,motivational jumpsuit,712408
3415,shocking pinks,guilt mirrors,76636
3416,illum sphere,ghosts of then and now,1202995
3417,culted,oblique to all paths,24151
3418,junius,days of the fallen sun,1203107
3419,phantogram,voices,114817441
3420,hurray for the riff raff,small town heroes,16136427
3421,leyland kirby,breaks my heart each time,20793
3422,solids,blame confusion,516097
3424,angel olsen,burn your fire for no witness,53535433
3426,lydia loveless,somewhere else,3451955
3427,neil finn,dizzy heights,1132145
3428,cheatahs,cheatahs,1619100
3429,container,adhesive,157375
3431,band of horses,acoustic at the ryman,33483275
3432,planningtorock,all love's legal,4344431
3434,isaiah rashad,cilvia demo,126853321
3435,nina persson,animal heart,6148103
3436,helms alee,sleepwalking sailors,1055366
3437,mantar,death by burning,1278474
3438,lo-fang,blue film,61249952
3442,afterhours,lowlife,22285
3443,temples,sun structures,43255322
3444,cibo matto,hotel valentine,1801999
3446,modern baseball,you're gonna miss it all,91194295
3448,dog bite,tranquilizers,152869
3449,katy b,little red,31325062
3450,tinariwen,emmaar,9593377
3451,total slacker,slip away,139166
3452,gridlink,longhena,253554
3453,thumpers,galore,5135572
3454,marissa nadler,july,24307154
3456,feadz,instant alpha,412492
3457,white rainbow,thru.u,104237
3459,mark mcguire,along the way,1681028
3460,have a nice life,the unnatural world,2152879
3461,gardens & villa,dunes,4773366
3462,cheveu,bum,252716
3463,guardian alien,spiritual emergency,58966
3464,xiu xiu,angel guts: red classroom,946933
3468,woodsman,woodsman,120804
3469,broken bells,after the disco,116248051
3470,bombay bicycle club,"so long, see you tomorrow",116542242
3471,aztec camera,"high land, hard rain",5186815
3473,aa,voyaager,27641
3474,sun kil moon,benji,26557905
3475,snowbird,moon,846693
3476,lost in the trees,past life,1935599
3477,bohren & der club of gore,piano nights,5377085
3478,cymbals,the age of fracture,1292742
3479,ceo,wonderland,1472260
3480,maximo park,too much information,8234332
3481,ty dolla $ign,beach house ep,203848396
3482,david first,electronic works 1976-1977,2215
3483,julie byrne,rooms with walls and windows,8829131
3484,uncle tupelo,no depression: legacy edition,6633591
3485,quilt,held in splendor,3018672
3486,tink,winter's diary 2,22349474
3487,jess williamson,native state,152666
3489,lambchop,nixon,5066073
3490,bibio,the green ep,3438798
3491,supreme cuts,divine ecstasy,371960
3492,stefan jaworzyn,drained of connotation,0
3493,gem club,in roses,11958484
3495,actress,ghettoville,2256811
3496,pontiak,innocence,786202
3498,demilich,20th adversary of emptiness,252299
3499,dum dum girls,too true,5512141
3500,cities aviv,come to life,2240611
3501,hospitality,trouble,9570273
3502,morgan delt,morgan delt,8212393
3504,against me!,transgender dysphoria blues,27633097
3505,jeremy jay,abandoned apartments,295051
3506,tara jane o'neil,where shine new lights,1643240
3507,drowners,drowners,8222686
3508,step brothers,lord steppington,2442922
3509,bill callahan,have fun with god,1104217
3510,nils frahm,spaces,30600744
3511,damien jurado,brothers and sisters of the eternal son,14473664
3512,indian,from all purity,369974
3513,michael yonkers,michael lee yonkers,0
3514,warpaint,warpaint,62918403
3518,shy boys,shy boys,871709
3520,james vincent mcmorrow,post tropical,81814133
3521,doug paisley,strong feelings,120893
3522,alcest,shelter,5405778
3523,graze,edges,159001
3524,mogwai,rave tapes,13488998
3525,various artists,killed by deathrock: vol. 1,764184
3528,guerilla toss,gay disco,229059
3529,hiss golden messenger,bad debt,5034855
3531,i break horses,chiaroscuro,2761170
3532,big ups,eighteen hours of static,1674844
3533,lee bannon,alternate / endings,176342
3534,the velvet underground,white light/white heat,10529066
3535,you blew it!,keep doing what you're doing,5420914
3537,audion,audion x,559562
3538,nina kraviz,mr. jones,1388948
3540,kool a.d.,not o.k.,96487
3544,disclosure,settle: the remixes,361878714
3547,painted palms,forever,2668503
3548,the gories,the shaw tapes: live in detroit 5/27/88,257473
3549,bruce springsteen,high hopes,37902424
3550,ariel pink,early live recordings,863143
3551,roc marciano,marci beaucoup,1800361
3552,blank realm,grassed inn,590445
3553,lanterns on the lake,until the colours run,1412538
3555,angel haze,dirty gold,36887348
3556,self defense family,try me,443995
3557,big business,battlefields forever,2188375
