reviewid,genre,count_of_genre
22421,rap,1
22385,rock,1
22384,rap,1
22418,pop/r&b,1
22326,metal,1
22366,rap,1
22367,rock,1
22402,rock,1
22382,,0
22383,electronic,1
22408,electronic,1
22407,rock,1
22312,jazz,1
22381,electronic,1
22357,metal,1
22061,experimental,1
22293,rap,1
22310,experimental,1
22398,rock,2
22398,experimental,2
22403,rap,1
22397,rock,1
22359,rock,1
22365,electronic,1
22358,jazz,2
22358,experimental,2
22300,experimental,1
22335,rap,1
22379,metal,1
22360,rock,1
22336,rock,1
22283,,0
22303,electronic,1
22306,rock,1
22396,global,2
22396,pop/r&b,2
22343,rock,1
22305,experimental,1
22238,,0
22350,rock,1
22356,experimental,1
22112,electronic,1
22309,folk/country,1
22345,experimental,1
22255,global,1
22327,experimental,1
22288,rock,1
22364,rap,1
22380,folk/country,1
22355,rock,1
22289,rock,1
22290,electronic,1
22330,folk/country,2
22330,electronic,2
22361,rap,1
22284,rock,1
22354,pop/r&b,1
22351,pop/r&b,1
22363,rap,1
22281,electronic,1
22342,jazz,1
22352,electronic,1
22322,electronic,1
22287,rock,1
22344,rap,1
22286,,0
22212,experimental,1
22353,rap,1
22349,rock,1
22337,,0
21989,rock,1
22282,rock,1
22332,rock,2
22332,electronic,2
22333,experimental,1
22277,experimental,1
22329,rap,1
22338,rock,2
22338,pop/r&b,2
22341,rock,3
22341,experimental,3
22341,electronic,3
22271,jazz,1
22319,rock,2
22319,rap,2
22331,rock,1
22325,electronic,1
22320,rock,2
22320,experimental,2
22296,rap,1
22243,electronic,1
22328,rock,1
22279,folk/country,1
22256,rock,1
22340,rap,1
22251,rock,1
22257,electronic,1
22132,rap,1
22254,rock,1
22252,electronic,1
22260,experimental,1
22321,electronic,1
22280,rap,1
22231,electronic,1
22311,folk/country,1
22295,pop/r&b,1
22285,,0
22249,experimental,1
22258,experimental,1
22211,rap,1
22223,rock,1
22276,,0
22237,electronic,1
22273,pop/r&b,1
22274,rap,1
22241,rock,1
22233,experimental,1
22248,rock,1
22236,electronic,1
22242,rock,1
22239,global,3
22239,jazz,3
22239,rap,3
22174,pop/r&b,1
22267,rap,1
22270,rock,2
22270,experimental,2
22230,experimental,1
22169,rock,1
22246,electronic,1
22272,rock,1
22227,,0
22228,rock,1
22245,rock,1
22210,rap,1
22264,rock,1
22263,rock,1
22265,electronic,1
22261,rap,1
22234,electronic,1
22226,rock,1
22262,,0
22193,pop/r&b,1
22244,rock,1
22217,rock,1
22232,rap,1
22020,rap,1
22215,rock,1
22225,electronic,1
22220,,0
22131,rock,1
22221,rap,1
22247,rock,1
22198,folk/country,1
22214,electronic,1
22185,rock,1
22207,electronic,1
22189,electronic,1
22240,rap,1
22150,rock,1
22197,electronic,1
22213,rock,1
22208,electronic,1
22202,,0
22219,,0
22206,pop/r&b,1
22151,electronic,1
22137,,0
22200,,0
22216,electronic,1
22209,electronic,1
22170,pop/r&b,2
22170,electronic,2
22139,rock,1
22218,rap,1
22182,electronic,1
22203,experimental,1
22044,pop/r&b,1
22186,rock,1
22204,rap,1
22188,jazz,2
22188,experimental,2
22205,metal,1
22191,rap,2
22191,pop/r&b,2
22199,rap,1
22195,electronic,1
22148,electronic,1
22196,rock,2
22196,metal,2
22201,rap,1
22187,folk/country,1
22179,rock,1
22149,rock,1
22152,,0
22192,electronic,1
22165,,0
22163,pop/r&b,1
22143,electronic,1
22183,electronic,1
22178,rock,1
22168,rock,1
22145,experimental,1
22142,metal,1
22184,electronic,1
22162,experimental,1
22107,rock,1
22159,jazz,2
22159,pop/r&b,2
22118,,0
22194,rock,1
22133,metal,1
22173,global,1
22113,experimental,1
22190,electronic,1
22172,global,1
22180,pop/r&b,1
22136,rap,1
22181,folk/country,1
22130,electronic,1
22177,rap,1
22147,rock,2
22147,metal,2
22175,electronic,1
22129,metal,1
22157,rap,1
22128,,0
22160,rap,1
22098,rock,2
22098,metal,2
22167,rap,1
22171,rap,1
21886,pop/r&b,1
22154,rock,1
22166,,0
22043,rap,1
22161,rap,1
22123,rock,1
22144,rock,1
22176,pop/r&b,1
22119,electronic,1
22121,rap,1
22126,,0
22158,rock,3
22158,experimental,3
22158,electronic,3
22156,pop/r&b,1
22135,rap,1
22106,global,1
22140,rock,1
22120,experimental,1
22110,pop/r&b,1
22138,rap,1
22127,metal,1
22109,jazz,1
22117,electronic,1
22125,rock,2
22125,electronic,2
22155,experimental,1
22101,rap,1
22103,experimental,1
22116,rock,1
22124,electronic,1
22087,electronic,1
21924,rock,1
22073,rock,1
22141,rap,1
22062,electronic,1
22108,,0
22075,pop/r&b,1
22111,rock,1
22122,experimental,1
22105,electronic,1
22094,rap,1
22090,electronic,1
22064,,0
22102,experimental,1
22093,experimental,1
22100,electronic,1
22095,rock,1
22114,electronic,1
22057,pop/r&b,1
22097,experimental,1
22088,experimental,1
22099,metal,1
