artist,title,neg,neu,pos,compound
monster rally,mystery cove,0.026,0.8420000000000001,0.132,0.994
"steve reich, terry riley",six pianos / keyboard study #1,0.032,0.868,0.1,0.9962
justice,woman,0.047,0.755,0.199,0.9991
demdike stare,wonderland,0.052000000000000005,0.8440000000000001,0.104,0.993
bully fae,defy a thing to be,0.07,0.8270000000000001,0.103,0.9859
rainbow arabia,l.a. heartbreak,0.048,0.833,0.12,0.9921
kate bush,before the dawn,0.064,0.7829999999999999,0.153,0.9993
e-40,the d-boy diary books 1 & 2,0.054000000000000006,0.855,0.091,0.9882
meredith monk,on behalf of nature,0.05,0.8390000000000001,0.111,0.9943
pavo pavo,young narrator in the breakers,0.042,0.818,0.14,0.995
via app,sixth stitch,0.043,0.863,0.094,0.9879
ice cube,death certificate,0.116,0.7959999999999999,0.08800000000000001,-0.9993
dawn richard,redemption,0.041,0.916,0.044,0.3716
"oneida, rhys chatham",what's your sign?,0.016,0.92,0.065,0.9775
sarah davachi,vergers,0.047,0.882,0.071,0.9603
vicky chow,a o r t a,0.029,0.8690000000000001,0.102,0.9888
"gucci mane, future",free bricks 2: zone 6 edition,0.069,0.833,0.098,0.9695
gillian welch,boots no. 1: the official revival bootleg,0.051,0.866,0.084,0.9829
jeff rosenstock,worry.,0.128,0.7809999999999999,0.091,-0.996
kristin hersh,wyatt at the coyote palace,0.067,0.815,0.119,0.989
metallica,hardwired...to self-destruct,0.098,0.7909999999999999,0.11,0.9508
porter ricks,shadow boat ep,0.055,0.852,0.094,0.9785
mike watt,ring spiel tour 95,0.032,0.853,0.115,0.9986
daniel bachman,daniel bachman,0.03,0.8370000000000001,0.133,0.9938
autechre,incunabula,0.041,0.89,0.069,0.9873
body/head,no waves,0.067,0.807,0.126,0.9895
his name is alive,patterns of light,0.044,0.836,0.12,0.9946
radian,on dark silent off,0.057,0.852,0.091,0.8907
flasher,flasher ep,0.053,0.8290000000000001,0.118,0.9913
leonard cohen,im your man,0.096,0.763,0.141,0.9989
tinashe,nightride,0.052000000000000005,0.836,0.112,0.9947
various artists,"the microcosm: visionary music of continental europe, 1970-1986",0.039,0.833,0.128,0.998
papa m,highway songs,0.05,0.867,0.083,0.9538
yaroze dream suite,yaroze dream suite,0.046,0.848,0.107,0.9759
thee oh sees,an odd entrances,0.05,0.888,0.061,0.4854
lorenzo senni,persona ep,0.049,0.897,0.055,0.4478
marching church,telling it like it is,0.075,0.8220000000000001,0.103,0.9514
devonwho,luz,0.055,0.858,0.087,0.8902
a tribe called quest,we got it from here... thank you 4 your service,0.048,0.875,0.077,0.9897
sad13,slugger,0.065,0.767,0.168,0.9983
j.g. biberkopf,ecologies ii: ecosystems of excess,0.067,0.82,0.112,0.986
animals as leaders,the madness of many,0.071,0.785,0.14400000000000002,0.9933
washington phillips,washington phillips and his manzarene dreams,0.054000000000000006,0.8240000000000001,0.123,0.9961
dedekind cut,$uccessor (ded004),0.061,0.867,0.073,0.7796
michael mayer,&,0.028,0.768,0.204,0.9996
mantra percussion,michael gordon: timber remixed,0.032,0.8370000000000001,0.131,0.9979
french montana,mc4,0.06,0.7929999999999999,0.147,0.9976
hart valley drifters,folk time,0.059,0.863,0.078,0.8779
emeli sand,long live the angels,0.084,0.828,0.087,0.2357
ken thomson,restless,0.034,0.873,0.093,0.9809
philip glass,the complete sony recordings,0.02,0.861,0.12,0.9995
bibi bourelly,free the real (pt. 2),0.059,0.825,0.116,0.9909
loscil,monument builders,0.115,0.8220000000000001,0.062,-0.9896
peter stampfel,holiday for strings,0.056,0.789,0.155,0.9979
"okkyung lee, christian marclay",amalgam,0.023,0.8759999999999999,0.101,0.9922
minutemen,double nickels on the dime,0.054000000000000006,0.86,0.086,0.9976
various artists,bleed for this ost,0.078,0.8170000000000001,0.105,0.9699
the men,devil music,0.073,0.865,0.062,-0.8702
oren ambarchi,hubris,0.046,0.8809999999999999,0.07200000000000001,0.9253
jacuzzi boys,ping pong,0.081,0.8240000000000001,0.094,0.9054
hudson mohawke,ded sec - watch dogs 2 (ost),0.066,0.784,0.15,0.9963
kool a.d.,have a nice dream,0.071,0.805,0.123,0.9809
rachel's,systems/layers,0.037000000000000005,0.828,0.136,0.9989
helmet,dead to the world,0.077,0.816,0.107,0.9884
alicia keys,here,0.038,0.852,0.11,0.9945
topaz jones,arcade,0.044,0.8240000000000001,0.132,0.9948
gaika,spaghetto,0.067,0.818,0.114,0.9916
uniform,ghosthouse ,0.077,0.828,0.095,0.611
the chainsmokers,collage ,0.039,0.875,0.086,0.9922
tyvek,origin of what,0.018000000000000002,0.905,0.077,0.9888
tim buckley,"lady, give me your key: the unissued 1967 solo acoustic sessions",0.075,0.841,0.083,0.7877
mary halvorson,away with you,0.022,0.901,0.077,0.9846
sleigh bells,jessica rabbit,0.061,0.823,0.115,0.9947
jeezy,trap or die 3,0.122,0.777,0.101,-0.9564
shirley collins,lodestar,0.084,0.826,0.09,0.5548
kadhja bonet,the visitor ,0.039,0.847,0.114,0.9903
soft hair,soft hair,0.057,0.816,0.127,0.9914
jim james,eternally even,0.041,0.87,0.09,0.987
a$ap mob,cozy tapes vol. 1: friends-,0.034,0.8170000000000001,0.149,0.9989
lou barlow,apocalypse fetish,0.06,0.846,0.093,0.9673
mannequin pussy,romantic,0.114,0.7759999999999999,0.109,-0.1714
abba,arrival,0.083,0.775,0.142,0.9991
fugees,blunted on reality,0.057,0.87,0.073,0.9597
"sun ra, merzbow",strange city (cd),0.056,0.818,0.126,0.9916
oddcouple,liberation,0.045,0.843,0.112,0.9918
the dean ween group,the deaner album,0.051,0.84,0.109,0.9845
common,black america again,0.07200000000000001,0.8059999999999999,0.122,0.9967
ricky eat acid,talk to you soon,0.092,0.8340000000000001,0.07400000000000001,-0.9382
rich the kid,keep flexin,0.053,0.8170000000000001,0.13,0.9948
carla dal forno,you know what its like,0.056,0.805,0.139,0.9902
pussy riot,xxx,0.142,0.7809999999999999,0.078,-0.996
huerco s.,qtt4,0.083,0.852,0.065,-0.8555
otis redding,live at the whiskey a go go: the complete recordings,0.036000000000000004,0.8440000000000001,0.121,0.9987
the olympians,the olympians,0.029,0.818,0.153,0.998
meek mill,dc4,0.07400000000000001,0.8170000000000001,0.11,0.9852
miles davis quintet,"freedom jazz dance: the bootleg series, vol. 5",0.015,0.862,0.123,0.9985
kassem mosse,disclosure,0.068,0.828,0.104,0.98
the dillinger escape plan,dissociation,0.065,0.8540000000000001,0.081,-0.2569
public image ltd,metal box,0.086,0.787,0.127,0.998
american wrestlers,goodbye terrible youth,0.097,0.797,0.105,0.7027
tove lo,lady wood,0.093,0.79,0.117,0.9732
steve hauschildt,strands,0.034,0.843,0.123,0.9944
lambchop,flotus,0.042,0.802,0.157,0.9991
roman flgel,all the right noises,0.059,0.8420000000000001,0.099,0.9803
dj rude one,onederful,0.107,0.799,0.094,-0.6447
syrinx,tumblers from the vault (19701972),0.034,0.868,0.098,0.9941
khemmis,hunted,0.105,0.8170000000000001,0.077,-0.926
bob dylan,blood on the tracks,0.045,0.8490000000000001,0.106,0.9993
joe budden,rage & the machine,0.073,0.79,0.13699999999999998,0.9917
