artist,title
massive attack,mezzanine
krallice,prelapsarian
uranium club,all of them naturals
"kleenex, liliput",first songs
taso,new start
various artists,insecure (music from the hbo original series)
little simz,stillness in wonderland
yotam avni,tehillim
brian eno,reflection
the lox,filthy america its beautiful
harry bertoia,clear sounds/perfetta
run the jewels,run the jewels 3
steven warwick,nadir
yasiin bey,december 99th
"smoke dza, pete rock",don't smoke rock
various artists,punk45: les punks: the french connection (the first wave of french punk 1977-80)
senyawa,brnshj (puncak)
"chance the rapper, jeremih",merry christmas lil mama
jamire williams,///// effectual
the-dream,love you to death
worm ouroboros,what graceless dawn
nine inch nails,not the actual events ep
elder ones,holy science
the microphones,"early tapes, 1996-1998"
ben frost,the wasp factory
kacey musgraves,a very kacey christmas
jay som,turn into
rashad becker,traditional music of notional species vol. ii
ray charles,swiss radio days vol. 41 - zurich 1961
ab-soul,do what thou wilt.
pantera,the great southern trendkill
gucci mane,the return of east atlanta santa
mica levi,jackie ost
kid cudi,"passion, pain & demon slayin"
sammus,pieces in space
hodgy,fireplace: thenottheotherside
jeff parker,slight freedom
a-trak,in the loop: a decade of remixes
jess williamson,heart song
kevin abstract,american boyfriend: a suburban love story
adr,throat
deadmau5,w:/2016album/
jessy lanza,oh no no no remixes ep
peter broderick,grunewald
qasim naqvi,chronology
post malone,stoney
bob dylan,bob dylan: the 1966 live recordings
"ricardo villalobos, umho",melo de melo ep
peder mannerfelt,equality now ep
j. cole,4 your eyez only
pink floyd,the early years 1965-1972
flume,skin companion ep i
gaye su akyol,hologram mparatorluu
jeff buckley,sketches for my sweetheart the drunk
various artists,the hamilton mixtape
saba,bucket list project
various artists,bobo yy: belle poque in upper volta
simian mobile disco,welcome to sideways
gas,box
kodie shane,zero gravity ep
the orchestra of syrian musicians,africa express presents... the orchestra of syrian musicians & guests
blessed initiative,blessed initiative
neil young,peace trail
soundgarden,badmotorfinger
nick hook,relationships
kjartan sveinsson,der klang der offenbarung des gttlichen
the rolling stones,blue & lonesome
"gucci mane, lil uzi vert",1017 vs. the world
young male,how to disappear in america
alex izenberg,harlequin
childish gambino,"awaken, my love"
fetty wap,zoovier
miranda lambert,the weight of these wings
denitia and sene,love and noir.
john legend,darkness and light
"yoko ono, john lennon",unfinished music no. 1: two virgins
coldcut,only heaven
"joan as police woman, benjamin lazar davis",let it be you
brand new,the devil and god are raging inside me
sun ra,singles
dungen,hxan
"mica levi, oliver coates",remain calm
jay daniel,broken knowz
r.e.m.,out of time
bruno mars,24k magic
keita sano,keita sano
tredici bacci,amore per tutti
burial,young death / nightmarket
yg,red friday
you blew it!,abendrot
suzanne kraft,what you get for being young
the weeknd,starboy
various artists,"pc music, vol. 2"
monster rally,mystery cove
"steve reich, terry riley",six pianos / keyboard study #1
justice,woman
demdike stare,wonderland
bully fae,defy a thing to be
rainbow arabia,l.a. heartbreak
kate bush,before the dawn
e-40,the d-boy diary books 1 & 2
meredith monk,on behalf of nature
pavo pavo,young narrator in the breakers
via app,sixth stitch
ice cube,death certificate
dawn richard,redemption
"oneida, rhys chatham",what's your sign?
sarah davachi,vergers
vicky chow,a o r t a
"gucci mane, future",free bricks 2: zone 6 edition
gillian welch,boots no. 1: the official revival bootleg
jeff rosenstock,worry.
kristin hersh,wyatt at the coyote palace
metallica,hardwired...to self-destruct
porter ricks,shadow boat ep
mike watt,ring spiel tour 95
daniel bachman,daniel bachman
autechre,incunabula
body/head,no waves
his name is alive,patterns of light
radian,on dark silent off
flasher,flasher ep
leonard cohen,im your man
tinashe,nightride
various artists,"the microcosm: visionary music of continental europe, 1970-1986"
papa m,highway songs
yaroze dream suite,yaroze dream suite
thee oh sees,an odd entrances
lorenzo senni,persona ep
marching church,telling it like it is
devonwho,luz
a tribe called quest,we got it from here... thank you 4 your service
sad13,slugger
j.g. biberkopf,ecologies ii: ecosystems of excess
animals as leaders,the madness of many
washington phillips,washington phillips and his manzarene dreams
dedekind cut,$uccessor (ded004)
michael mayer,&
mantra percussion,michael gordon: timber remixed
french montana,mc4
hart valley drifters,folk time
emeli sand,long live the angels
ken thomson,restless
philip glass,the complete sony recordings
bibi bourelly,free the real (pt. 2)
loscil,monument builders
peter stampfel,holiday for strings
"okkyung lee, christian marclay",amalgam
minutemen,double nickels on the dime
various artists,bleed for this ost
the men,devil music
oren ambarchi,hubris
jacuzzi boys,ping pong
hudson mohawke,ded sec - watch dogs 2 (ost)
kool a.d.,have a nice dream
rachel's,systems/layers
helmet,dead to the world
alicia keys,here
topaz jones,arcade
gaika,spaghetto
uniform,ghosthouse 
the chainsmokers,collage 
tyvek,origin of what
tim buckley,"lady, give me your key: the unissued 1967 solo acoustic sessions"
mary halvorson,away with you
sleigh bells,jessica rabbit
jeezy,trap or die 3
shirley collins,lodestar
kadhja bonet,the visitor 
soft hair,soft hair
jim james,eternally even
a$ap mob,cozy tapes vol. 1: friends-
lou barlow,apocalypse fetish
mannequin pussy,romantic
abba,arrival
fugees,blunted on reality
"sun ra, merzbow",strange city (cd)
oddcouple,liberation
the dean ween group,the deaner album
common,black america again
ricky eat acid,talk to you soon
rich the kid,keep flexin
carla dal forno,you know what its like
pussy riot,xxx
huerco s.,qtt4
otis redding,live at the whiskey a go go: the complete recordings
the olympians,the olympians
meek mill,dc4
miles davis quintet,"freedom jazz dance: the bootleg series, vol. 5"
kassem mosse,disclosure
the dillinger escape plan,dissociation
public image ltd,metal box
american wrestlers,goodbye terrible youth
tove lo,lady wood
steve hauschildt,strands
lambchop,flotus
roman flgel,all the right noises
dj rude one,onederful
syrinx,tumblers from the vault (19701972)
khemmis,hunted
bob dylan,blood on the tracks
joe budden,rage & the machine
gord downie,secret path
roy montgomery,r m h q: headquarters
"patrick cowley, candida royalle",candida cosmica
d.r.a.m.,big baby d.r.a.m.
the radio dept.,running out of love
luis,dreamt takes
donny mccaslin,beyond now
various artists,lazarus ost
david crosby,lighthouse
jojo,mad love.
n.m.o.,nordic mediterranean organization / numerous miscommunications occur
american football,american football
sleaford mods,t.c.r. ep
jubilee,after hours
crying,beyond the fleeting gales
lady gaga,joanne
tanya tagaq,retribution
oval,popp
jonathan finlayson & sicilian defense,moving still
leonard cohen,you want it darker
male bonding,headache
savoy motel,savoy motel
oozing wound,whatever forever
from indian lakes,everything feels better now
ramones,end of the century
jimmy eat world,integrity blues
various artists,say yes! a tribute to elliott smith
meshuggah,the violent sleep of reason
axis: sova,motor earth
gucci mane,woptober
moby & the void pacific choir,these systems are failing 
kag,ep a
gods wisdom,self restraint
kings of leon,walls
katie gately,color
jagwar ma,every now & then
matt kivel,fires on the plain
