artist,album,year,critic_score,user_score,comment
ben ufo,Fabriclive 67: Ben UFO,"Feb 12, 2013",84,8.0,
esben and the witch,Older Terrors,"Nov 4, 2016",78,tbd,
esben and the witch,A New Nature,"Sep 9, 2014",69,tbd,
esben and the witch,Thought Forms/Ebsen & The Witch,"Apr 22, 2014",75,tbd,
esben and the witch,Wash the Sins Not Only the Face,"Jan 22, 2013",66,6.6,
esben and the witch,Violet Cries,"Feb 8, 2011",64,6.1,
mountains,Centralia,"Jan 22, 2013",83,7.2,
mountains,Air Museum,"May 10, 2011",70,tbd,
mountains,Choral,"Feb 17, 2009",83,7.5,
nightlands,I Can Feel the Night Around Me,"May 5, 2017",76,tbd,
nightlands,Oak Island,"Jan 22, 2013",70,tbd,
mike shiflet,,,,,artist not found!
the traditional fools,,,,,artist not found!
hilly eye,Reasons To Live,"Jan 22, 2013",56,tbd,
alasdair roberts & friends,,,,,artist not found!
camper van beethoven,El Camino Real,"Jun 3, 2014",66,8.5,
camper van beethoven,La Costa Perdida,"Jan 22, 2013",64,8.0,
camper van beethoven,New Roman Times,"Oct 12, 2004",68,8.3,
brokeback,Brokeback and the Black Rock,"Jan 22, 2013",68,tbd,
brokeback,Looks At The Bird,"Jan 21, 2003",68,tbd,
free energy,Love Sign,"Jan 15, 2013",67,6.0,
free energy,Stuck On Nothing,"May 4, 2010",76,8.6,
mouse on tha track,,,,,artist not found!
retribution gospel choir,2,"Jan 26, 2010",78,tbd,
mystical weapons,Mystical Weapons,"Jan 15, 2013",76,tbd,
arbouretum,Song of the Rose,"Mar 24, 2017",79,tbd,
arbouretum,Coming Out of the Fog,"Jan 22, 2013",70,tbd,
arbouretum,Aureola,"Apr 10, 2012",65,tbd,
arbouretum,The  Gathering,"Feb 15, 2011",75,tbd,
arbouretum,Song Of The Pearl,"Mar 10, 2009",72,tbd,
arbouretum,Rites Of Uncovering,"Jan 23, 2007",74,tbd,
shugo tokumaru,In Focus?,"Jan 22, 2013",79,8.2,
shugo tokumaru,Port Entropy,"Feb 15, 2011",71,8.0,
shugo tokumaru,Exit,"Sep 2, 2008",88,8.7,
"the congos, sun araw, m. geddes gengras",,,,,artist not found!
masta killa,Selling My Soul,"Dec 11, 2012",62,2.7,
masta killa,Made In Brooklyn,"Aug 8, 2006",66,7.3,
masta killa,No Said Date,"Jun 1, 2004",86,8.3,
ethernet,,,,,artist not found!
dj nature,,,,,artist not found!
stars of the lid,And Their Refinement Of The Decline,"Apr 7, 2007",87,7.2,
frankie knuckles,Maestro,"Mar 12, 2004",36,tbd,
tall firs,Out of It and Into It,"Jan 29, 2013",68,tbd,
tall firs,Too Old To Die Young,"Mar 18, 2008",68,tbd,
holopaw,"Academy Songs, Vol. 1","Jan 15, 2013",66,tbd,
holopaw,Oh Glory Oh Wilderness,"Nov 24, 2009",75,tbd,
holopaw,Quit +/or Fight,"Aug 9, 2005",74,tbd,
holopaw,Holopaw,"Jan 21, 2003",85,7.9,
l. pierre,1948-,"Apr 28, 2017",56,tbd,
l. pierre,Dip,"Feb 6, 2007",63,tbd,
pantha du prince & the bell laboratory,,,,,artist not found!
pro era,,,,,artist not found!
"mats gustafsson, colin stetson",,,,,artist not found!
tall ships,Impressions,"Feb 10, 2017",81,8.3,
tall ships,Everything Touching,"Oct 16, 2012",74,tbd,
the heartbreakers,,,,,artist not found!
billow observatory,,,,,artist not found!
three legged race,,,,,artist not found!
florian hecker,,,,,artist not found!
broadcast,Berberian Sound Studio,"Jan 8, 2013",75,8.2,
broadcast,Future Crayon,"Aug 22, 2006",76,tbd,
broadcast,Tender Buttons,"Sep 20, 2005",76,8.7,
broadcast,Haha Sound,"Aug 12, 2003",82,8.7,
broadcast,The Noise Made By People,"Apr 18, 2000",81,8.2,
incantation,,,,,artist not found!
theologian,,,,,artist not found!
starkey,Orbits,"Dec 4, 2012",51,tbd,
sigha,Living with Ghosts,"Dec 4, 2012",75,tbd,
taco leg,,,,,artist not found!
rich kidz,,,,,artist not found!
gate,,,,,artist not found!
dangelo,Black Messiah,"Dec 15, 2014",95,8.7,
 prurient,,,,,artist not found!
window twins,,,,,artist not found!
estasy,,,,,artist not found!
raglani,Of Sirens Born,"Sep 16, 2008",76,tbd,
big boi,SuperFly,"Jun 13, 2018",52,5.5,
big boi,Baby Driver,"Jun 28, 2017",86,7.8,
big boi,Who's Your Caddy?,"Jul 27, 2007",18,2.6,
big boi,Idlewild,"Aug 25, 2006",55,7.9,
charles mingus,,,,,artist not found!
cold pumas,The  Hanging Valley,"Aug 19, 2016",68,tbd,
captain murphy,,,,,artist not found!
jozef van wissem & jim jarmusch,,,,,artist not found!
girls aloud,Ten,"Nov 26, 2012",79,5.9,
girls aloud,Out Of Control,"Nov 3, 2008",63,8.4,
starred,,,,,artist not found!
memory tapes,Grace/Confusion,"Dec 4, 2012",73,6.6,
memory tapes,Player Piano,"Jul 5, 2011",67,5.5,
memory tapes,Seek Magic,"Nov 9, 2009",86,8.7,
saint etienne,Home Counties,"Jun 2, 2017",79,7.1,
saint etienne,Words & Music by Saint Etienne,"May 29, 2012",82,7.9,
saint etienne,Tales From Turnpike House,"Jan 24, 2006",79,8.7,
saint etienne,Finisterre,"Oct 22, 2002",73,8.8,
saint etienne,Interlude,"Mar 20, 2001",76,7.2,
saint etienne,Sound of Water,"Jun 6, 2000",80,7.2,
stubborn heart,Stubborn Heart,"Nov 5, 2012",52,6.2,
von,,,,,artist not found!
roomful of teeth,,,,,artist not found!
nidingr,,,,,artist not found!
wu block,Wu Block,"Nov 27, 2012",69,5.4,
forgotten tomb,,,,,artist not found!
dragged into sunlight,Widowmaker,"Nov 6, 2012",82,tbd,
"tim hecker, daniel lopatin",,,,,artist not found!
