artist,album,year,critic_score,user_score,comment
tyga,The  Gold Album: 18th Dynasty,"Jun 23, 2015",45,3.3,
tyga,Fan of a Fan: The Album,"Feb 24, 2015",46,4.8,
tyga,Hotel California,"Apr 9, 2013",50,3.8,
tyga,Careless World: Rise of the Last King,"Feb 21, 2012",64,5.1,
failure,The Heart Is a Monster,"Jun 30, 2015",78,8.2,
wolf alice,Visions of a Life,"Sep 29, 2017",81,8.4,
wolf alice,My Love Is Cool,"Jun 23, 2015",78,8.8,
lucki eck$,,,,,artist not found!
bilal,In Another Life,"Jun 30, 2015",78,8.1,
bilal,A Love Surreal,"Feb 26, 2013",82,8.5,
bilal,Airtight's Revenge,"Sep 14, 2010",87,8.6,
bilal,1st Born Second,"Jul 17, 2001",82,8.8,
london o'connor,,,,,artist not found!
kronos quartet,Landfall,"Feb 16, 2018",85,6.9,
kronos quartet,Ladilikan,"Sep 15, 2017",84,tbd,
kronos quartet,Folk Songs,"Jun 9, 2017",72,tbd,
kronos quartet,A Thousand Thoughts,"Jun 25, 2014",70,tbd,
kronos quartet,Glenn Kotche: Adventureland,"Mar 25, 2014",71,tbd,
kronos quartet,Bryce Dessner: Aheym,"Nov 5, 2013",77,tbd,
kronos quartet,Steve Reich: WTC 9/11,"Sep 20, 2011",74,tbd,
mutoid man,Bleeder,"Jun 30, 2015",79,tbd,
thundercat,Drank,"Mar 16, 2018",70,tbd,
thundercat,Drunk,"Feb 24, 2017",80,8.0,
thundercat,The Beyond/Where the Giants Roam [EP],"Jun 23, 2015",81,7.3,
thundercat,Apocalypse,"Jul 9, 2013",83,8.3,
thundercat,The Golden Age of Apocalypse,"Aug 29, 2011",80,8.2,
main attrakionz,"808s & Dark Grapes, Vol. 3","Jun 30, 2015",77,tbd,
main attrakionz,Bossalinis & Fooliyones,"Oct 22, 2012",71,tbd,
main attrakionz,808s & Dark Grapes II,"Nov 30, -0001",tbd,tbd,
blawan,Wet Will Always Dry,"Jun 22, 2018",80,tbd,
everything everything,A Fever Dream,"Aug 18, 2017",81,8.2,
everything everything,Get to Heaven,"Jun 22, 2015",80,8.6,
everything everything,Arc,"Jan 14, 2013",79,8.3,
everything everything,Man Alive,"Aug 30, 2010",72,8.3,
the armed,,,,,artist not found!
refused,Freedom,"Jun 30, 2015",69,6.6,
bully,Losing,"Oct 20, 2017",74,6.6,
bully,Feels Like,"Jun 23, 2015",77,8.3,
pete rock,Don't Smoke Rock,"Dec 2, 2016",81,7.0,
pete rock,PeteStrumentals 2,"Jun 23, 2015",73,tbd,
pete rock,NY's Finest,"Feb 26, 2008",69,tbd,
