artist,album,year,critic_score,user_score,comment
blaqstarr,,,,,artist not found!
hello echo,,,,,artist not found!
ben + vesper,HONORS,"Jan 25, 2011",66,tbd,
essie jain,,,,,artist not found!
young the giant,Home of the Strange,"Aug 12, 2016",76,8.3,
young the giant,Mind Over Matter,"Jan 21, 2014",67,7.9,
young the giant,Young the Giant,"Jan 25, 2011",58,8.4,
exploding star orchestra,,,,,artist not found!
my disco,Little Joy,"Jan 25, 2011",72,tbd,
we are the lilies,,,,,artist not found!
men,Talk About Body,"Feb 1, 2011",65,tbd,
dark party,,,,,artist not found!
esg,Keep On Moving,"Jul 4, 2006",71,tbd,
esg,Step Off,"Sep 2, 2002",71,tbd,
esg,A South Bronx Story,"May 19, 2000",84,8.6,
apex manor,The Year of Magical Drinking,"Jan 25, 2011",77,tbd,
the octopus project,Fever Forms,"Jul 9, 2013",83,8.0,
wanda jackson,Unfinished Business,"Oct 9, 2012",76,tbd,
wanda jackson,The Party Ain't Over,"Jan 25, 2011",66,7.9,
eleven tigers,,,,,artist not found!
lia ices,Ices,"Sep 16, 2014",60,tbd,
lia ices,Grown Unknown,"Jan 25, 2011",75,tbd,
celebration,Albumin,"Aug 19, 2014",62,tbd,
celebration,Celebration,"Oct 11, 2005",77,tbd,
cold war kids,L.A. Divine,"Apr 7, 2017",49,6.6,
cold war kids,Hold My Home,"Oct 21, 2014",55,7.6,
cold war kids,Dear Miss Lonelyhearts,"Apr 2, 2013",66,7.6,
cold war kids,Mine Is Yours,"Jan 25, 2011",55,6.8,
cold war kids,Behave Yourself [EP],"Jan 19, 2010",66,8.2,
cold war kids,Loyalty To Loyalty,"Sep 23, 2008",66,8.3,
acrylics,Lives and Treasure,"Mar 1, 2011",69,tbd,
phil manley,House of Spirits,"Jun 10, 2014",67,tbd,
phil manley,Long Slow Dance,"Sep 4, 2012",76,tbd,
phil manley,Lost in the Glare,"Sep 13, 2011",84,tbd,
phil manley,Life Coach,"Jan 25, 2011",64,tbd,
the 1900s,Return of the Century,"Nov 2, 2010",75,tbd,
the get up kids,Problems,"May 10, 2019",79,tbd,
the get up kids,Kicker [EP],"Jun 8, 2018",70,tbd,
the get up kids,There Are Rules,"Jan 25, 2011",62,8.1,
the get up kids,Guilt Show,"Mar 2, 2004",70,8.4,
the get up kids,On A Wire,"May 14, 2002",69,7.7,
monotonix,Not Yet,"Jan 25, 2011",69,tbd,
monotonix,Where Were You When It Happened?,"Sep 8, 2009",64,tbd,
gunn truscinski duo,,,,,artist not found!
the jayhawks,Back Roads and Abandoned Motels,"Jul 13, 2018",75,tbd,
the jayhawks,Paging Mr. Proust,"Apr 29, 2016",77,8.1,
the jayhawks,Mockingbird Time,"Sep 20, 2011",70,tbd,
the jayhawks,Rainy Day Music,"Apr 8, 2003",73,8.8,
white lies,Five,"Feb 1, 2019",79,7.9,
white lies,Friends,"Oct 7, 2016",67,7.9,
white lies,Big TV,"Aug 20, 2013",64,8.2,
white lies,Ritual,"Jan 18, 2011",60,6.9,
white lies,To Lose My Life,"Mar 17, 2009",58,7.6,
daniel martin moore,In the Cool of the Day,"Jan 18, 2011",64,tbd,
louis c.k.,Baskets: Season 4,"Jun 13, 2019",85,7.0,
louis c.k.,Baskets: Season 3,"Jan 23, 2018",tbd,6.9,
louis c.k.,Family Guy: Season 16,"Oct 1, 2017",tbd,5.6,
louis c.k.,Better Things: Season 2,"Sep 14, 2017",96,7.3,
louis c.k.,Late Show with Stephen Colbert: Season 3,"Sep 5, 2017",tbd,tbd,
louis c.k.,Baskets: Season 2,"Jan 19, 2017",83,7.8,
louis c.k.,Conan (2010): Season 7,"Oct 31, 2016",tbd,tbd,
louis c.k.,Saturday Night Live: Season 42,"Oct 1, 2016",tbd,5.3,
louis c.k.,The Tonight Show Starring Jimmy Fallon: Season 4,"Sep 19, 2016",tbd,tbd,
louis c.k.,Better Things: Season 1,"Sep 8, 2016",80,7.8,
louis c.k.,Late Show with Stephen Colbert: Season 2,"Sep 6, 2016",tbd,tbd,
louis c.k.,Baskets: Season 1,"Jan 21, 2016",68,7.7,
louis c.k.,Portlandia: Season 6,"Jan 21, 2016",tbd,6.0,
louis c.k.,Jimmy Kimmel Live: Season 14,"Jan 4, 2016",tbd,tbd,
louis c.k.,Conan (2010): Season 6,"Nov 9, 2015",tbd,4.8,
louis c.k.,The Tonight Show Starring Jimmy Fallon: Season 3,"Sep 21, 2015",tbd,tbd,
louis c.k.,The Daily Show: Season 20,"Sep 29, 2014",tbd,7.3,
louis c.k.,Saturday Night Live: Season 40,"Sep 27, 2014",tbd,tbd,
louis c.k.,Late Night with Seth Meyers: Season 2,"Sep 23, 2014",tbd,tbd,
louis c.k.,The Tonight Show Starring Jimmy Fallon: Season 2,"Sep 22, 2014",tbd,tbd,
louis c.k.,Louie: Season 4,"May 5, 2014",93,8.7,
louis c.k.,The Tonight Show Starring Jimmy Fallon: Season 1,"Feb 18, 2014",65,6.3,
louis c.k.,The Daily Show: Season 19,"Sep 30, 2013",tbd,8.0,
louis c.k.,Saturday Night Live: Season 39,"Sep 28, 2013",tbd,7.3,
louis c.k.,The Tonight Show with Jay Leno: Season 22,"Jun 3, 2013",tbd,tbd,
louis c.k.,Parks and Recreation: Season 1,"Mar 6, 2013",58,7.8,
louis c.k.,Conan (2010): Season 3,"Nov 5, 2012",tbd,8.2,
louis c.k.,The Daily Show: Season 18,"Oct 1, 2012",tbd,tbd,
louis c.k.,Saturday Night Live: Season 38,"Sep 15, 2012",tbd,7.6,
louis c.k.,Louie: Season 3,"Jun 28, 2012",94,8.8,
faun fables,Born of the Sun,"Jul 22, 2016",63,tbd,
faun fables,Light of a Vaster Dark,"Nov 16, 2010",77,tbd,
"david banner, 9th wonder",,,,,artist not found!
the black heart procession,Six,"Oct 6, 2009",70,tbd,
the black heart procession,The Spell,"May 9, 2006",73,tbd,
the black heart procession,Amore del Tropico,"Oct 8, 2002",75,tbd,
black francis,Let the People Speak,"Apr 10, 2012",58,tbd,
black francis,The Golem,"Mar 15, 2011",68,tbd,
black francis,Pete Yorn,"Sep 28, 2010",69,7.9,
black francis,Non Stop Erotik,"Mar 30, 2010",70,8.4,
black francis,Bluefinger,"Sep 11, 2007",73,8.7,
imaginary softwoods,,,,,artist not found!
bardo pond,Vol. 8,"Feb 2, 2018",77,tbd,
bardo pond,Under the Pines,"Mar 24, 2017",77,tbd,
bardo pond,Peace on Venus,"Oct 29, 2013",78,tbd,
bardo pond,Bardo Pond,"Jan 11, 2011",71,tbd,
bardo pond,Dilate,"Apr 24, 2001",82,8.7,
n.e.r.d.,,,,,artist not found!
epstein,Rivington Não Rio,"May 12, 2015",76,tbd,
epstein,The Only She Chapters,"Apr 26, 2011",68,5.0,
epstein,Everything She Touched Turned Ampexian,"Apr 14, 2009",67,6.4,
epstein,Preparations,"Oct 23, 2007",64,tbd,
epstein,Security Screenings,"Feb 7, 2006",68,tbd,
epstein,Reads The Books [EP],"Jul 12, 2005",71,7.4,
epstein,Surrounded By Silence,"Mar 22, 2005",73,7.8,
epstein,One Word Extinguisher,"May 6, 2003",86,8.6,
giant sand,Returns to Valley of Rain,"Aug 10, 2018",75,tbd,
giant sand,Heartbreak Pass,"May 4, 2015",79,tbd,
giant sand,Tucson: A Country Rock Opera,"Jun 12, 2012",72,tbd,
giant sand,Blurry Blue Mountain,"Nov 23, 2010",73,tbd,
giant sand,proVISIONS,"Sep 2, 2008",73,8.6,
giant sand,Is All Over... The Map,"Sep 14, 2004",79,tbd,
giant sand,Cover Magazine,"Mar 19, 2002",71,7.6,
tapes 'n tapes,,,,,artist not found!
scientist,,,,,artist not found!
the parting gifts,Strychnine Dandelions,"Nov 9, 2010",77,tbd,
soft landing,,,,,artist not found!
the phantom band,Fears Trending,"Jan 26, 2015",76,tbd,
the phantom band,Strange Friend,"Jul 22, 2014",78,tbd,
jrgen paape,,,,,artist not found!
"shara worden, sarah kirkland snider, signal",,,,,artist not found!
floored by four,,,,,artist not found!
"the knife, planningtorock, mt. sims",,,,,artist not found!
ryan adams & the cardinals,,,,,artist not found!
callers,Reviver,"Oct 9, 2012",65,tbd,
sheek louch,,,,,artist not found!
koen holtkamp,Motion: Connected Works,"Mar 25, 2014",77,tbd,
blood red shoes,Get Tragic,"Jan 25, 2019",82,6.9,
blood red shoes,Blood Red Shoes,"Mar 3, 2014",64,7.3,
blood red shoes,In Time to Voices,"Jul 24, 2012",70,8.2,
blood red shoes,Fire Like This,"Mar 1, 2010",70,7.5,
residual echoes,,,,,artist not found!
miko,,,,,artist not found!
horsepower productions,,,,,artist not found!
the soft boys,Nextdoorland,"Sep 24, 2002",79,8.3,
gospel music,,,,,artist not found!
soft circle,,,,,artist not found!
robyn,Honey,"Oct 26, 2018",89,8.5,
robyn,Love Is Free [EP],"Aug 7, 2015",73,8.4,
robyn,Do It Again,"May 26, 2014",76,8.4,
robyn,Body Talk,"Nov 22, 2010",86,8.9,
robyn,"Body Talk, Pt. 2","Sep 7, 2010",76,8.8,
