artist,album,year,critic_score,user_score,comment
moon b,,,,,artist not found!
young widows,Easy Pain,"May 13, 2014",82,tbd,
young widows,In and Out of Youth and Lightness,"Apr 12, 2011",80,tbd,
iamsu!,,,,,artist not found!
sculpture,,,,,artist not found!
chromeo,Head Over Heels,"Jun 15, 2018",67,7.7,
chromeo,White Women,"May 12, 2014",66,7.7,
chromeo,Business Casual,"Sep 14, 2010",68,8.1,
chromeo,She's In Control,"Feb 17, 2004",72,8.4,
low pros,,,,,artist not found!
fatima,The Sheik and I,"Dec 7, 2012",51,tbd,
wooden wand,Clipper Ship,"May 5, 2017",76,tbd,
wooden wand,Farmer's Corner,"May 6, 2014",80,tbd,
wooden wand,Blood Oaths of the New Blues,"Jan 8, 2013",77,6.6,
wooden wand,Death Seat,"Oct 26, 2010",73,tbd,
planning for burial,,,,,artist not found!
the black keys,Let's Rock,"Jun 28, 2019",73,8.0,
the black keys,Turn Blue,"May 13, 2014",72,7.7,
the black keys,El Camino,"Dec 6, 2011",84,8.6,
the black keys,Brothers,"May 18, 2010",82,8.5,
the black keys,Attack & Release,"Apr 1, 2008",76,8.2,
the black keys,Magic Potion,"Sep 12, 2006",69,7.7,
the black keys,Rubber Factory,"Sep 7, 2004",81,8.8,
the black keys,thickfreakness,"Apr 8, 2003",74,8.5,
gruff rhys,Pang!,"Sep 13, 2019",80,tbd,
gruff rhys,Babelsberg,"Jun 8, 2018",82,8.1,
gruff rhys,Set Fire to the Stars [Original Motion Picture Soundtrack],"Sep 30, 2016",72,tbd,
gruff rhys,American Interior,"Nov 4, 2014",79,7.3,
gruff rhys,Hotel Shampoo,"May 3, 2011",74,7.8,
gruff rhys,Terror of Cosmic Loneliness,"Jul 27, 2010",55,tbd,
gruff rhys,Candylion,"Mar 6, 2007",80,8.3,
gruff rhys,Yr Atal Genhedlaeth,"Mar 15, 2005",69,8.6,
teitanblood,,,,,artist not found!
little dragon,Lover Chanting [EP],"Nov 9, 2018",64,tbd,
little dragon,Season High,"Apr 14, 2017",67,7.5,
little dragon,Nabuma Rubberband,"May 13, 2014",77,7.9,
little dragon,Ritual Union,"Jul 25, 2011",78,8.4,
