artist,album,year,critic_score,user_score,comment
cleaners from venus,,,,,artist not found!
the child of lov,The Child of Lov,"May 6, 2013",74,tbd,
alice in chains,Rainier Fog,"Aug 24, 2018",73,7.9,
alice in chains,The  Devil Put Dinosaurs Here,"May 28, 2013",70,7.9,
alice in chains,Black Gives Way To Blue,"Sep 29, 2009",69,8.8,
alice in chains,Live,"Dec 5, 2000",80,8.5,
hyetal,Modern Worship,"Jun 4, 2013",77,tbd,
grim tower,Anarchic Breezes,"May 21, 2013",72,tbd,
beacon,Escapements,"Feb 5, 2016",77,tbd,
beacon,The Ways We Separate,"Apr 30, 2013",67,tbd,
queens of the stone age,Villains,"Aug 25, 2017",81,7.7,
queens of the stone age,...Like Clockwork,"Jun 4, 2013",82,8.8,
queens of the stone age,Queens of the Stone Age [Reissue],"Jan 11, 2011",78,8.4,
queens of the stone age,Era Vulgaris,"Jun 12, 2007",75,8.4,
queens of the stone age,Lullabies To Paralyze,"Mar 22, 2005",78,8.6,
queens of the stone age,Songs For The Deaf,"Aug 27, 2002",89,8.9,
"rivers cuomo, scott murphy",,,,,artist not found!
agrimonia,,,,,artist not found!
human eye,,,,,artist not found!
cocorosie,Heartache City,"Oct 16, 2015",66,5.5,
cocorosie,Tales of a Grass Widow,"May 28, 2013",75,8.3,
cocorosie,Grey Oceans,"May 11, 2010",60,7.5,
cocorosie,The Adventures Of Ghosthorse And Stillborn,"Apr 10, 2007",60,6.9,
cocorosie,Noah's Ark,"Sep 13, 2005",67,7.7,
still corners,Slow Air,"Aug 17, 2018",66,tbd,
still corners,Dead Blue,"Sep 16, 2016",64,tbd,
still corners,Strange Pleasures,"May 7, 2013",70,8.0,
still corners,Creatures of an Hour,"Oct 11, 2011",78,7.7,
mount kimbie,Love What Survives,"Sep 8, 2017",82,7.9,
mount kimbie,Cold Spring Fault Less Youth,"May 28, 2013",81,8.2,
mount kimbie,Carbonated,"Jun 27, 2011",72,7.5,
the pastels,Slow Summits,"May 28, 2013",75,tbd,
kingdom,Tears in the Club,"Feb 24, 2017",73,tbd,
when saints go machine,Infinity Pool,"May 28, 2013",68,tbd,
when saints go machine,Konkylie,"Jun 21, 2011",74,tbd,
black host,,,,,artist not found!
saturday looks good to me,One Kiss Ends It All,"May 21, 2013",71,tbd,
club 8,Pleasure,"Nov 20, 2015",74,tbd,
club 8,Above the City,"May 21, 2013",74,tbd,
club 8,The People's Record,"May 18, 2010",67,tbd,
kisses,Kids in L.A.,"May 14, 2013",70,tbd,
the source family,,,,,artist not found!
octo octa,Resonant Body,"Sep 6, 2019",82,tbd,
octo octa,For Lovers [EP],"Mar 1, 2019",79,tbd,
survival,,,,,artist not found!
shannon and the clams,Onion,"Feb 16, 2018",81,7.8,
shannon and the clams,Gone by the Dawn,"Sep 11, 2015",74,tbd,
shannon and the clams,Dreams in the Rat House,"May 21, 2013",74,tbd,
daft punk,Random Access Memories,"May 21, 2013",87,8.3,
daft punk,Tron: Legacy Reconfigured,"Apr 5, 2011",59,8.1,
daft punk,Tron: Legacy,"Dec 7, 2010",71,8.4,
daft punk,Alive 2007,"Dec 4, 2007",78,8.8,
daft punk,Human After All,"Mar 15, 2005",57,7.4,
daft punk,Discovery,"Mar 13, 2001",74,8.9,
scout niblett,It's Up to Emma,"May 21, 2013",75,tbd,
scout niblett,The Calcination Of Scout Niblett,"Jan 26, 2010",78,7.5,
scout niblett,Kidnapped By Neptune,"May 10, 2005",71,tbd,
daniel menche,,,,,artist not found!
sqrl,,,,,artist not found!
mark lanegan & duke garwood,,,,,artist not found!
vr,No One Dances Quite Like My Brothers,"May 14, 2013",74,tbd,
cathedral,The Last Spire,"Apr 30, 2013",66,tbd,
dungeonesse,Dungeonesse,"May 14, 2013",70,tbd,
slava,Raw Solutions,"Apr 23, 2013",69,tbd,
john grant,Love Is Magic,"Oct 12, 2018",78,7.2,
john grant,"Grey Tickles, Black Pressure","Oct 9, 2015",82,7.6,
john grant,Pale Green Ghosts,"May 14, 2013",82,8.5,
john grant,Queen of Denmark,"Apr 6, 2010",75,tbd,
the breeders,All Nerve,"Mar 2, 2018",84,7.2,
the breeders,LSXX [Last Splash: 20th Anniversary Edition],"May 13, 2013",86,8.8,
the breeders,Mountain Battles,"Apr 8, 2008",75,8.2,
the breeders,Title TK,"May 21, 2002",71,8.4,
love,Black Beauty [Remastered],"Nov 11, 2014",81,tbd,
sadgiqacea,,,,,artist not found!
adult.,This Behavior,"Sep 7, 2018",81,tbd,
adult.,Detroit House Guests,"Mar 17, 2017",65,tbd,
adult.,The  Way Things Fall,"May 14, 2013",72,tbd,
adult.,Why Bother?,"Mar 20, 2007",71,tbd,
adult.,Gimmie Trouble,"Oct 11, 2005",65,8.8,
adult.,D.U.M.E. [EP],"Apr 12, 2005",64,tbd,
adult.,Anxiety Always,"Apr 8, 2003",72,8.9,
uncle acid and the deadbeats,The Night Creeper,"Sep 4, 2015",71,tbd,
