artist,album,year,critic_score,user_score,comment
ricardo villalobos,Dependent and Happy,"Sep 25, 2012",84,tbd,
ricardo villalobos,Re: ECM,"Sep 6, 2011",72,tbd,
mala,Mirrors,"Jun 24, 2016",73,tbd,
mala,Mala in Cuba,"Sep 11, 2012",75,8.3,
the soft pack,Strapped,"Sep 25, 2012",69,tbd,
the soft pack,The Soft Pack,"Feb 2, 2010",74,8.0,
kreayshawn,Somethin' 'Bout Kreay,"Sep 17, 2012",42,6.8,
lavender diamond,Incorruptible Heart,"Sep 25, 2012",76,tbd,
efterklang,Altid Sammen,"Sep 20, 2019",69,tbd,
efterklang,Piramida,"Sep 25, 2012",74,7.4,
efterklang,Magic Chairs,"Feb 23, 2010",73,8.4,
efterklang,Parades,"Nov 13, 2007",77,8.4,
ben folds five,Live,"Jun 4, 2013",62,tbd,
ben folds five,The  Sound of the Life of the Mind,"Sep 18, 2012",61,7.7,
winterfylleth,,,,,artist not found!
brother ali,All the Beauty in This Whole Life,"May 5, 2017",80,7.3,
brother ali,Mourning in America and Dreaming in Color,"Sep 18, 2012",80,7.8,
brother ali,Us,"Sep 22, 2009",83,8.8,
brother ali,The Truth Is Here [EP],"Mar 10, 2009",86,8.8,
brother ali,The Undisputed Truth,"Apr 10, 2007",74,8.3,
james iha,Mellon Collie and the Infinite Sadness [Deluxe Edition],"Dec 4, 2012",88,8.9,
james iha,Look to the Sky,"Sep 17, 2012",54,tbd,
james iha,Gish [Deluxe Edition],"Nov 29, 2011",87,8.8,
james iha,Siamese Dream [Deluxe Edition],"Nov 29, 2011",96,9.0,
sic alps,Sic Alps,"Sep 18, 2012",71,tbd,
sic alps,Napa Asylum,"Jan 25, 2011",71,tbd,
g.o.o.d. music,,,,,artist not found!
the sea and cake,Any Day,"May 11, 2018",70,7.0,
the sea and cake,Runner,"Sep 17, 2012",79,tbd,
the sea and cake,The  Moonlight Butterfly,"May 10, 2011",75,tbd,
the sea and cake,Car Alarm,"Oct 21, 2008",73,tbd,
the sea and cake,Everybody,"May 8, 2007",74,7.6,
the sea and cake,Glass [EP],"May 6, 2003",69,tbd,
the sea and cake,One Bedroom,"Jan 21, 2003",79,7.8,
the sea and cake,Oui,"Oct 3, 2000",75,7.8,
hooded menace,,,,,artist not found!
corin tucker band,Kill My Blues,"Sep 18, 2012",78,tbd,
holy other,Held,"Aug 27, 2012",75,7.8,
holy other,With U [EP],"Jun 6, 2011",82,tbd,
neil halstead,Stars Are Our Home,"Oct 22, 2013",69,tbd,
neil halstead,Palindrome Hunches,"Sep 11, 2012",72,tbd,
neil halstead,Oh! Mighty Engine,"Jul 29, 2008",69,8.2,
neil halstead,Sleeping On Roads,"Jan 22, 2002",70,tbd,
gaza,,,,,artist not found!
menomena,Moms,"Sep 18, 2012",81,7.7,
menomena,Mines,"Jul 27, 2010",74,8.1,
menomena,Friend And Foe,"Jan 23, 2007",78,8.7,
menomena,I Am The Fun Blame Monster,"Jun 20, 2003",82,8.8,
turbo fruits,No Control,"Apr 21, 2015",71,tbd,
turbo fruits,Butter,"Sep 11, 2012",69,tbd,
turbo fruits,Echo Kid,"Sep 29, 2009",67,tbd,
the music tapes,Music Tapes for Clouds & Tornadoes,"Aug 19, 2008",83,6.5,
"david byrne, st. vincent",,,,,artist not found!
the helio sequence,The  Helio Sequence,"May 19, 2015",73,6.8,
the helio sequence,Negotiations,"Sep 10, 2012",65,8.2,
the helio sequence,Keep Your Eyes Ahead,"Jan 29, 2008",73,7.7,
the helio sequence,Love And Distance,"Jun 8, 2004",70,7.8,
sondre lerche,Pleasure,"Mar 3, 2017",84,tbd,
sondre lerche,Please,"Sep 23, 2014",74,7.7,
sondre lerche,Bootlegs [Live],"Sep 4, 2012",65,tbd,
sondre lerche,Sondre Lerche,"Jun 7, 2011",70,tbd,
sondre lerche,Heartbeat Radio,"Sep 8, 2009",67,tbd,
sondre lerche,Phantom Punch,"Feb 6, 2007",75,7.9,
sondre lerche,Duper Sessions,"Mar 21, 2006",70,8.3,
sondre lerche,Two Way Monologue,"Mar 9, 2004",78,8.7,
the xx,I See You,"Jan 13, 2017",85,8.1,
the xx,Coexist,"Sep 11, 2012",79,8.1,
the xx,xx,"Oct 6, 2009",87,8.8,
jens lekman,Life Will See You Now,"Feb 17, 2017",83,7.8,
jens lekman,I Know What Love Isn't,"Sep 4, 2012",76,8.0,
jens lekman,An Argument with Myself [EP],"Sep 19, 2011",75,7.8,
jens lekman,Night Falls Over Kortedala,"Oct 9, 2007",80,8.8,
jens lekman,Oh You're So Silent Jens,"Nov 22, 2005",79,8.1,
patterson hood,English Oceans,"Mar 4, 2014",78,7.4,
patterson hood,Heat Lightning Rumbles in the Distance,"Sep 11, 2012",77,7.2,
patterson hood,Go-Go Boots,"Feb 15, 2011",78,7.6,
patterson hood,Murdering Oscar (And Other Love Songs),"Jun 23, 2009",80,8.0,
lv,Islands,"Sep 30, 2014",84,tbd,
lv,Sebenza,"Sep 18, 2012",82,8.8,
