artist,album,year,critic_score,user_score,comment
spanky wilson & the quantic soul orchestra,,,,,artist not found!
peter and the wolf,,,,,artist not found!
this american life,,,,,artist not found!
swan island,,,,,artist not found!
the who,Quadrophenia [The Director's Cut],"Nov 15, 2011",90,8.7,
the who,Endless Wire,"Oct 31, 2006",64,7.8,
the exploding hearts,,,,,artist not found!
n0 things,,,,,artist not found!
dj mehdi,,,,,artist not found!
thunderbirds are now!,,,,,artist not found!
favourite sons,,,,,artist not found!
sunn o))) & boris,,,,,artist not found!
lucero,Among the Ghosts,"Aug 3, 2018",77,tbd,
lucero,All a Man Should Do,"Sep 18, 2015",80,tbd,
lucero,Live from Atlanta,"Aug 12, 2014",82,tbd,
lucero,Women & Work,"Mar 13, 2012",73,tbd,
lucero,1372 Overton Park,"Oct 6, 2009",79,7.3,
outputmessage,,,,,artist not found!
plan b,Heaven Before All Hell Breaks Loose,"Apr 20, 2018",66,7.5,
plan b,Ill Manors,"Aug 21, 2012",83,8.4,
plan b,The Defamation Of Strickland Banks,"Apr 19, 2011",75,7.9,
plan b,Who Needs Actions When You Got Words,"Jun 26, 2006",74,8.0,
niobe,,,,,artist not found!
tony conrad,Tony Conrad: Completely in the Present,"Mar 31, 2017",tbd,tbd,
tony conrad,Jack Smith and the Destruction of Atlantis,"Apr 11, 2007",72,tbd,
"james blackshaw, jack rose, peter walker, sharron kraus, shawn david mcmillen",,,,,artist not found!
the battles,,,,,artist not found!
bobby bare jr.,,,,,artist not found!
tom moulton,,,,,artist not found!
the curtains,Calamity,"Oct 24, 2006",60,tbd,
flying canyon,,,,,artist not found!
the nice boys,,,,,artist not found!
doubled yellow swans,,,,,artist not found!
alan singley & pants machine,,,,,artist not found!
lake of dracula,,,,,artist not found!
darkel,Darkel,"Sep 19, 2006",55,7.1,
chavez,,,,,artist not found!
judah johnson,,,,,artist not found!
phon,,,,,artist not found!
aberdeen,,,,,artist not found!
the low lows,,,,,artist not found!
easy star all stars,,,,,artist not found!
the blood brothers,Young Machetes,"Oct 10, 2006",76,8.8,
the blood brothers,Crimes,"Oct 12, 2004",85,8.8,
the blood brothers,"Burn Piano Island, Burn","Mar 18, 2003",82,8.8,
robyn hitchcock & the venus 3,,,,,artist not found!
chin up chin up,This Harness Can't Ride Anything,"Oct 10, 2006",74,tbd,
ho ag,,,,,artist not found!
susanna and the magical orchestra,3,"Sep 1, 2009",75,tbd,
rhythm & sound,,,,,artist not found!
teddybears,Devil's Music,"Jul 5, 2011",62,7.8,
