artist,album,year,critic_score,user_score,comment
david thomas broughton,,,,,artist not found!
the elected,Bury Me in My Rings,"May 17, 2011",71,tbd,
the elected,"Sun, Sun, Sun","Jan 24, 2006",63,8.5,
the elected,Me First,"Feb 3, 2004",80,8.6,
the most serene republic,...And the Ever Expanding Universe,"Jul 14, 2009",70,8.0,
the most serene republic,Underwater Cinematographer,"Jul 12, 2005",68,8.8,
eddie vedder,Pearl Jam: Let's Play Two,"Sep 29, 2017",75,tbd,
eddie vedder,Made in America,"Jul 11, 2014",48,3.9,
eddie vedder,Pearl Jam Twenty,"Sep 20, 2011",59,tbd,
group doueh,Zayna Jumma,"May 24, 2011",78,tbd,
bachelorette,Bachelorette,"May 17, 2011",69,tbd,
bachelorette,My Electric Family,"May 26, 2009",72,tbd,
phil cook & his feat,,,,,artist not found!
"aidan moffat, bill wells",,,,,artist not found!
pulseprogramming,Tulsa For One Second,"Feb 18, 2003",70,8.0,
d. charles speer,,,,,artist not found!
the unthanks,"Lines, Parts One, Two & Three [Box Set]","Mar 8, 2019",80,tbd,
the unthanks,Diversions Vol. 4: The Songs and Poems of Molly Drake,"May 26, 2017",81,tbd,
the unthanks,Mount The Air,"Feb 17, 2015",80,tbd,
the unthanks,"The Songs of Robert Wyatt and Antony & The Johnsons: Live from The Union Chapel, London (Diversions Vol.1)","Feb 7, 2012",76,tbd,
the unthanks,Last,"Apr 19, 2011",81,tbd,
the unthanks,Here's The Tender Coming,"Mar 23, 2010",81,tbd,
brave irene,,,,,artist not found!
friendly fires,Inflorescent,"Aug 16, 2019",70,7.7,
friendly fires,Pala,"May 24, 2011",73,7.9,
friendly fires,Friendly Fires,"Sep 23, 2008",75,8.1,
howe gelb & a band of gypsies,,,,,artist not found!
dale earnhardt jr. jr.,,,,,artist not found!
blue sky black death,,,,,artist not found!
johan agebjrn,,,,,artist not found!
title tracks,In Blank,"Apr 19, 2011",68,tbd,
let's wrestle,,,,,artist not found!
secret cities,Pink Graffiti,"Jul 20, 2010",72,tbd,
white fang,,,,,artist not found!
ensemble,Excerpts,"Jan 25, 2011",67,tbd,
"d'eon, grimes",,,,,artist not found!
urge overkill,Rock & Roll Submarine,"May 9, 2011",73,7.8,
blank dogs,Land and Fixed,"Nov 8, 2010",71,tbd,
blank dogs,Under And Under,"May 26, 2009",71,7.0,
13 & god,,,,,artist not found!
psychedelic horseshit,Laced,"May 10, 2011",72,tbd,
nodzzz,Innings,"May 17, 2011",69,tbd,
"danger mouse, daniele luppi",,,,,artist not found!
africa hitech,,,,,artist not found!
moby,"Everything Was Beautiful, And Nothing Hurt","Mar 2, 2018",75,6.8,
moby,More Fast Songs About the Apocalypse,"Jun 16, 2017",63,tbd,
moby,These Systems Are Failing,"Oct 14, 2016",61,7.6,
moby,Innocents,"Sep 30, 2013",60,7.6,
moby,Destroyed,"May 17, 2011",61,7.3,
moby,Wait For Me,"Jun 30, 2009",65,7.6,
moby,Last Night,"Apr 1, 2008",63,7.9,
moby,Hotel,"Mar 22, 2005",47,5.6,
moby,18,"May 14, 2002",61,7.8,
moby,Play,"Jun 1, 1999",84,8.8,
omar rodriguez lpez,,,,,artist not found!
timber timbre,"Sincerely, Future Pollution","Apr 7, 2017",78,7.6,
timber timbre,Hot Dreams,"Apr 1, 2014",80,8.4,
timber timbre,Creep On Creepin' On,"Apr 5, 2011",74,8.3,
steve earle,Guy,"Mar 29, 2019",80,tbd,
steve earle,Gentlemen At 21 [Deluxe Edition],"Oct 28, 2014",95,8.5,
steve earle,The Warner Bros. Years [Box Set],"Jun 25, 2013",96,tbd,
steve earle,I'll Never Get Out of This World Alive,"Apr 26, 2011",74,8.7,
steve earle,Townes,"May 12, 2009",82,8.0,
steve earle,Washington Square Serenade,"Sep 25, 2007",72,8.5,
steve earle,The Revolution Starts Now,"Aug 24, 2004",74,7.0,
steve earle,Jerusalem,"Sep 24, 2002",78,8.5,
steve earle,Transcendental Blues,"Jun 6, 2000",86,8.4,
chrissy murderbot,Women's Studies,"May 9, 2011",70,tbd,
dominik eulberg,,,,,artist not found!
gang gang dance,Kazuashita,"Jun 22, 2018",74,7.7,
gang gang dance,Eye Contact,"May 10, 2011",83,8.3,
gang gang dance,Saint Dymphna,"Oct 21, 2008",78,8.7,
the u.n.,,,,,artist not found!
malajube,Labyrinthes,"Mar 31, 2009",70,8.5,
joan as police woman,Damned Devotion,"Feb 9, 2018",81,6.5,
