artist,album,year,critic_score,user_score,comment
jamie xx,In Colour,"Jun 2, 2015",87,8.6,
jamie xx,We're New Here,"Feb 22, 2011",83,8.3,
algiers,The Underside of Power,"Jun 23, 2017",86,7.9,
algiers,Algiers,"Jun 2, 2015",79,7.7,
soak,Grim Town,"Apr 26, 2019",79,6.7,
soak,Before We Forgot How to Dream,"Jun 2, 2015",75,8.3,
drainolith,,,,,artist not found!
obsequiae,,,,,artist not found!
a$ap rocky,,,,,artist not found!
the vaccines,Combat Sports,"Mar 30, 2018",75,8.0,
the vaccines,English Graffiti,"May 26, 2015",73,7.9,
the vaccines,Come of Age,"Oct 2, 2012",66,8.1,
the vaccines,What Did You Expect from the Vaccines?,"May 31, 2011",67,8.2,
strategy,,,,,artist not found!
kosmo kat,,,,,artist not found!
valet,Nature,"May 26, 2015",78,tbd,
cloud rat,,,,,artist not found!
two sheds,,,,,artist not found!
murs,Captain California,"Mar 10, 2017",82,7.8,
murs,Have a Nice Life,"May 19, 2015",75,7.7,
murs,This Generation,"Sep 25, 2012",73,tbd,
murs,"Love + Rockets, Vol. 1: The Transformation","Oct 11, 2011",72,tbd,
murs,Murs For President,"Sep 30, 2008",74,8.1,
murs,Murray's Revenge,"Mar 21, 2006",79,8.6,
murs,Murs 3:16 The 9th Edition,"Mar 23, 2004",85,8.7,
shana cleveland & the sandcastles,,,,,artist not found!
unknown mortal orchestra,IC-01 Hanoi,"Oct 26, 2018",66,6.6,
unknown mortal orchestra,Sex & Food,"Apr 6, 2018",75,8.1,
unknown mortal orchestra,Multi-Love,"May 26, 2015",78,8.5,
unknown mortal orchestra,Blue Record [EP],"Oct 29, 2013",60,7.6,
unknown mortal orchestra,II,"Feb 5, 2013",78,8.1,
unknown mortal orchestra,Unknown Mortal Orchestra,"Jun 21, 2011",73,8.3,
dr. yen lo,,,,,artist not found!
tropical trash,,,,,artist not found!
crosss,,,,,artist not found!
tanlines,Highlights,"May 19, 2015",63,5.2,
tanlines,Mixed Emotions,"Mar 20, 2012",71,7.5,
smurphy,,,,,artist not found!
kid606,,,,,artist not found!
onra,,,,,artist not found!
holly herndon,PROTO,"May 10, 2019",82,7.8,
holly herndon,Platform,"May 19, 2015",81,7.9,
holly herndon,Chorus [EP],"Jan 21, 2014",74,tbd,
holly herndon,Movement,"Nov 13, 2012",81,8.2,
du blonde,Lung Bread for Daddy,"Feb 22, 2019",76,6.0,
du blonde,Welcome Back to Milk,"May 19, 2015",73,7.8,
zedd,True Colors,"May 19, 2015",60,5.9,
holly miranda,Mutual Horse,"Feb 23, 2018",77,tbd,
holly miranda,The Magician's Private Library,"Feb 23, 2010",68,tbd,
hot chip,A Bath Full of Ecstasy,"Jun 21, 2019",83,7.9,
hot chip,Why Make Sense?,"May 19, 2015",81,7.9,
hot chip,In Our Heads,"Jun 12, 2012",79,8.7,
hot chip,One Life Stand,"Feb 9, 2010",79,7.4,
hot chip,Made In The Dark,"Feb 5, 2008",78,7.6,
hot chip,The Warning,"Jun 13, 2006",79,8.8,
hot chip,Coming On Strong,"Nov 29, 2005",67,8.1,
lakker,Tundra,"May 11, 2015",77,tbd,
brandon flowers,The Desired Effect,"May 19, 2015",75,8.5,
