artist,album,year,critic_score,user_score,comment
slim twig,Half Free,"Sep 25, 2015",79,8.3,
slim twig,Thank You for Stickin' with Twig,"Aug 7, 2015",72,tbd,
slim twig,A Hound at the Hem,"Oct 27, 2014",71,tbd,
michael stasis,,,,,artist not found!
mac demarco,Here Comes the Cowboy,"May 10, 2019",69,6.7,
mac demarco,This Old Dog,"May 5, 2017",79,8.1,
mac demarco,Another One,"Aug 7, 2015",75,8.3,
mac demarco,Salad Days,"Apr 1, 2014",82,8.7,
mac demarco,2,"Oct 16, 2012",81,8.8,
mac demarco,Rock and Roll Night Club,"Mar 27, 2012",79,7.8,
la luz,Floating Features,"May 11, 2018",75,tbd,
la luz,Weirdo Shrine,"Aug 7, 2015",77,tbd,
la luz,It's Alive,"Oct 15, 2013",67,tbd,
grave babies,Crusher,"Feb 25, 2013",66,tbd,
trae tha truth,,,,,artist not found!
deiphago,,,,,artist not found!
health,Vol. 4 :: Slaves of Fear,"Feb 8, 2019",70,7.4,
health,Death Magic,"Aug 7, 2015",73,8.1,
health,Get Color,"Sep 8, 2009",79,8.4,
health,Health//Disco,"May 27, 2008",82,6.7,
omar souleyman,To Syria with Love,"Jun 2, 2017",70,tbd,
omar souleyman,Bahdeni Nami,"Jul 24, 2015",75,tbd,
omar souleyman,Wenu Wenu,"Oct 22, 2013",79,7.5,
pearl charles,Dead Envy,"Aug 24, 2018",tbd,tbd,
pearl charles,The Icarus Line Must Die,"Jun 22, 2018",tbd,tbd,
ultimate painting,Dusk,"Sep 30, 2016",74,tbd,
ultimate painting,Green Lanes,"Aug 7, 2015",70,tbd,
ultimate painting,Ultimate Painting,"Oct 28, 2014",79,8.1,
mike cooper,Hellboy: The Science of Evil (PS3),"Jun 24, 2008",47,5.8,
mike cooper,Harry Potter: Quidditch World Cup (GC),"Oct 28, 2003",68,8.4,
mike cooper,Harry Potter and the Chamber of Secrets (PC),"Nov 14, 2002",77,8.4,
mike cooper,Harry Potter and the Sorcerer's Stone (PS),"Nov 15, 2001",64,7.6,
mike cooper,Black & White (PC),"Mar 26, 2001",90,7.8,
the coneheads,,,,,artist not found!
deaf wish,Pain,"Aug 7, 2015",77,tbd,
bert jansch,"A Man I'd Rather Be, (Part 1) [Box Set]","Feb 23, 2018",90,tbd,
bert jansch,"A Man I'd Rather Be, (Part 2) [Box Set]","Feb 23, 2018",85,tbd,
bert jansch,Live at the 12 Bar [Reissue],"Aug 7, 2015",85,tbd,
bert jansch,The Black Swan,"Oct 17, 2006",80,7.6,
teenage time killers,"Greatest Hits, Vol. 1","Jul 31, 2015",72,7.0,
gunplay,Living Legend,"Jul 31, 2015",68,6.2,
albert hammond jr.,Francis Trouble,"Mar 9, 2018",73,7.8,
