artist,album,year,critic_score,user_score,comment
gigi,,,,,artist not found!
githead,Landing,"Nov 10, 2009",67,tbd,
adam green,To Hell and Back: The Kane Hodder Story,"Jul 13, 2018",tbd,tbd,
adam green,Digging Up the Marrow,"Feb 20, 2015",45,tbd,
adam green,Hatchet III,"Jun 14, 2013",25,5.3,
adam green,Hatchet II,"Oct 1, 2010",49,7.3,
adam green,Frozen,"Feb 5, 2010",43,tbd,
adam green,Grace,"Aug 14, 2009",52,tbd,
adam green,Spiral,"Feb 8, 2008",40,8.1,
adam green,Hatchet,"Sep 7, 2007",57,6.5,
adam green,Color of the Cross,"Nov 10, 2006",34,4.8,
adam green,Steven Tyler: Out on a Limb,TBA,tbd,tbd,
clem snide,The Meat Of Life,"Feb 23, 2010",67,tbd,
clem snide,Hungry Bird,"Feb 24, 2009",64,tbd,
clem snide,End Of Love,"Feb 22, 2005",78,8.8,
clem snide,Soft Spot,"Jun 17, 2003",74,tbd,
kasper bjrke,,,,,artist not found!
sambassadeur,European,"Feb 23, 2010",72,tbd,
via audio,Animalore,"Mar 9, 2010",66,tbd,
j. stalin,,,,,artist not found!
ewan pearson,We Are Proud Of Our Choices,"Feb 16, 2010",68,tbd,
"freeway, jake one",,,,,artist not found!
past lives,Tapestry Of Webs,"Feb 23, 2010",74,tbd,
everybody was in the french resistance...now!,,,,,artist not found!
cave in,Final Transmission,"Jun 7, 2019",82,tbd,
cave in,White Silence,"May 24, 2011",80,7.7,
cave in,Antenna,"Mar 18, 2003",78,8.0,
juliana hatfield,Weird,"Jan 18, 2019",74,tbd,
juliana hatfield,Juliana Hatfield Sings Olivia Newton-John,"Apr 13, 2018",67,tbd,
juliana hatfield,Pussycat,"Apr 28, 2017",84,7.0,
juliana hatfield,There's Always Another Girl,"Aug 30, 2011",75,8.8,
juliana hatfield,Peace And Love,"Feb 16, 2010",60,tbd,
juliana hatfield,How To Walk Away,"Aug 19, 2008",72,8.3,
juliana hatfield,Made In China,"Aug 9, 2005",63,8.1,
juliana hatfield,In Exile Deo,"May 18, 2004",74,tbd,
juliana hatfield,Beautiful Creature,"May 16, 2000",66,tbd,
juliana hatfield,Juliana's Pony: Total System Failure,"May 16, 2000",35,6.7,
capgun coup,,,,,artist not found!
citay,Dream Get Together,"Jan 26, 2010",73,tbd,
you say party,,,,,artist not found!
wetdog,Frauhaus!,"Jan 19, 2010",64,tbd,
a grave with no name,Passover,"Jan 19, 2018",65,tbd,
a grave with no name,Wooden Mask,"Aug 12, 2016",70,tbd,
sade,Soldier Of Love,"Feb 9, 2010",79,8.6,
sade,Lovers Rock,"Nov 14, 2000",78,8.8,
reagenz,,,,,artist not found!
the seven fields of aphelion,,,,,artist not found!
"anthony ""shake"" shakir",,,,,artist not found!
gil scott heron,We're New Here,"Feb 22, 2011",83,8.3,
gil scott heron,I'm New Here,"Feb 9, 2010",78,8.8,
kath bloom,,,,,artist not found!
aufgang,,,,,artist not found!
interference,,,,,artist not found!
afcgt,,,,,artist not found!
"ali farka tour, toumani diabat",,,,,artist not found!
basia bulat,Good Advice,"Feb 12, 2016",73,tbd,
basia bulat,Tall Tall Shadow,"Sep 30, 2013",72,tbd,
basia bulat,Heart Of My Own,"Jan 26, 2010",72,8.7,
the watson twins,"Talking To You, Talking To Me","Feb 9, 2010",60,tbd,
the watson twins,Fire Songs,"Jun 24, 2008",67,tbd,
strong arm steady,In Search Of Stoney Jackson,"Jan 27, 2010",75,8.0,
hockey,Mind Chaos,"Oct 6, 2009",68,8.3,
the album leaf,Between Waves,"Aug 26, 2016",75,tbd,
the album leaf,A Chorus of Storytellers,"Feb 2, 2010",69,8.5,
the album leaf,Into The Blue Again,"Sep 12, 2006",67,7.4,
the album leaf,In A Safe Place,"Jun 22, 2004",71,7.1,
starless & bible black,,,,,artist not found!
kevin barker,You & Me,"Jan 19, 2010",65,tbd,
anna ternheim,,,,,artist not found!
the house of love,She Paints Words in Red,"Apr 9, 2013",69,tbd,
the house of love,Days Run Away,"Feb 28, 2005",68,7.7,
the brunettes,Paper Dolls,"Feb 2, 2010",71,tbd,
nmperign,,,,,artist not found!
lightspeed champion,Life Is Sweet! Nice To Meet You,"Feb 16, 2010",72,6.8,
lightspeed champion,Falling Off The Lavender Bridge,"Feb 5, 2008",70,8.1,
agf,,,,,artist not found!
saviours,,,,,artist not found!
clipd beaks,To Realize,"Jan 26, 2010",76,6.7,
etienne jaumet,Night Music,"Nov 3, 2009",78,tbd,
good shoes,"No Hope, No Future","Jan 25, 2010",60,7.8,
the orkustra,,,,,artist not found!
the hotrats,,,,,artist not found!
buraka som sistema,Komba,"Nov 8, 2011",76,tbd,
barton carroll,,,,,artist not found!
yellowfever,,,,,artist not found!
delphic,Collections,"Jan 28, 2013",59,tbd,
delphic,Acolyte,"Jun 29, 2010",71,7.4,
jaga jazzist,Starfire,"Jun 1, 2015",70,8.2,
jaga jazzist,Live with Britten Sinfonia,"May 14, 2013",67,tbd,
jaga jazzist,One Armed Bandit,"Feb 23, 2010",75,8.5,
pit er pat,The Flexible Entertainer,"Jan 26, 2010",64,tbd,
red krayola with art & language,,,,,artist not found!
franco & le tout puissant ok jazz,,,,,artist not found!
monolake,Ghosts,"Mar 13, 2012",84,tbd,
lindstrm & christabelle,,,,,artist not found!
aziz ansari,Bob's Burgers: Season 9,"Sep 30, 2018",tbd,5.7,
aziz ansari,Bob's Burgers: Season 8,"Oct 1, 2017",tbd,7.3,
aziz ansari,Master of None: Season 2,"May 12, 2017",91,8.2,
aziz ansari,Saturday Night Live: Season 42,"Oct 1, 2016",tbd,5.3,
aziz ansari,Late Night with Seth Meyers: Season 4,"Sep 20, 2016",tbd,tbd,
aziz ansari,The Tonight Show Starring Jimmy Fallon: Season 4,"Sep 19, 2016",tbd,tbd,
