artist,album,year,critic_score,user_score,comment
hannibal buress,The Secret Life of Pets 2,"Jun 7, 2019",55,6.1,
hannibal buress,Slice,"Sep 10, 2018",61,3.5,
hannibal buress,Tag,"Jun 15, 2018",56,6.3,
hannibal buress,Blockers,"Apr 6, 2018",69,6.2,
hannibal buress,Kuso,"Jul 21, 2017",51,6.6,
hannibal buress,Spider-Man: Homecoming,"Jul 7, 2017",73,tbd,
hannibal buress,Baywatch,"May 25, 2017",37,4.7,
hannibal buress,The Comedian,"Feb 3, 2017",40,5.1,
hannibal buress,Nerdland,"Dec 6, 2016",46,tbd,
hannibal buress,Flock of Dudes,"Sep 30, 2016",36,tbd,
hannibal buress,The Secret Life of Pets,"Jul 8, 2016",61,6.2,
hannibal buress,The Angry Birds Movie,"May 20, 2016",43,6.3,
hannibal buress,The Nice Guys,"May 20, 2016",70,7.6,
hannibal buress,Neighbors 2: Sorority Rising,"May 20, 2016",58,5.4,
hannibal buress,Band of Robbers,"Jan 15, 2016",57,6.7,
hannibal buress,Daddy's Home,"Dec 25, 2015",42,7.7,
hannibal buress,Neighbors,"May 9, 2014",68,6.3,
hannibal buress,The Kings of Summer,"May 31, 2013",61,7.7,
hannibal buress,Sleepwalk with Me,"Aug 24, 2012",71,6.8,
land of talk,Life After Youth,"May 19, 2017",79,7.8,
land of talk,Cloak and Cipher,"Aug 24, 2010",71,8.2,
land of talk,Some Are Lakes,"Oct 7, 2008",74,8.1,
arab strap,The Last Romance,"Feb 21, 2006",80,8.3,
arab strap,Monday At The Hug & Pint,"Apr 22, 2003",80,8.3,
arab strap,The Red Thread,"Feb 27, 2001",75,tbd,
arab strap,Mad for Sadness,"Jul 4, 2000",82,tbd,
arab strap,Elephant Shoe,"Jun 6, 2000",78,tbd,
fennesz daniell buck,,,,,artist not found!
venice is sinking,,,,,artist not found!
richard a. ingram,,,,,artist not found!
the claudia quintet,Royal Toast,"May 18, 2010",83,tbd,
isobel campbell & mark lanegan,,,,,artist not found!
elk city,,,,,artist not found!
"isis, melvins",,,,,artist not found!
sky larkin,Motto,"Sep 16, 2013",80,tbd,
sky larkin,Kaleide,"Aug 10, 2010",69,tbd,
