artist,album,year,critic_score,user_score,comment
napalm death,Apex Predator - Easy Meat,"Jan 27, 2015",89,7.4,
napalm death,Utilitarian,"Feb 28, 2012",74,8.6,
jan st. werner,,,,,artist not found!
doomtree,All Hands,"Jan 27, 2015",62,7.8,
doomtree,No Kings,"Nov 22, 2011",80,8.4,
"the body, thou",,,,,artist not found!
howlin rain,The Alligator Bride,"Jun 8, 2018",80,tbd,
howlin rain,Mansion Songs,"Jan 27, 2015",71,tbd,
howlin rain,Live Rain,"Apr 29, 2014",67,tbd,
howlin rain,The Russian Wilds,"Feb 14, 2012",73,8.0,
howlin rain,Magnificent Fiend,"Mar 4, 2008",75,7.5,
lino capra vaccina,,,,,artist not found!
trinidad james,,,,,artist not found!
alasdair roberts,The Fiery Margin,"Sep 13, 2019",80,tbd,
alasdair roberts,What News,"Mar 23, 2018",87,tbd,
alasdair roberts,Pangs,"Feb 24, 2017",83,tbd,
alasdair roberts,Alasdair Roberts,"Jan 27, 2015",81,tbd,
alasdair roberts,A Wonder Working Stone,"Jan 22, 2013",81,tbd,
alasdair roberts,Urstan,"Mar 26, 2012",72,tbd,
alasdair roberts,Spoils,"May 5, 2009",77,tbd,
alasdair roberts,No Earthly Man,"Mar 22, 2005",76,7.4,
ro maron,,,,,artist not found!
peals,Walking Field,"May 14, 2013",75,tbd,
young ejecta,The Planet,"Jan 27, 2015",71,8.0,
lena willikens,,,,,artist not found!
menace beach,Black Rainbow Sound,"Sep 7, 2018",75,tbd,
menace beach,Lemon Memory,"Jan 27, 2017",67,tbd,
menace beach,Ratworld,"Jan 27, 2015",68,tbd,
menace beach,Lowtalker [EP],"Jan 13, 2014",70,tbd,
viet cong,Viet Cong,"Jan 20, 2015",77,8.2,
lupe fiasco,Drogas Wave,"Sep 21, 2018",73,8.3,
lupe fiasco,Drogas Light,"Feb 10, 2017",56,6.5,
lupe fiasco,Tetsuo & Youth,"Jan 20, 2015",80,8.5,
lupe fiasco,"Food & Liquor, Vol. 2: the Great American Rap Album, Pt. 1","Sep 25, 2012",70,7.2,
lupe fiasco,Lasers,"Mar 8, 2011",57,6.1,
lupe fiasco,The Cool,"Dec 18, 2007",77,8.8,
lupe fiasco,Food & Liquor,"Sep 19, 2006",83,8.8,
the go betweens,"G Stands For Go-Betweens, Vol. 1 [Box Set]","Jan 20, 2015",90,7.7,
the go betweens,Oceans Apart,"May 3, 2005",85,8.0,
the go betweens,Bright Yellow Bright Orange,"Feb 18, 2003",82,8.5,
the go betweens,Friends of Rachel Worth,"Sep 19, 2000",77,8.0,
the sidekicks,Runners in the Nerved World,"Jan 20, 2015",75,tbd,
young l,,,,,artist not found!
belle and sebastian,Days of the Bagnold Summer OST,"Sep 13, 2019",68,tbd,
belle and sebastian,"How to Solve Our Human Problems, Pts. 1-3","Feb 16, 2018",71,7.9,
belle and sebastian,"How to Solve Our Human Problems, Pt. 1 [EP]","Dec 8, 2017",76,8.3,
belle and sebastian,Girls in Peacetime Want to Dance,"Jan 20, 2015",76,8.0,
belle and sebastian,The Third Eye Centre,"Aug 27, 2013",70,8.3,
belle and sebastian,Belle and Sebastian Write About Love,"Oct 12, 2010",75,7.8,
belle and sebastian,The BBC Sessions,"Nov 18, 2008",81,8.6,
belle and sebastian,The Life Pursuit,"Feb 7, 2006",78,8.6,
belle and sebastian,Push Barman To Open Old Wounds,"May 24, 2005",89,8.8,
belle and sebastian,Dear Catastrophe Waitress,"Oct 7, 2003",79,8.7,
belle and sebastian,Storytelling OST,"Jun 4, 2002",59,7.6,
belle and sebastian,"Fold Your Hands Child, You Walk Like A Peasant","Jun 6, 2000",68,8.5,
mark ronson,Late Night Feelings,"Jun 21, 2019",75,7.9,
mark ronson,Uptown Special,"Jan 13, 2015",73,6.3,
mark ronson,Arabia Mountain,"Jun 7, 2011",80,8.5,
mark ronson,Record Collection,"Sep 28, 2010",70,7.6,
mark ronson,Release Me,"Jun 15, 2010",72,8.3,
mark ronson,Version,"Jun 12, 2007",63,7.6,
erase errata,Nightlife,"Jul 25, 2006",73,tbd,
erase errata,At Crystal Palace,"Oct 14, 2003",73,tbd,
elephant micah,,,,,artist not found!
cloakroom,Further Out,"Jan 20, 2015",81,tbd,
sleater kinney,The Center Won't Hold,"Aug 16, 2019",80,7.5,
sleater kinney,Live in Paris,"Jan 27, 2017",83,7.7,
sleater kinney,No Cities to Love,"Jan 20, 2015",90,8.1,
sleater kinney,Start Together [Box Set],"Oct 21, 2014",94,8.4,
sleater kinney,The Woods,"May 24, 2005",88,8.4,
sleater kinney,One Beat,"Aug 20, 2002",85,8.7,
sleater kinney,All Hands On The Bad One,"May 2, 2000",86,8.6,
california x,Nights in the Dark,"Jan 13, 2015",69,tbd,
california x,California X,"Jan 15, 2013",78,tbd,
liam hayes,Slurrup,"Jan 13, 2015",70,tbd,
mcferrdog,,,,,artist not found!
leather corduroys,,,,,artist not found!
the dodos,Certainty Waves,"Oct 12, 2018",77,tbd,
the dodos,Individ,"Jan 27, 2015",74,8.1,
the dodos,Carrier,"Aug 27, 2013",77,8.2,
the dodos,No Color,"Mar 15, 2011",79,8.2,
the dodos,Time To Die,"Sep 15, 2009",63,8.3,
the dodos,The Visiter,"Mar 18, 2008",83,8.7,
amen dunes,Freedom,"Mar 30, 2018",87,8.2,
amen dunes,Cowboy Worship [EP],"Jan 20, 2015",72,tbd,
amen dunes,Love,"May 13, 2014",81,7.8,
disappears,Irreal,"Jan 20, 2015",72,tbd,
disappears,Era,"Aug 26, 2013",72,tbd,
disappears,Pre Language,"Feb 28, 2012",69,tbd,
disappears,Guider,"Jan 18, 2011",79,tbd,
mike will made it,The Tonight Show Starring Jimmy Fallon: Season 6,"Sep 24, 2018",tbd,tbd,
secret circuit,,,,,artist not found!
ascension,Dead of the World,"Jan 27, 2015",68,tbd,
geotic,Traversa,"Oct 19, 2018",75,tbd,
geotic,Abysma,"Mar 31, 2017",63,tbd,
mike jones,FIFA 14 (X360),"Sep 24, 2013",84,4.3,
mike jones,FIFA 14 (PS3),"Sep 24, 2013",86,4.3,
mike jones,FIFA 14 (PC),"Sep 24, 2013",87,4.7,
mike jones,Resident Evil: Operation Raccoon City (PS3),"Mar 20, 2012",52,4.8,
mike jones,Grand Theft Auto IV (PS3),"Apr 29, 2008",98,7.5,
mike jones,MLB 08: The Show (PS3),"Mar 4, 2008",85,8.7,
mike jones,BlackSite: Area 51 (PS3),"Dec 10, 2007",56,6.3,
mike jones,BlackSite: Area 51 (X360),"Nov 12, 2007",62,6.0,
mike jones,BlackSite: Area 51 (PC),"Nov 12, 2007",60,4.9,
mike jones,Power Rangers: Super Legends - 15th Anniversary (DS),"Oct 23, 2007",44,5.4,
mike jones,Brave: The Search for Spirit Dancer (PS2),"Apr 9, 2007",65,7.2,
mike jones,Command & Conquer: Generals (PC),"Feb 10, 2003",84,8.4,
red red meat,,,,,artist not found!
james murphy,,,,,artist not found!
atelje,,,,,artist not found!
gaussian curve,,,,,artist not found!
tut,,,,,artist not found!
arthur,Project X,"Apr 17, 1987",61,tbd,
ghost culture,Ghost Culture,"Jan 20, 2015",81,7.6,
the advisory circle,,,,,artist not found!
niia x the range,,,,,artist not found!
"brian chippendale, greg saunier",,,,,artist not found!
"dangelo, the vanguard",,,,,artist not found!
nicki minaj,Queen,"Aug 10, 2018",70,7.7,
nicki minaj,The Pinkprint,"Dec 15, 2014",70,8.0,
nicki minaj,Pink Friday: Roman Reloaded--the Re-Up,"Nov 19, 2012",72,7.1,
nicki minaj,Pink Friday: Roman Reloaded,"Apr 3, 2012",60,6.1,
nicki minaj,Pink Friday,"Nov 22, 2010",68,6.9,
theo parrish,Black Jazz Signature,"Sep 3, 2013",84,tbd,
william onyeabor,"World Psychedelic Classics, Vol. 5: Who Is William Onyeabor?","Oct 29, 2013",82,tbd,
canooooopy,,,,,artist not found!
anatomy of habit,,,,,artist not found!
ghostface killah,Ghostface Killahs,"Sep 6, 2019",71,tbd,
ghostface killah,Czarface Meets Ghostface,"Feb 15, 2019",72,8.5,
ghostface killah,Adrian Younge Presents: Twelve Reasons to Die II,"Jul 10, 2015",72,8.0,
ghostface killah,Sour Soul,"Feb 24, 2015",76,7.7,
ghostface killah,36 Seasons,"Dec 9, 2014",72,8.1,
ghostface killah,Twelve Reasons to Die,"Apr 16, 2013",78,8.5,
ghostface killah,Apollo Kids,"Dec 21, 2010",84,8.1,
ghostface killah,Ghostdini: Wizard Of Poetry,"Sep 29, 2009",68,8.3,
ghostface killah,GhostDeini The Great,"Dec 16, 2008",62,7.8,
ghostface killah,The Big Doe Rehab,"Dec 4, 2007",77,8.4,
ghostface killah,More Fish,"Dec 12, 2006",77,8.7,
ghostface killah,Fishscale,"Mar 28, 2006",88,8.7,
ghostface killah,The Pretty Toney Album,"Apr 20, 2004",84,8.3,
the jacka,,,,,artist not found!
usnea,,,,,artist not found!
hashman deejay,,,,,artist not found!
mary j. blige,Trolls World Tour,"Feb 14, 2020",tbd,tbd,
mary j. blige,Quincy,"Sep 21, 2018",60,8.5,
mary j. blige,Sherlock Gnomes,"Mar 23, 2018",36,4.2,
mary j. blige,Mudbound,"Nov 17, 2017",85,8.9,
mary j. blige,"Can't Stop, Won't Stop: A Bad Boy Story","Jun 23, 2017",tbd,tbd,
mary j. blige,Chris Brown: Welcome to My Life,"Jun 8, 2017",tbd,6.4,
mary j. blige,Champs,"Mar 13, 2015",59,8.9,
mary j. blige,Black Nativity,"Nov 27, 2013",48,5.3,
mary j. blige,Rock of Ages,"Jun 15, 2012",47,3.0,
mary j. blige,Beats Rhymes & Life: The Travels of a Tribe Called Quest,"Jul 8, 2011",76,8.1,
mary j. blige,I Can Do Bad All by Myself,"Sep 11, 2009",55,tbd,
mary j. blige,Fade to Black,"Nov 5, 2004",59,6.0,
mary j. blige,All Access: Front Row. Backstage. Live!,"Apr 6, 2001",56,tbd,
primordial,,,,,artist not found!
mr. mitch,,,,,artist not found!
jordan de la sierra,,,,,artist not found!
