artist,album,year,critic_score,user_score,comment
cults,Offering,"Oct 6, 2017",71,6.8,
cults,Static,"Oct 15, 2013",73,8.2,
cults,Cults,"Jun 7, 2011",74,8.1,
bill orcutt,Bill Orcutt,"Jun 30, 2017",80,tbd,
bill orcutt,A  History of Every One,"Sep 30, 2013",86,tbd,
bill orcutt,How the Thing Sings,"Sep 19, 2011",79,tbd,
bill orcutt,A New Way To Pay Old Debts,"Jan 17, 2011",87,tbd,
the dirtbombs,Ooey Gooey Chewy Ka-Blooey!,"Sep 17, 2013",73,tbd,
the dirtbombs,Party Store,"Feb 1, 2011",70,tbd,
the dirtbombs,We Have You Surrounded,"Feb 26, 2008",77,tbd,
the dirtbombs,Dangerous Magical Noise,"Nov 4, 2003",80,tbd,
in solitude,Sister,"Oct 1, 2013",78,tbd,
glasser,Ring,"Sep 28, 2010",78,8.6,
lee ranaldo and the dust,Acoustic Dust,"Oct 20, 2014",71,tbd,
lee ranaldo and the dust,Last Night on Earth,"Oct 8, 2013",68,tbd,
sons of the morning,,,,,artist not found!
elf power,Sunlight on the Moon,"Sep 30, 2013",72,tbd,
elf power,Elf Power,"Sep 14, 2010",tbd,tbd,
elf power,In A Cave,"Mar 25, 2008",65,tbd,
elf power,Back To The Web,"Apr 25, 2006",67,7.8,
elf power,Walking With The Beggar Boys,"Apr 6, 2004",69,tbd,
elf power,Creatures,"May 7, 2002",77,tbd,
tape deck mountain,Ghost,"Jan 19, 2010",60,tbd,
hunters,Hunters,"Oct 1, 2013",60,tbd,
alex chilton,Take Me Home and Make Me Like It,"Jun 16, 2017",56,tbd,
alex chilton,Electricity by Candlelight: NYC 2/13/97,"Oct 8, 2013",72,tbd,
alex chilton,Free Again: The 1970 Sessions,"Jan 10, 2012",83,tbd,
yuppies,,,,,artist not found!
darkside,Psychic,"Oct 8, 2013",79,8.8,
polvo,Siberia,"Oct 1, 2013",81,tbd,
polvo,In Prism,"Sep 8, 2009",79,5.6,
trentemller,,,,,artist not found!
roy harper,Man and Myth,"Sep 23, 2013",84,tbd,
the blow,Brand New Abyss,"Sep 22, 2017",75,tbd,
the blow,The  Blow,"Oct 1, 2013",74,tbd,
quasi,Mole City,"Oct 1, 2013",74,tbd,
quasi,American Gong,"Feb 23, 2010",71,tbd,
quasi,When The Going Gets Dark,"Mar 21, 2006",74,7.3,
quasi,Hot Shit,"Sep 9, 2003",78,8.5,
quasi,Sword Of God,"Aug 21, 2001",70,8.3,
forest fire,Staring at the X,"Oct 18, 2011",73,tbd,
lorde,Melodrama,"Jun 16, 2017",91,8.7,
lorde,Pure Heroine,"Sep 30, 2013",79,8.8,
blitzen trapper,Wild and Reckless,"Nov 3, 2017",69,tbd,
blitzen trapper,All Across This Land,"Oct 2, 2015",68,tbd,
blitzen trapper,VII,"Sep 30, 2013",63,7.8,
blitzen trapper,American Goldwing,"Sep 13, 2011",66,7.9,
blitzen trapper,Destroyer Of The Void,"Jun 8, 2010",76,7.4,
blitzen trapper,Black River Killer [EP],"Aug 25, 2009",68,tbd,
blitzen trapper,Furr,"Sep 23, 2008",80,8.5,
blitzen trapper,Wild Mountain Nation,"Jun 12, 2007",82,8.3,
kelley stoltz,Que Aura,"Aug 25, 2017",81,tbd,
kelley stoltz,In Triangle Time,"Nov 6, 2015",84,tbd,
kelley stoltz,Double Exposure,"Sep 24, 2013",76,tbd,
kelley stoltz,To Dreamers,"Oct 12, 2010",70,tbd,
kelley stoltz,Circular Sounds,"Feb 5, 2008",71,tbd,
kelley stoltz,Below The Branches,"Feb 7, 2006",79,8.0,
deltron 3030,Event II,"Sep 30, 2013",74,7.4,
cuushe,,,,,artist not found!
justin timberlake,Trolls World Tour,"Feb 14, 2020",tbd,tbd,
justin timberlake,Wonder Wheel,"Dec 1, 2017",45,5.8,
justin timberlake,Trolls,"Nov 4, 2016",56,6.8,
justin timberlake,Justin Timberlake + the Tennessee Kids,"Oct 12, 2016",81,9.4,
justin timberlake,Inside Llewyn Davis,"Dec 6, 2013",93,7.8,
justin timberlake,Runner Runner,"Oct 4, 2013",36,5.5,
justin timberlake,The Short Game,"Sep 20, 2013",51,7.7,
justin timberlake,Trouble with the Curve,"Sep 21, 2012",58,6.6,
justin timberlake,In Time,"Oct 28, 2011",53,6.3,
justin timberlake,Friends with Benefits,"Jul 22, 2011",63,6.7,
justin timberlake,Bad Teacher,"Jun 24, 2011",47,5.4,
justin timberlake,Yogi Bear,"Dec 17, 2010",35,4.6,
justin timberlake,The Social Network,"Oct 1, 2010",95,tbd,
justin timberlake,The Open Road,"Aug 28, 2009",47,7.9,
justin timberlake,The Love Guru,"Jun 20, 2008",24,tbd,
justin timberlake,Shrek the Third,"May 18, 2007",58,6.5,
justin timberlake,Black Snake Moan,"Mar 2, 2007",52,tbd,
justin timberlake,Alpha Dog,"Jan 12, 2007",53,6.1,
melt banana,Fetch,"Oct 1, 2013",80,8.8,
haim,Something To Tell You,"Jul 7, 2017",69,7.6,
haim,Days Are Gone,"Sep 30, 2013",79,8.7,
dr. dog,Critical Equation,"Apr 27, 2018",68,5.9,
dr. dog,The Psychedelic Swamp,"Feb 5, 2016",72,6.8,
dr. dog,Live At A Flamingo Hotel,"Jan 13, 2015",77,tbd,
dr. dog,B-Room,"Oct 1, 2013",73,7.6,
dr. dog,Be the Void,"Feb 7, 2012",75,7.9,
dr. dog,"Shame, Shame","Apr 6, 2010",77,8.2,
dr. dog,Fate,"Jul 22, 2008",72,8.5,
dr. dog,We All Belong,"Feb 27, 2007",73,7.8,
mazzy star,Still [EP],"Jun 1, 2018",74,tbd,
mazzy star,Seasons of Your Day,"Sep 24, 2013",76,8.3,
au revoir simone,Move in Spectrums,"Sep 24, 2013",76,7.6,
au revoir simone,"Still Night, Still Light","May 19, 2009",71,8.1,
dustin wong,Are Euphoria,"Jun 16, 2017",77,tbd,
dustin wong,Savage Imagination,"Sep 23, 2014",66,tbd,
dustin wong,Mediation of Ecstatic Energy,"Sep 17, 2013",78,tbd,
dustin wong,"Dreams Say, View, Create, Shadow Leads","Feb 21, 2012",74,tbd,
dustin wong,Infinite Love,"Oct 5, 2010",81,tbd,
loss of self,,,,,artist not found!
icona pop,This Is...,"Sep 24, 2013",69,7.4,
jesu,Jesu/Sun Kil Moon,"Jan 22, 2016",75,7.7,
jesu,Everyday I Get Closer to the Light from Which I Came,"Sep 23, 2013",75,tbd,
jesu,Ascension,"May 10, 2011",75,tbd,
girls against boys,You Can't Fight What You Can't See,"May 14, 2002",76,tbd,
ghost wave,Ages,"Aug 27, 2013",64,tbd,
ulcerate,,,,,artist not found!
why?,Aokohio,"Aug 9, 2019",67,4.8,
why?,Moh Lhean,"Mar 3, 2017",76,7.3,
why?,"Mumps, Etc.","Oct 9, 2012",62,7.9,
why?,Eskimo Snow,"Sep 22, 2009",76,8.3,
why?,Alopecia,"Mar 11, 2008",76,8.8,
why?,Elephant Eyelash,"Oct 4, 2005",76,8.7,
why?,Sanddollars [EP],"May 17, 2005",80,tbd,
why?,Oaklandazulasylum,"Jun 24, 2003",70,6.6,
potty mouth,Hell Bent,"Sep 17, 2013",80,tbd,
blouse,Imperium,"Sep 17, 2013",67,tbd,
blouse,Blouse,"Nov 1, 2011",72,tbd,
nirvana,In Utero [20th Anniversary Edition],"Sep 24, 2013",90,8.9,
nirvana,Nevermind [20th Anniversary Edition],"Sep 27, 2011",89,8.9,
nirvana,Live At Reading,"Nov 3, 2009",93,8.8,
nirvana,Bleach: Deluxe Edition,"Nov 3, 2009",85,8.6,
nirvana,With The Lights Out,"Nov 23, 2004",76,7.7,
peter gabriel,Live Blood,"Apr 24, 2012",60,tbd,
peter gabriel,New Blood,"Oct 11, 2011",70,8.2,
peter gabriel,Scratch My Back,"Mar 2, 2010",67,6.3,
peter gabriel,Up,"Sep 24, 2002",74,8.8,
peter gabriel,Long Walk Home: Music From The Rabbit-Proof Fence,"Jun 18, 2002",74,8.8,
grave miasma,,,,,artist not found!
frankie rose,Cage Tropical,"Aug 11, 2017",79,8.0,
frankie rose,Careers,"Jul 1, 2014",73,tbd,
frankie rose,Herein Wild,"Sep 24, 2013",72,8.2,
frankie rose,Interstellar,"Feb 21, 2012",75,8.0,
frankie rose,Frankie Rose and the Outs,"Sep 21, 2010",72,tbd,
sebadoh,Act Surprised,"May 24, 2019",76,tbd,
sebadoh,Defend Yourself,"Sep 17, 2013",71,tbd,
sebadoh,Bakesale [Deluxe Edition],"Jun 14, 2011",86,8.1,
yoko ono plastic ono band,Take Me to the Land of Hell,"Sep 24, 2013",79,8.7,
yoko ono plastic ono band,Between My Head and the Sky,"Sep 22, 2009",83,7.7,
g dragon,,,,,artist not found!
"elvis costello, the roots",,,,,artist not found!
carol kleyn,Love Has Made Me Stronger,"Jul 19, 2011",73,tbd,
kyson,,,,,artist not found!
royal bangs,Brass,"Sep 17, 2013",66,tbd,
royal bangs,Flux Outside,"Mar 29, 2011",71,tbd,
keep shelly in athens,Now I'm Ready,"Oct 16, 2015",67,tbd,
keep shelly in athens,At Home,"Sep 17, 2013",57,tbd,
modern life is war,Fever Hunting,"Sep 3, 2013",81,tbd,
crystal stilts,Nature Noir,"Sep 17, 2013",73,tbd,
crystal stilts,Radiant Door [EP],"Nov 15, 2011",67,tbd,
crystal stilts,In Love With Oblivion,"Apr 12, 2011",78,8.3,
crystal stilts,Alight Of Night,"Oct 28, 2008",76,7.8,
london grammar,Truth Is a Beautiful Thing,"Jun 9, 2017",68,8.3,
london grammar,If You Wait,"Mar 25, 2014",75,8.3,
mgmt,Little Dark Age,"Feb 9, 2018",77,8.4,
mgmt,MGMT,"Sep 17, 2013",62,6.7,
