artist,album,year,critic_score,user_score,comment
"tortoise, bonnie prince billy",,,,,artist not found!
pearls and brass,The Indian Tower,"Jan 24, 2006",73,8.0,
delta 5,,,,,artist not found!
jenny lewis with the watson twins,Rabbit Fur Coat,"Jan 24, 2006",78,7.5,
acid mothers temple,,,,,artist not found!
made in mexico,,,,,artist not found!
sparrow,,,,,artist not found!
the advantage,,,,,artist not found!
chrome,Feel It Like a Scientist,"Aug 5, 2014",79,tbd,
steve spacek,,,,,artist not found!
tall dwarfs,,,,,artist not found!
the universe,,,,,artist not found!
jarboe,,,,,artist not found!
fm3,,,,,artist not found!
arizona amp and alternator,,,,,artist not found!
gogogo airheart,,,,,artist not found!
coil,,,,,artist not found!
safety scissors,,,,,artist not found!
edith frost,,,,,artist not found!
seu jorge,Pelé: Birth of a Legend,"May 13, 2016",39,7.1,
seu jorge,Elite Squad: The Enemy Within,"Nov 11, 2011",71,8.8,
seu jorge,"Carmo, Hit the Road","Oct 15, 2010",tbd,tbd,
seu jorge,The Escapist,"Apr 3, 2009",56,7.4,
seu jorge,House of Sand,"Aug 11, 2006",70,8.5,
seu jorge,The Life Aquatic with Steve Zissou,"Dec 10, 2004",62,7.8,
seu jorge,City of God,"Jan 17, 2003",79,9.0,
sunroof!,,,,,artist not found!
george,Playing It Straight (UK): Season 1,"Apr 8, 2005",tbd,tbd,
coptic light,,,,,artist not found!
morningwood,Morningwood,"Jan 10, 2006",55,7.0,
awesome new republic,,,,,artist not found!
anthrax,For All Kings,"Feb 26, 2016",70,7.5,
anthrax,Worship Music,"Sep 13, 2011",75,8.2,
the foxymorons,,,,,artist not found!
rah bras,,,,,artist not found!
guitar wolf,,,,,artist not found!
the paddingtons,No Mundane Options,"Nov 3, 2008",60,tbd,
quintron and miss pussycat,,,,,artist not found!
the notorious b.i.g.,RBG,"May 4, 2018",71,6.7,
the notorious b.i.g.,Freestyle: The Art of Rhyme,"Jul 16, 2004",63,8.0,
the notorious b.i.g.,Tupac: Resurrection,"Nov 14, 2003",66,8.3,
the notorious b.i.g.,Biggie and Tupac,"Sep 27, 2002",63,8.3,
dreamies,,,,,artist not found!
books on tape,,,,,artist not found!
les angles morts,,,,,artist not found!
jane,America's Next Top Model: Season 15,"Sep 8, 2010",tbd,5.6,
kites,,,,,artist not found!
bright,,,,,artist not found!
kind of like spitting,,,,,artist not found!
piano overlord,,,,,artist not found!
the beautiful new born children,Hey People!,"Oct 18, 2005",62,tbd,
milemarker,,,,,artist not found!
friends of dean martinez,,,,,artist not found!
blockhead,The Music Scene,"Jan 12, 2010",75,7.7,
blockhead,Music By Cavelight,"Mar 23, 2004",72,8.3,
stunt rock,,,,,artist not found!
starsailor,All This Life,"Sep 1, 2017",75,tbd,
starsailor,All The Plans,"Mar 9, 2009",62,8.3,
starsailor,On The Outside,"Aug 22, 2006",64,7.2,
starsailor,Silence Is Easy,"Jan 27, 2004",53,7.2,
starsailor,Love Is Here,"Jan 8, 2002",72,8.2,
jonathan kane,,,,,artist not found!
mindflayer,,,,,artist not found!
koenji hyakkei,,,,,artist not found!
landing,,,,,artist not found!
tarantula a.d.,,,,,artist not found!
chamillionaire,Madden NFL 06 (X360),"Nov 16, 2005",74,5.2,
chamillionaire,Madden NFL 06 (PS2),"Aug 8, 2005",88,8.0,
chamillionaire,Madden NFL 06 (XBOX),"Aug 8, 2005",86,6.8,
annie hayden,,,,,artist not found!
as mercenrias,,,,,artist not found!
men's recovery project,,,,,artist not found!
metal fingers,,,,,artist not found!
get hustle,,,,,artist not found!
slowdive,Slowdive,"May 5, 2017",82,8.2,
panic! at the disco,Pray for the Wicked,"Jun 22, 2018",70,7.8,
panic! at the disco,Death of a Bachelor,"Jan 15, 2016",69,7.9,
panic! at the disco,"Too Weird to Live, Too Rare to Die!","Oct 8, 2013",72,8.1,
panic! at the disco,Vices & Virtues,"Mar 22, 2011",62,7.9,
panic! at the disco,Pretty.Odd.,"Mar 25, 2008",70,7.1,
morcheeba,Head Up High,"Oct 15, 2013",57,7.7,
morcheeba,Blood Like Lemonade,"Jun 7, 2010",52,8.4,
morcheeba,Dive Deep,"Feb 19, 2008",63,7.8,
morcheeba,The Antidote,"Sep 27, 2005",64,7.6,
morcheeba,Charango,"Jul 16, 2002",61,7.3,
morcheeba,Fragments of Freedom,"Aug 1, 2000",62,6.6,
