artist,album,year,critic_score,user_score,comment
"masami akita, russell haswell",,,,,artist not found!
manishevitz,,,,,artist not found!
toktok vs. soffy o,,,,,artist not found!
photon band,,,,,artist not found!
forcefield,,,,,artist not found!
awol one & fat jack,,,,,artist not found!
dag nasty,,,,,artist not found!
lesser,,,,,artist not found!
random_inc,,,,,artist not found!
zwan,Mary Star of the Sea,"Jan 28, 2003",79,8.7,
droop capone,,,,,artist not found!
menthol,,,,,artist not found!
area,,,,,artist not found!
snapcase,,,,,artist not found!
dj me dj you,Can You See The Music,"Jan 14, 2003",66,tbd,
the cassettes,,,,,artist not found!
voyager one,,,,,artist not found!
glifted,,,,,artist not found!
ikara colt,Modern Apprentice,"Jun 7, 2004",84,8.8,
ikara colt,Chat & Business,"Nov 12, 2002",74,tbd,
roni size,Return To V,"Nov 2, 2004",58,tbd,
roni size,Touching Down,"Nov 5, 2002",65,tbd,
the parallax corporation,,,,,artist not found!
youngsbower,,,,,artist not found!
racebannon,,,,,artist not found!
cherry valence,,,,,artist not found!
wobbly,,,,,artist not found!
kahuna,,,,,artist not found!
casino versus japan,,,,,artist not found!
sinking ships,,,,,artist not found!
"marky ramone, the speedkings",,,,,artist not found!
bill laswell,Rise Again,"May 10, 2011",67,tbd,
from quagmire,,,,,artist not found!
mantler,,,,,artist not found!
dead and gone,,,,,artist not found!
"werner dafeldecker, klaus lang",,,,,artist not found!
transllusion,,,,,artist not found!
meligrove band,,,,,artist not found!
i can lick any sonofabitch in the house,,,,,artist not found!
"tony conrad, faust",,,,,artist not found!
gorilla monsoon,,,,,artist not found!
"mimeo, john tilbury",,,,,artist not found!
"mat maneri, joe mcphee",,,,,artist not found!
"jason anderson, wolf colonel",,,,,artist not found!
afflictions,,,,,artist not found!
noise for pretend,,,,,artist not found!
univers zero,,,,,artist not found!
flying luttenbachers,,,,,artist not found!
andrea perry,,,,,artist not found!
cassetteboy,,,,,artist not found!
"fred lonberg holm, glenn kotche, jason roebke",,,,,artist not found!
paul lansky,,,,,artist not found!
"jan jelinek, computer soup",,,,,artist not found!
low res,,,,,artist not found!
great lakes,,,,,artist not found!
st. thomas,,,,,artist not found!
ruins,,,,,artist not found!
"the dillinger escape plan, mike patton",,,,,artist not found!
swayzak,Dirty Dancing,"Sep 24, 2002",60,7.0,
cost,,,,,artist not found!
simian,We Are Your Friends,"Oct 29, 2002",71,tbd,
the pattern,,,,,artist not found!
jack hayter,,,,,artist not found!
add n to (x),Loud Like Nature,"Oct 29, 2002",76,8.4,
white star line,,,,,artist not found!
action,,,,,artist not found!
mc paul barman,,,,,artist not found!
"beth gibbons, rustin man",,,,,artist not found!
rumah sakit,,,,,artist not found!
yesterday's kids,,,,,artist not found!
rhettmatic,,,,,artist not found!
"jack logan, bob kimbell",,,,,artist not found!
the telescopes,Exploding Head Syndrome,"Feb 1, 2019",76,tbd,
the telescopes,As Light Return,"Jul 7, 2017",66,tbd,
the telescopes,Hidden Fields,"Aug 21, 2015",76,tbd,
electric soft parade,No Need To Be Downhearted,"Apr 24, 2007",70,8.2,
electric soft parade,Holes In The Wall,"Feb 4, 2002",73,tbd,
unstable ensemble,,,,,artist not found!
amalgamated sons of rest,,,,,artist not found!
large professor,,,,,artist not found!
no. 2,,,,,artist not found!
sing sing,Sing-Sing And I,"Feb 14, 2006",59,tbd,
sing sing,The Joy of Sing-Sing,"Sep 3, 2002",74,tbd,
shimmer kids underpop association,,,,,artist not found!
gold sparkle band,,,,,artist not found!
thomas bangalter,,,,,artist not found!
western keys,,,,,artist not found!
"damon & naomi, kurihara",,,,,artist not found!
the negro problem,,,,,artist not found!
"jeff buckley, gary lucas",,,,,artist not found!
sweep the leg johnny,,,,,artist not found!
lone pigeon,Schoozzzmmii,"Apr 6, 2004",73,tbd,
mercury program,,,,,artist not found!
