artist,album,year,critic_score,user_score,comment
the finches,,,,,artist not found!
moving oos,,,,,artist not found!
call me lightning,,,,,artist not found!
young buck,Buck The World,"Mar 27, 2007",70,8.4,
young buck,Straight Outta Ca$hville,"Aug 24, 2004",72,7.7,
the red crayola,,,,,artist not found!
"willie nelson, merle haggard, and ray price",,,,,artist not found!
pentangle,,,,,artist not found!
justine d,,,,,artist not found!
rich boy,,,,,artist not found!
david kilgour,Left by Soft,"Apr 26, 2011",80,tbd,
david kilgour,Frozen Orange,"Aug 24, 2004",82,tbd,
david kilgour,A Feather in the Engine,"Jan 29, 2002",87,tbd,
fountains of wayne,Sky Full of Holes,"Aug 2, 2011",68,8.6,
fountains of wayne,Traffic And Weather,"Apr 3, 2007",68,8.1,
fountains of wayne,Out-Of-State Plates,"Jun 28, 2005",70,7.6,
fountains of wayne,Welcome Interstate Managers,"Jun 10, 2003",86,8.1,
paula frazer and tarnation,,,,,artist not found!
ghost stories,,,,,artist not found!
axolotl,,,,,artist not found!
victor bermon,,,,,artist not found!
madeline,,,,,artist not found!
hotel alexis,,,,,artist not found!
aqueduct,Or Give Me Death,"Feb 20, 2007",71,5.0,
aqueduct,I Sold Gold,"Jan 25, 2005",75,8.0,
mary weiss,Off Label,"Aug 9, 2013",44,1.9,
palomar,,,,,artist not found!
the zincs,Black Pompadour,"Mar 20, 2007",69,tbd,
the zincs,Dimmer.,"Apr 12, 2005",70,tbd,
fulton lights,,,,,artist not found!
mother mother,,,,,artist not found!
paper airplanes,,,,,artist not found!
the stooges,The Weirdness,"Mar 6, 2007",44,5.7,
pagoda,,,,,artist not found!
kieran hebden,Into the Trees,"Apr 2, 2012",67,tbd,
kieran hebden,Live at the South Bank,"Nov 15, 2011",77,tbd,
welcome,,,,,artist not found!
milenasong,,,,,artist not found!
secret mommy,,,,,artist not found!
my latest novel,,,,,artist not found!
momus,Otto Spooky,"Apr 19, 2005",65,tbd,
momus,Oskar Tennis Champion,"Mar 11, 2003",62,tbd,
momus,Folktronic,"Feb 27, 2001",57,tbd,
bob & gene,,,,,artist not found!
wolf & cub,,,,,artist not found!
catherine howe,Most Haunted: Season 4,"Mar 23, 2004",tbd,tbd,
catherine howe,Most Haunted: Season 2,"Apr 29, 2003",tbd,tbd,
catherine howe,Most Haunted: Season 6,"May 25, 2002",tbd,tbd,
catherine howe,Most Haunted: Season 7,"May 25, 2002",tbd,tbd,
willy mason,Carry On,"Dec 3, 2012",74,tbd,
willy mason,If The Ocean Gets Rough,"Mar 20, 2007",66,8.8,
willy mason,Where The Humans Eat,"Oct 12, 2004",79,8.8,
winterkids,,,,,artist not found!
tempo no tempo,,,,,artist not found!
nico,Les Hautes Solitudes (1974),"Feb 24, 2017",tbd,tbd,
cheeseburger,,,,,artist not found!
the one am radio,This Too Will Pass,"Feb 20, 2007",76,tbd,
the frames,The Cost,"Feb 20, 2007",66,8.4,
the frames,Burn The Maps,"Feb 8, 2005",72,8.1,
omar rodriguez lpez & damo suzuki,,,,,artist not found!
dean & britta,,,,,artist not found!
the view,Ropewalk,"Sep 11, 2015",74,6.2,
the view,Bread & Circuses,"Mar 14, 2011",59,7.5,
the view,Which Bitch?,"Feb 2, 2009",69,8.1,
the view,Hats Off To The Buskers,"Mar 13, 2007",75,6.7,
greg ashley,,,,,artist not found!
money mark,A Life in Waves,"Aug 11, 2017",tbd,tbd,
money mark,Contemporary Color,"Mar 1, 2017",79,tbd,
money mark,Awesome; I Fuckin' Shot That!,"Mar 31, 2006",68,7.1,
money mark,Moog,"Sep 24, 2004",51,tbd,
damero,,,,,artist not found!
barr,,,,,artist not found!
the zombies,Still Got That Hunger,"Oct 9, 2015",61,tbd,
tanakh,,,,,artist not found!
the diminisher,,,,,artist not found!
electric light orchestra,Mr. Blue Sky: The Very Best,"Oct 9, 2012",62,7.8,
mittens on strings,,,,,artist not found!
uncut,,,,,artist not found!
yellow swans & birchville cat motel,,,,,artist not found!
the early years,II,"Oct 14, 2016",86,tbd,
ignatz,,,,,artist not found!
white flight,,,,,artist not found!
russo duo,,,,,artist not found!
elephant man,Third World Cop,"Apr 14, 2000",28,tbd,
p.g. six,,,,,artist not found!
tk webb,,,,,artist not found!
the memory band,,,,,artist not found!
softlightes,,,,,artist not found!
the trees community,,,,,artist not found!
imitation electric piano,,,,,artist not found!
juggaknots,,,,,artist not found!
clouds,Ghost Systems Rave,"Jul 23, 2013",81,tbd,
women and children,,,,,artist not found!
six parts seven,,,,,artist not found!
lifetime,,,,,artist not found!
cyann & ben,,,,,artist not found!
calla,Strength In Numbers,"Feb 20, 2007",62,8.1,
calla,Collisions,"Sep 27, 2005",78,8.8,
calla,Televise,"Jan 28, 2003",73,7.6,
the faces,,,,,artist not found!
the jam,,,,,artist not found!
cougar,,,,,artist not found!
o.lamm,,,,,artist not found!
weasel walter quartet,,,,,artist not found!
audionom,,,,,artist not found!
radicalfashion,,,,,artist not found!
nurse & soldier,,,,,artist not found!
vert,,,,,artist not found!
future pilot aka,,,,,artist not found!
the rza presents,,,,,artist not found!
human host,,,,,artist not found!
husky rescue,,,,,artist not found!
