artist,album,year,critic_score,user_score,comment
ragga twins,,,,,artist not found!
abdel hadi halo & the el gusto orchestra of algiers,,,,,artist not found!
the byrds,,,,,artist not found!
the childballads,,,,,artist not found!
dredd foole,,,,,artist not found!
manu chao,SMOD,"May 24, 2011",74,tbd,
manu chao,La Radiolina,"Sep 4, 2007",76,7.9,
sybris,,,,,artist not found!
all,,,,,artist not found!
mouserocket,,,,,artist not found!
"diplo, santogold",,,,,artist not found!
cal,,,,,artist not found!
paul westerberg,For Sale: Live at Maxwell's 1986,"Oct 6, 2017",86,7.7,
paul westerberg,Folker,"Sep 7, 2004",60,8.1,
paul westerberg,Come Feel Me Tremble,"Oct 21, 2003",78,7.4,
paul westerberg,Stereo,"Apr 23, 2002",76,8.8,
the fratellis,In Your Own Sweet Time,"Mar 16, 2018",65,8.2,
the fratellis,"Eyes Wide, Tongue Tied","Aug 21, 2015",62,8.5,
the fratellis,We Need Medicine,"Oct 8, 2013",65,5.6,
the fratellis,Here We Stand,"Jun 10, 2008",61,6.5,
the fratellis,Costello Music,"Mar 13, 2007",71,8.0,
when dinosaurs ruled the earth,,,,,artist not found!
the dresden dolls,,,,,artist not found!
pas chic chic,,,,,artist not found!
keak da sneak,,,,,artist not found!
the night marchers,Allez! Allez!,"Jan 22, 2013",77,tbd,
the night marchers,See You In Magic,"Apr 22, 2008",74,7.9,
shit and shine,,,,,artist not found!
black kids,Partie Traumatic,"Jul 22, 2008",75,6.3,
ida maria,Fortress Around My Heart,"Apr 14, 2009",74,8.8,
"forward, russia!",,,,,artist not found!
broken social scene presents: brendan canning,,,,,artist not found!
patti smith & kevin shields,,,,,artist not found!
julie ocean,,,,,artist not found!
head like a kite,,,,,artist not found!
we versus the shark,,,,,artist not found!
woelv,,,,,artist not found!
osborne,,,,,artist not found!
the pogues,,,,,artist not found!
three 6 mafia,Last 2 Walk,"Jun 24, 2008",56,7.7,
babyshambles,Sequel to the Prequel,"Sep 2, 2013",59,6.6,
babyshambles,Shotter's Nation,"Oct 23, 2007",68,8.5,
babyshambles,Down In Albion,"Feb 14, 2006",56,7.4,
infinite livez vs. stade,,,,,artist not found!
"sun city girls, j. spaceman",,,,,artist not found!
nicolay & kay,,,,,artist not found!
"8ball, mjg",,,,,artist not found!
hanggai,,,,,artist not found!
david karsten daniels,,,,,artist not found!
the botticellis,,,,,artist not found!
dennis wilson,Made in California [Box Set],"Aug 27, 2013",86,8.6,
dennis wilson,Pacific Ocean Blue [Reissue],"Jun 17, 2008",87,8.8,
vapnet,,,,,artist not found!
blackstrap,,,,,artist not found!
todd barry,The Bitter Buddha,"Feb 15, 2013",72,tbd,
todd barry,Vamps,"Nov 2, 2012",57,5.9,
todd barry,Wanderlust,"Feb 24, 2012",53,6.5,
todd barry,The Wrestler,"Dec 17, 2008",81,8.2,
todd barry,The Climb,TBA,82,tbd,
kid static,,,,,artist not found!
modey lemon,,,,,artist not found!
"son, ambulance",,,,,artist not found!
syclops,,,,,artist not found!
roommate,Guilty Rainbow,"Apr 12, 2011",75,tbd,
joseph arthur,The Family,"Jun 3, 2016",81,tbd,
joseph arthur,The  Ballad of Boogie Christ,"Jun 11, 2013",74,tbd,
joseph arthur,Acts,"Oct 30, 2012",65,tbd,
joseph arthur,As I Call You Down,"Oct 5, 2010",63,tbd,
joseph arthur,Let's Just Be,"Apr 17, 2007",59,5.9,
joseph arthur,Nuclear Daydream,"Sep 19, 2006",81,8.6,
joseph arthur,Our Shadows Will Remain,"Oct 12, 2004",82,8.7,
joseph arthur,Redemption's Son,"Nov 26, 2002",73,8.6,
joseph arthur,Come to Where I'm From,"Apr 11, 2000",83,8.3,
eliot lipp,,,,,artist not found!
nurse with wound,The Iron Soul Of Nothing,"Nov 28, 2011",75,tbd,
pwrfl power,,,,,artist not found!
air france,No Way Down [EP],"May 22, 2008",76,8.8,
plantlife,Time Traveller,"May 13, 2008",67,tbd,
fern knight,Fern Knight,"May 13, 2008",71,tbd,
south san gabriel,,,,,artist not found!
studio,,,,,artist not found!
the goslings,,,,,artist not found!
martina topley bird,Anything,"Jul 27, 2004",76,8.0,
martina topley bird,Quixotic,"Jul 14, 2003",71,7.8,
the herbaliser,There Were Seven,"Oct 16, 2012",84,tbd,
the herbaliser,Something Wicked This Way Comes,"Mar 19, 2002",81,tbd,
mike patton,Left 4 Dead 2 (X360),"Nov 17, 2009",89,8.6,
mike patton,Bionic Commando (X360),"May 18, 2009",70,7.3,
mike patton,Left 4 Dead (PC),"Nov 17, 2008",89,9.1,
mike patton,Left 4 Dead (X360),"Nov 17, 2008",89,7.9,
mike patton,Portal: Still Alive (X360),"Oct 22, 2008",90,8.3,
mike patton,Portal (PC),"Oct 10, 2007",90,9.2,
mike patton,The Darkness (PS3),"Jun 25, 2007",80,7.7,
mike patton,The Darkness (X360),"Jun 25, 2007",82,8.1,
stars like fleas,,,,,artist not found!
twine,,,,,artist not found!
scott kelly,Late Show with Stephen Colbert: Season 3,"Sep 5, 2017",tbd,tbd,
scott kelly,Late Show with Stephen Colbert: Season 1,"Sep 8, 2015",72,5.8,
scott kelly,The View: Season 19,"Sep 8, 2015",tbd,tbd,
auburn lull,,,,,artist not found!
orchestra baobab,Tribute to Ndiouga Dieng,"Mar 31, 2017",79,tbd,
the presets,Pacifica,"Sep 11, 2012",61,8.2,
the m's,,,,,artist not found!
nalle,,,,,artist not found!
richard pinhas,Reverse,"Jan 27, 2017",81,tbd,
bryan scary,,,,,artist not found!
paul haig,,,,,artist not found!
lukestar,,,,,artist not found!
mixel pixel,,,,,artist not found!
adem,Takes,"Jun 3, 2008",70,tbd,
adem,Love And Other Planets,"Sep 26, 2006",74,7.4,
adem,Homesongs,"Jul 27, 2004",83,8.6,
cassettes won't listen,,,,,artist not found!
yoav,Charmed & Strange,"Jan 29, 2008",58,8.4,
supergrass,Diamond Hoo Ha,"Jun 10, 2008",67,8.5,
supergrass,Road To Rouen,"Sep 27, 2005",73,8.7,
supergrass,Life On Other Planets,"Feb 11, 2003",74,8.7,
ex reverie,,,,,artist not found!
christopher bissonnette,,,,,artist not found!
walter meego,,,,,artist not found!
lemuria,The Distance Is So Big,"Jun 18, 2013",74,tbd,
okay,,,,,artist not found!
young knives,Superabundance,"Mar 10, 2008",76,8.5,
marc ribot,Silent Movies,"Sep 28, 2010",87,7.6,
festival,,,,,artist not found!
local h,Hallelujah! I'm a Bum,"Sep 18, 2012",80,tbd,
local h,Twelve Angry Months,"May 13, 2008",72,8.8,
