artist,album,year,critic_score,user_score,comment
the essex green,Hardly Electronic,"Jun 29, 2018",75,tbd,
the essex green,Cannibal Sea,"Mar 21, 2006",78,8.0,
the essex green,The Long Goodbye,"Apr 8, 2003",81,tbd,
acid mothers temple & the cosmic inferno,,,,,artist not found!
sondre lerche with the faces down quartet,,,,,artist not found!
jessi colter,The Psalms,"Mar 24, 2017",79,tbd,
the secret machines,,,,,artist not found!
howe gelb,Gathered,"Mar 8, 2019",77,tbd,
howe gelb,Future Standards,"Nov 25, 2016",72,tbd,
howe gelb,The  Westerner,"Apr 29, 2016",79,tbd,
howe gelb,Heartbreak Pass,"May 4, 2015",79,tbd,
howe gelb,Little Sand Box [Box Set],"Jan 14, 2014",77,tbd,
howe gelb,The Coincidentalist,"Nov 5, 2013",77,tbd,
howe gelb,Tucson: A Country Rock Opera,"Jun 12, 2012",72,tbd,
howe gelb,Alegrias,"Mar 21, 2011",71,tbd,
howe gelb,'Sno Angel Like You,"Mar 21, 2006",86,8.3,
howe gelb,The Listener,"Mar 18, 2003",62,tbd,
maximum joy,,,,,artist not found!
guitar,,,,,artist not found!
the infadels,,,,,artist not found!
juvenile,Cocky And Confident,"Dec 1, 2009",49,tbd,
mellowdrone,,,,,artist not found!
ms. john soda,Notes And The Like,"Mar 21, 2006",66,tbd,
acid casuals,,,,,artist not found!
the tango saloon,,,,,artist not found!
patrick phelan,Hogs of War (PS),"Sep 5, 2000",62,8.8,
charlemagne,The Wendy Williams Experience: Season 1,"Oct 20, 2006",tbd,tbd,
loose fur,Born Again In The USA,"Mar 21, 2006",72,8.7,
loose fur,Loose Fur,"Jan 28, 2003",77,7.8,
voices and organs,,,,,artist not found!
the capes,,,,,artist not found!
deadboy & the elephantmen,,,,,artist not found!
caroline,,,,,artist not found!
hellacopters,,,,,artist not found!
ray davies,"Our Country: Americana, Act 2","Jun 29, 2018",67,tbd,
ray davies,Americana,"Apr 21, 2017",80,6.8,
ray davies,See My Friends,"Apr 5, 2011",51,tbd,
ray davies,Working Man's Cafe,"Feb 19, 2008",75,8.7,
ray davies,Other People's Lives,"Feb 21, 2006",72,8.6,
some girls,Feel It,"Sep 9, 2003",77,tbd,
dell and flgel,,,,,artist not found!
terrestrial tones,Dead Drunk,"Mar 7, 2006",60,7.3,
horns of happiness,,,,,artist not found!
mikkel metal,,,,,artist not found!
ris paul ric,,,,,artist not found!
chihei hatakeyama,,,,,artist not found!
magnet,The Tourniquet,"Feb 14, 2006",65,tbd,
i love you but i've chosen darkness,,,,,artist not found!
living things,Habeas Corpus,"Feb 17, 2009",71,tbd,
living things,Ahead Of The Lions,"Oct 4, 2005",72,7.1,
