artist,album,year,critic_score,user_score,comment
jah wobble,Dream World,"Jul 13, 2018",68,tbd,
jah wobble,The Usual Suspects,"Jul 7, 2017",80,tbd,
jah wobble,In Dub,"Sep 23, 2016",79,tbd,
jah wobble,Everything Is Nothing,"Sep 2, 2016",73,tbd,
jah wobble,Psychic Life,"Nov 15, 2011",71,tbd,
"mark borthwick, trevor holland",,,,,artist not found!
geeez'n'gosh,,,,,artist not found!
mary timony,Ex Hex,"Apr 19, 2005",77,8.0,
mary timony,The Golden Dove,"May 21, 2002",76,tbd,
poulain,,,,,artist not found!
craig armstrong,The Hero: Season 1,"Jun 6, 2013",47,6.9,
craig armstrong,Fashion Star: Season 1,"Mar 13, 2012",54,tbd,
craig armstrong,Age of Love: Season 1,"Jun 18, 2007",tbd,tbd,
quix*o*tic,,,,,artist not found!
mason jennings,Minnesota,"Sep 13, 2011",64,tbd,
mason jennings,Blood Of Man,"Sep 15, 2009",71,tbd,
all time quarterback,,,,,artist not found!
new flesh,,,,,artist not found!
goodiepal,,,,,artist not found!
birdwatcher,,,,,artist not found!
freestyle fellowship,Freestyle: The Art of Rhyme,"Jul 16, 2004",63,8.0,
simon wickham smith,,,,,artist not found!
nationale blue,,,,,artist not found!
jeff mangum,,,,,artist not found!
skeleton key,,,,,artist not found!
dirty vegas,One,"Nov 30, 2004",35,2.4,
dirty vegas,Dirty Vegas,"Jun 4, 2002",56,8.4,
nad navillus,,,,,artist not found!
tuatara,Underworld,"Jul 1, 2014",81,tbd,
dj jester,,,,,artist not found!
babu,,,,,artist not found!
mong hang,,,,,artist not found!
pere ubu,The Long Goodbye,"Jul 12, 2019",85,tbd,
pere ubu,20 Years in a Montana Missile Silo,"Sep 29, 2017",78,tbd,
pere ubu,Architecture of Language: 1979-1982 [Box Set],"Mar 18, 2016",78,tbd,
pere ubu,Elitism for the People 1975-1978 [Box Set],"Aug 21, 2015",91,7.6,
pere ubu,Carnival of Souls,"Sep 9, 2014",80,tbd,
pere ubu,Lady from Shanghai,"Jan 8, 2013",76,6.1,
speedy j,Loudboxer,"Jun 4, 2002",70,8.4,
shiner,,,,,artist not found!
moth,"Provisions, Fiction and Gear","Apr 9, 2002",70,8.7,
mirza,,,,,artist not found!
farben,,,,,artist not found!
shelleydevoto,Buzzkunst,"Mar 5, 2002",70,tbd,
black dog and black sifichi,,,,,artist not found!
departure lounge,Too Late To Die Young,"Mar 12, 2002",73,tbd,
global home project,,,,,artist not found!
mri,,,,,artist not found!
jello biafra,The Last Black Man in San Francisco,"Jun 7, 2019",84,6.9,
jello biafra,Bathtubs Over Broadway,"Nov 30, 2018",78,5.2,
jello biafra,Turn It Around: The Story of East Bay Punk,"Jun 2, 2017",65,tbd,
jello biafra,The Weird World of Blowfly,"Sep 16, 2011",52,tbd,
jello biafra,William S. Burroughs: A Man Within,"Nov 17, 2010",63,tbd,
jello biafra,Death and Texas,"Nov 3, 2006",tbd,tbd,
jello biafra,We Jam Econo: The Story of the Minutemen,"Aug 26, 2005",66,5.8,
jello biafra,Mayor of the Sunset Strip,"Mar 26, 2004",71,7.8,
the other people place,,,,,artist not found!
selby tigers,,,,,artist not found!
tami hart,,,,,artist not found!
liars academy,,,,,artist not found!
jim black,Whispers: An Elephant's Tale,"Oct 13, 2000",30,6.8,
the ghost,,,,,artist not found!
microwaves,,,,,artist not found!
bill frisell,Small Town [Live],"May 26, 2017",79,tbd,
bill frisell,Lola,"Feb 19, 2016",75,tbd,
bill frisell,Big Sur,"Jun 18, 2013",77,tbd,
bill frisell,All We Are Saying...,"Sep 27, 2011",69,tbd,
bill frisell,Beautiful Dreamers,"Aug 31, 2010",77,tbd,
bill frisell,The Intercontinentals,"Apr 15, 2003",86,tbd,
bill frisell,Blues Dream,"Jan 30, 2001",86,8.2,
hrsta,,,,,artist not found!
charles atlas,Turning,"Nov 16, 2012",67,tbd,
charles atlas,The Legend of Leigh Bowery,"Nov 28, 2003",65,tbd,
pullman,,,,,artist not found!
the roots of orchis,,,,,artist not found!
brute,,,,,artist not found!
pixeltan,,,,,artist not found!
solex,Low Kick And Hard Bop,"Sep 11, 2001",69,8.6,
buffalo daughter,I,"Mar 5, 2002",58,tbd,
geoff farina,,,,,artist not found!
jeff tweedy,Warmer,"Apr 13, 2019",83,tbd,
jeff tweedy,Warm,"Nov 30, 2018",84,8.0,
jeff tweedy,The Siren's Song,"Aug 18, 2017",84,tbd,
jeff tweedy,Together At Last,"Jun 23, 2017",74,6.4,
jeff tweedy,Don't Lose This,"Feb 17, 2015",82,tbd,
jeff tweedy,One True Vine,"Jun 25, 2013",80,8.2,
jeff tweedy,The Whole Love,"Sep 27, 2011",83,8.5,
jeff tweedy,You Are Not Alone,"Sep 14, 2010",81,tbd,
"medeski, martin and wood",,,,,artist not found!
ink,,,,,artist not found!
lesser birds of paradise,,,,,artist not found!
maximilian hecker,,,,,artist not found!
thrice,To Be Everywhere Is to Be Nowhere,"May 27, 2016",78,8.3,
thrice,Major/Minor,"Sep 20, 2011",82,8.3,
thrice,"The Alchemy Index, Vol. III & IV: Air and Earth","Apr 15, 2008",76,8.1,
thrice,The Alchemy Index Vols. I and II: Fire and Water,"Oct 16, 2007",65,8.3,
the new amsterdams,,,,,artist not found!
ill ease,,,,,artist not found!
rinocerose,Music Kills Me,"Mar 5, 2002",60,tbd,
sybarite,,,,,artist not found!
retsin,,,,,artist not found!
masters of the hemisphere,,,,,artist not found!
"sinister luck ensemble, catcall",,,,,artist not found!
knotworking,,,,,artist not found!
filament,,,,,artist not found!
herrmann and kleine,,,,,artist not found!
tight bro's from way back when,,,,,artist not found!
"anticon, jel",,,,,artist not found!
ugly casanova,Sharpen Your Teeth,"May 21, 2002",80,8.2,
tribes of neurot,,,,,artist not found!
kaia,,,,,artist not found!
roky erickson & the aliens,,,,,artist not found!
appendix out,,,,,artist not found!
luke slater,,,,,artist not found!
abcs,,,,,artist not found!
brother jt,,,,,artist not found!
