artist,album,year,critic_score,user_score,comment
mad music inc.,,,,,artist not found!
joni mitchell,The Studio Albums 1968-1979 [Boxset],"Nov 6, 2012",91,8.8,
joni mitchell,Shine,"Sep 25, 2007",77,8.7,
joni mitchell,Travelogue,"Nov 19, 2002",68,8.7,
prince rama,Xtreme Now,"Mar 4, 2016",69,tbd,
prince rama,Top Ten Hits of the End of the World,"Nov 5, 2012",65,tbd,
prince rama,Trust Now,"Oct 4, 2011",69,tbd,
prince rama,Shadow Temple,"Sep 14, 2010",67,tbd,
dead prez,,,,,artist not found!
karriem riggins,Alone Together,"Oct 22, 2012",78,tbd,
halls,,,,,artist not found!
anaal nathrakh,Vanitas,"Nov 6, 2012",78,tbd,
vitalic,Voyager,"Jan 20, 2017",68,7.1,
vitalic,Rave Age,"Nov 5, 2012",62,7.3,
vitalic,Flashmob,"Nov 3, 2009",81,8.3,
vitalic,OK Cowboy,"Feb 21, 2006",82,8.7,
viv albertine,,,,,artist not found!
trop tard,,,,,artist not found!
early graves,Red Horse,"Oct 30, 2012",74,tbd,
dirty projectors,Lamp Lit Prose,"Jul 13, 2018",77,7.9,
dirty projectors,Dirty Projectors,"Feb 21, 2017",77,7.8,
dirty projectors,About To Die [EP],"Nov 6, 2012",71,8.3,
dirty projectors,Swing Lo Magellan,"Jul 10, 2012",80,8.6,
dirty projectors,Mount Wittenberg Orca [EP],"Oct 24, 2011",79,7.7,
dirty projectors,Bitte Orca,"Jun 9, 2009",85,8.5,
dirty projectors,Rise Above,"Sep 11, 2007",78,7.2,
emeralds,Just To Feel Anything,"Nov 6, 2012",71,6.2,
king dude,Fear,"Apr 7, 2014",69,tbd,
king dude,Burning Daylight,"Oct 16, 2012",68,tbd,
outer minds,,,,,artist not found!
bison b.c.,,,,,artist not found!
dreamscape,,,,,artist not found!
people get ready,,,,,artist not found!
the coup,Sorry To Bother You,"Oct 30, 2012",80,8.4,
the coup,Pick A Bigger Weapon,"Apr 25, 2006",78,8.5,
the coup,Party Music,"Nov 6, 2001",85,8.2,
martha wainwright,Goodnight City,"Nov 11, 2016",76,tbd,
