artist,album,year,critic_score,user_score,comment
soledad brothers,Voice Of Treason,"Aug 11, 2003",75,tbd,
hexstatic,,,,,artist not found!
norman,,,,,artist not found!
kopernik,,,,,artist not found!
pete miser,,,,,artist not found!
dredg,"The Pariah, The Parrot, The Delusion","Jun 9, 2009",68,8.8,
the special goodness,Land Air Sea,"Jan 20, 2004",59,tbd,
baptist generals,,,,,artist not found!
butthole surfers,Weird Revolution,"Aug 28, 2001",46,6.2,
salk vacchin,,,,,artist not found!
andre afram asmar,,,,,artist not found!
data 80,,,,,artist not found!
morphine,Bootleg: Detroit,"Sep 26, 2000",80,tbd,
morphine,The Night,"Feb 1, 2000",74,7.8,
scene creamers,,,,,artist not found!
the in out,,,,,artist not found!
true love always,,,,,artist not found!
spring heel jack,Disappeared,"Aug 22, 2000",71,tbd,
eric idle,Robin Williams: Come Inside My Mind,"Jul 13, 2018",74,7.0,
eric idle,Absolutely Anything,"May 12, 2017",31,6.0,
eric idle,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),"Sep 10, 2010",68,8.7,
eric idle,Delgo,"Dec 12, 2008",27,3.4,
eric idle,Shrek the Third,"May 18, 2007",58,6.5,
eric idle,Ella Enchanted,"Apr 9, 2004",53,8.0,
eric idle,Concert for George,"Oct 3, 2003",82,7.8,
eric idle,102 Dalmatians,"Nov 22, 2000",35,5.1,
eric idle,Dudley Do-Right,"Aug 27, 1999",44,tbd,
eric idle,South Park: Bigger Longer & Uncut,"Jun 30, 1999",73,8.8,
eric idle,Casper,"May 26, 1995",49,7.6,
eric idle,The Adventures of Baron Munchausen,"Mar 10, 1989",69,8.1,
eric idle,Monty Python's Life of Brian,"Aug 17, 1979",77,7.9,
eric idle,Monty Python and the Holy Grail,"Apr 14, 1975",93,8.7,
neon hunk,,,,,artist not found!
"awol one, daddy kev",,,,,artist not found!
burnside project,,,,,artist not found!
com.a,,,,,artist not found!
"liars, oneida",,,,,artist not found!
snitches,,,,,artist not found!
muggs,Dust,"Mar 11, 2003",67,8.3,
asa chang & junray,,,,,artist not found!
mr. scruff,,,,,artist not found!
dorine muraille,,,,,artist not found!
donovan,The Pied Piper,"Feb 2, 2007",tbd,tbd,
lewis parker,,,,,artist not found!
ester drang,,,,,artist not found!
muslimgauze,,,,,artist not found!
the holy ghost,,,,,artist not found!
otto von schirach,Supermeng,"Aug 14, 2012",68,tbd,
black box recorder,Passionoia,"Sep 2, 2003",70,7.8,
black box recorder,The Facts Of Life,"Mar 20, 2001",82,8.0,
the phenomenological boys,,,,,artist not found!
alejandra and aeron,,,,,artist not found!
angus maclise,,,,,artist not found!
liaisons dangereuses,,,,,artist not found!
funki porcini,,,,,artist not found!
the folk implosion,,,,,artist not found!
super madrigal brothers,,,,,artist not found!
sorry about dresden,,,,,artist not found!
firesign theatre,,,,,artist not found!
art of fighting,,,,,artist not found!
king crimson,Sailors' Tales 1970-1972 [Box Set],"Nov 17, 2017",84,tbd,
king crimson,Live at the Orpheum,"Jan 20, 2015",75,tbd,
king crimson,The Power To Believe,"Mar 4, 2003",72,8.7,
tobin sprout,The Universe and Me,"Jan 27, 2017",78,tbd,
tobin sprout,Lost Planets & Phantom Voices,"Feb 25, 2003",76,tbd,
stick men with ray guns,,,,,artist not found!
asian dub foundation,,,,,artist not found!
cynthia dall,,,,,artist not found!
"jon langford, the sadies",,,,,artist not found!
james chance,Blank City,"Apr 6, 2011",70,tbd,
canyon,,,,,artist not found!
the instruments,,,,,artist not found!
elvis costello & the attractions,,,,,artist not found!
n.o.i.a.,,,,,artist not found!
no knife,,,,,artist not found!
kaada,,,,,artist not found!
akio suzuki,,,,,artist not found!
jan jelinek avec the exposures,,,,,artist not found!
majesticons,,,,,artist not found!
fontanelle,,,,,artist not found!
stakker,,,,,artist not found!
pluxus,,,,,artist not found!
ryoji ikeda,,,,,artist not found!
screamer,,,,,artist not found!
elevator,,,,,artist not found!
"dj spooky, killah priest, ward 29",,,,,artist not found!
seana carmody,,,,,artist not found!
"busdriver, daedelus, radioinactive",,,,,artist not found!
massimo,,,,,artist not found!
james luther dickinson,,,,,artist not found!
banco de gaia,,,,,artist not found!
pocket rockets,,,,,artist not found!
hangedup,,,,,artist not found!
last days of may,,,,,artist not found!
sutekh,,,,,artist not found!
drive like jehu,,,,,artist not found!
tangerine dream,,,,,artist not found!
dj spinna,,,,,artist not found!
rovo,,,,,artist not found!
bosco and jorge,,,,,artist not found!
sonny & linda sharrock,,,,,artist not found!
bikeride,,,,,artist not found!
boas,,,,,artist not found!
12 rods,,,,,artist not found!
heroine sheiks,,,,,artist not found!
