artist,album,year,critic_score,user_score,comment
tim presley,The Wink,"Sep 16, 2016",73,tbd,
nick cave & the bad seeds,,,,,artist not found!
manuel gttsching,,,,,artist not found!
cristian vogel,,,,,artist not found!
el perro del mar,KoKoro,"Sep 16, 2016",80,6.8,
el perro del mar,Pale Fire,"Dec 4, 2012",66,6.5,
el perro del mar,Love Is Not Pop,"Oct 20, 2009",78,tbd,
el perro del mar,From The Valley To The Stars,"Apr 22, 2008",67,6.3,
m.i.a.,AIM,"Sep 9, 2016",65,8.1,
m.i.a.,Matangi,"Nov 5, 2013",78,8.5,
m.i.a.,Vicki Leekx,"Dec 31, 2010",75,8.0,
m.i.a.,MAYA,"Jul 13, 2010",68,8.5,
m.i.a.,Kala,"Aug 21, 2007",87,8.6,
m.i.a.,Arular,"Mar 22, 2005",88,8.3,
jhann jhannsson,The Miners' Hymns,"Feb 10, 2012",76,tbd,
jack white,Boarding House Reach,"Mar 23, 2018",74,7.5,
jack white,Forever and Then Some,"Apr 14, 2017",80,tbd,
jack white,Acoustic Recordings 1998-2016,"Sep 9, 2016",81,7.5,
jack white,Dodge and Burn,"Sep 25, 2015",75,8.1,
jack white,Lazaretto,"Jun 10, 2014",80,8.0,
jack white,Blunderbuss,"Apr 24, 2012",83,8.5,
jack white,The Party Ain't Over,"Jan 25, 2011",66,7.9,
jack white,The Ghost Who Walks,"May 25, 2010",68,8.5,
"steve buscemi, elliott sharp",,,,,artist not found!
alpha 606,,,,,artist not found!
adam torres,Pearls to Swine,"Sep 9, 2016",82,tbd,
vox clamantis,,,,,artist not found!
caetano veloso,Live At Carnegie Hall,"Mar 13, 2012",70,tbd,
caetano veloso,Ce,"Jan 23, 2007",75,7.9,
angelo badalamenti,Thought Gang,"Nov 2, 2018",70,tbd,
okkervil river,In the Rainbow Rain,"Apr 27, 2018",68,7.1,
okkervil river,Away,"Sep 9, 2016",78,8.3,
okkervil river,The Silver Gymnasium,"Sep 3, 2013",78,8.4,
okkervil river,I Am Very Far,"May 10, 2011",79,8.3,
okkervil river,The Stand Ins,"Sep 9, 2008",78,8.5,
okkervil river,The Stage Names,"Aug 7, 2007",82,8.8,
okkervil river,Black Sheep Boy,"Apr 5, 2005",86,8.8,
banks & steelz,,,,,artist not found!
liza,Independent Lens: Season 18,"Oct 3, 2016",tbd,tbd,
liza,America's Next Top Model: Season 17,"Sep 14, 2011",tbd,4.3,
wilco,Ode To Joy,"Oct 4, 2019",87,tbd,
