artist,album,year,critic_score,user_score,comment
chuck inglish,Convertibles,"Apr 8, 2014",68,tbd,
cute heels,,,,,artist not found!
golden retriever,Rotations,"Jul 28, 2017",82,tbd,
golden retriever,Seer,"Mar 25, 2014",74,tbd,
golden retriever,Occupied With the Unspoken,"Jul 24, 2012",69,tbd,
tweens,Tweens,"Apr 8, 2014",72,tbd,
mobb deep,The Infamous Mobb Deep,"Apr 1, 2014",70,8.7,
mobb deep,Black Cocaine [EP],"Nov 21, 2011",61,tbd,
mobb deep,Blood Money,"May 2, 2006",55,7.3,
mobb deep,Amerikaz Nightmare,"Aug 10, 2004",63,6.7,
"squarepusher, z machines",,,,,artist not found!
the skull defekts,The Skull Defekts,"Feb 23, 2018",76,tbd,
the skull defekts,Dances in Dreams of the Known and Unknown,"Apr 8, 2014",73,tbd,
the skull defekts,Peer Amid,"Feb 15, 2011",73,tbd,
sohn,Rennen,"Jan 13, 2017",67,7.1,
sohn,Tremors,"Apr 8, 2014",78,8.4,
man forever with so percussion,,,,,artist not found!
avey tares slasher flicks,Enter the Slasher House,"Apr 8, 2014",72,8.0,
off!,Wasted Years,"Apr 8, 2014",74,7.8,
off!,OFF!,"May 8, 2012",75,8.0,
fireworks,"Oh, Common Life","Mar 25, 2014",83,tbd,
pyrrhon,,,,,artist not found!
loops haunt,,,,,artist not found!
young & sick,,,,,artist not found!
jon langford,Four Lost Souls,"Sep 22, 2017",73,tbd,
jon langford,Here Be Monsters,"Apr 1, 2014",79,tbd,
the faint,Egowerk,"Mar 15, 2019",70,tbd,
the faint,Doom Abuse,"Apr 8, 2014",71,tbd,
the faint,Fasciinatiion,"Aug 5, 2008",61,8.8,
the faint,Wet From Birth,"Sep 14, 2004",72,8.0,
teebs,Estara,"Apr 8, 2014",68,tbd,
teebs,"Collections, Vol. 1","Dec 6, 2011",82,tbd,
white hinterland,Baby,"Apr 1, 2014",74,7.4,
white hinterland,Kairos,"Mar 9, 2010",76,7.8,
sage the gemini,Remember Me,"Mar 25, 2014",69,6.2,
sisyphus,Sisyphus,"Mar 18, 2014",64,7.4,
millie & andrea,,,,,artist not found!
nux vomica,,,,,artist not found!
legowelt,,,,,artist not found!
orcas,Orcas,"Apr 24, 2012",72,tbd,
architecture in helsinki,NOW + 4EVA,"Apr 1, 2014",42,6.5,
architecture in helsinki,Moment Bends,"May 3, 2011",61,7.6,
architecture in helsinki,Places Like This,"Aug 21, 2007",66,6.2,
architecture in helsinki,In Case We Die,"Apr 12, 2005",72,8.4,
pure x,Angel,"Apr 1, 2014",73,tbd,
pure x,Crawling Up the Stairs,"May 14, 2013",68,tbd,
pure x,Pleasure,"Jul 5, 2011",70,tbd,
manchester orchestra,A Black Mile to the Surface,"Jul 28, 2017",79,8.2,
manchester orchestra,Cope,"Apr 1, 2014",70,8.2,
manchester orchestra,Simple Math,"May 10, 2011",73,8.0,
manchester orchestra,Mean Everything To Nothing,"Apr 21, 2009",70,8.1,
ausmuteants,,,,,artist not found!
cloud nothings,Last Building Burning,"Oct 19, 2018",79,7.5,
cloud nothings,Life Without Sound,"Jan 27, 2017",79,7.5,
cloud nothings,Here and Nowhere Else,"Apr 1, 2014",79,8.4,
cloud nothings,Attack On Memory,"Jan 24, 2012",83,8.8,
cloud nothings,Cloud Nothings,"Jan 25, 2011",73,7.1,
small black,Best Blues,"Oct 16, 2015",61,tbd,
small black,Limits of Desire,"May 14, 2013",60,8.3,
small black,New Chain,"Oct 25, 2010",68,5.8,
bart davenport,Physical World,"Mar 4, 2014",75,tbd,
gang wizard,,,,,artist not found!
the hold steady,Thrashing thru the Passion,"Aug 16, 2019",75,6.8,
the hold steady,Teeth Dreams,"Mar 25, 2014",74,7.5,
the hold steady,Heaven Is Whenever,"May 4, 2010",76,8.3,
the hold steady,A Positive Rage,"Apr 7, 2009",77,8.5,
the hold steady,Stay Positive,"Jul 15, 2008",85,7.8,
the hold steady,Boys And Girls In America,"Oct 3, 2006",85,8.4,
the hold steady,Separation Sunday,"May 3, 2005",86,8.7,
the hold steady,Almost Killed Me,"Apr 20, 2004",78,8.2,
2ne1,,,,,artist not found!
chimurenga renaissance,,,,,artist not found!
pilgrim,II: Void Worship,"Apr 1, 2014",76,tbd,
johnny cash,Out Among the Stars,"Mar 25, 2014",69,7.5,
johnny cash,The  Complete Columbia Album Collection,"Dec 4, 2012",99,7.2,
johnny cash,"Bootleg, Vol. 3: Live Around the World","Oct 11, 2011",84,tbd,
johnny cash,"Bootleg, Vol. 2: From Memphis to Hollywood","Feb 22, 2011",74,tbd,
johnny cash,American VI: Ain't No Grave,"Feb 23, 2010",79,8.6,
johnny cash,American V: A Hundred Highways,"Jul 4, 2006",82,8.7,
johnny cash,American IV: The Man Comes Around,"Nov 5, 2002",70,8.8,
johnny cash,American III: Solitary Man,"Oct 17, 2000",80,8.6,
glenn kotche,Familial,"Aug 31, 2010",66,7.0,
glenn kotche,Mobile,"Mar 7, 2006",69,tbd,
the bad plus,The Bad Plus Joshua Redman,"May 26, 2015",84,tbd,
the bad plus,The  Rite of Spring,"Mar 25, 2014",84,tbd,
the bad plus,Made Possible,"Sep 25, 2012",85,tbd,
the bad plus,For All I Care,"Feb 3, 2009",68,tbd,
the bad plus,Prog,"May 8, 2007",80,8.3,
the bad plus,Give,"Mar 9, 2004",75,8.0,
the bad plus,These Are The Vistas,"Feb 11, 2003",81,6.8,
the brothers & sisters,,,,,artist not found!
horseback,Dead Ringers,"Aug 12, 2016",75,tbd,
horseback,Piedmont Apocrypha,"Mar 25, 2014",76,tbd,
horseback,A Plague of Knowing,"Aug 20, 2013",85,tbd,
carla bozulich,Quieter,"May 11, 2018",81,tbd,
carla bozulich,Boy,"Mar 4, 2014",83,6.0,
carla bozulich,In Animal Tongue,"Sep 20, 2011",64,tbd,
twilight,III: Beneath Trident's Tomb,"Mar 18, 2014",65,tbd,
future islands,The  Far Field,"Apr 7, 2017",77,7.5,
future islands,Singles,"Mar 25, 2014",82,8.5,
future islands,On the Water,"Oct 11, 2011",80,8.6,
future islands,In Evening Air,"May 4, 2010",74,8.7,
lavender country,,,,,artist not found!
owls,Two,"Mar 25, 2014",74,tbd,
tony molina,SONGS FROM SAN MATEO COUNTY,"Jul 19, 2019",83,tbd,
tony molina,Kill the Lights,"Jul 27, 2018",81,7.1,
tony molina,Dissed and Dismissed,"Mar 25, 2014",79,8.5,
grieves,Winter & the Wolves,"Mar 25, 2014",58,8.0,
grieves,Together/Apart,"Jun 21, 2011",70,tbd,
liars,1/1 [Original Soundtrack],"Jul 20, 2018",67,tbd,
liars,TFCF,"Aug 25, 2017",73,6.3,
liars,Mess,"Mar 25, 2014",75,8.1,
liars,WIXIW,"Jun 5, 2012",81,8.5,
liars,Sisterworld,"Mar 9, 2010",78,7.6,
liars,Liars,"Aug 28, 2007",79,7.8,
liars,Drum's Not Dead,"Mar 21, 2006",79,8.7,
liars,"They Were Wrong, So We Drowned","Feb 24, 2004",64,8.1,
liars,They Threw Us in a Trench and Stuck a Monument On Top,"Aug 20, 2002",77,8.2,
pan sonic,Kesto (234.48:4),"May 18, 2004",74,7.0,
pan sonic,Aaltopiiri,"Jan 16, 2001",71,tbd,
dutch e germ,,,,,artist not found!
skrillex,Bangarang [EP],"Jan 24, 2012",60,6.0,
evian christ,Waterfall [EP],"Mar 18, 2014",70,6.8,
"jonny greenwood, bryce dessner",,,,,artist not found!
tokyo police club,Forcefield,"Mar 25, 2014",69,7.6,
tokyo police club,Champ,"Jun 8, 2010",71,8.3,
tokyo police club,Elephant Shell,"Apr 22, 2008",68,8.7,
jon porras,Light Divide,"Mar 25, 2014",74,tbd,
jon porras,Black Mesa,"Apr 17, 2012",70,tbd,
black lips,Satan's Graffiti or God's Art?,"May 5, 2017",71,8.0,
black lips,Underneath the Rainbow,"Mar 18, 2014",71,6.5,
black lips,Arabia Mountain,"Jun 7, 2011",80,8.5,
black lips,200 Million Thousand,"Feb 24, 2009",75,8.5,
black lips,Good Bad Not Evil,"Sep 11, 2007",73,8.7,
current 93,I Am the Last of All the Field That Fell: A Channel,"Mar 4, 2014",72,tbd,
offenders,,,,,artist not found!
vertical scratchers,Daughter of Everything,"Feb 25, 2014",75,tbd,
kevin drew,Darlings,"Mar 18, 2014",67,8.1,
kevin drew,Spirit If...,"Sep 18, 2007",72,8.1,
the coathangers,The  Devil You Know,"Mar 8, 2019",77,tbd,
the coathangers,Nosebleed Weekend,"Apr 15, 2016",68,tbd,
the coathangers,Suck My Shirt,"Mar 18, 2014",71,tbd,
the coathangers,Larceny & Old Lace,"Jun 7, 2011",71,tbd,
the coathangers,Scramble,"Apr 7, 2009",71,tbd,
woo,,,,,artist not found!
vermont,II,"Feb 10, 2017",72,tbd,
vermont,Vermont,"Mar 18, 2014",78,tbd,
lyla foy,Mirrors the Sky,"Mar 18, 2014",70,tbd,
the war on drugs,A Deeper Understanding,"Aug 25, 2017",81,8.4,
the war on drugs,Lost In the Dream,"Mar 18, 2014",86,8.7,
the war on drugs,Slave Ambient,"Aug 16, 2011",82,8.1,
tycho,Weather,"Jul 12, 2019",75,5.0,
tycho,Epoch,"Jan 20, 2017",76,7.2,
tycho,Awake,"Mar 18, 2014",69,8.1,
tycho,Dive,"Nov 8, 2011",80,8.9,
beth israel,,,,,artist not found!
perfect pussy,Say Yes to Love,"Mar 18, 2014",77,7.5,
nocando,,,,,artist not found!
bo anders persson,,,,,artist not found!
trust,Joyland,"Mar 4, 2014",72,8.1,
trust,TRST,"Feb 28, 2012",71,8.8,
move d,,,,,artist not found!
the unsemble,The Unsemble,"Mar 4, 2014",70,tbd,
ringworm,Hammer of the Witch,"Mar 18, 2014",78,tbd,
"madlib, freddie gibbs",,,,,artist not found!
elbow,Lost Worker Bee [EP],"Jul 31, 2015",70,7.6,
elbow,The Take Off and Landing of Everything,"Mar 11, 2014",80,8.2,
elbow,Dead in the Boot,"Nov 20, 2012",78,7.9,
elbow,Build a Rocket Boys!,"Apr 12, 2011",82,8.0,
elbow,The Seldom Seen Kid,"Apr 22, 2008",82,8.9,
elbow,Leaders Of The Free World,"Feb 21, 2006",78,8.8,
elbow,Cast Of Thousands,"Jan 27, 2004",84,8.6,
elbow,Asleep In The Back,"Jan 22, 2002",82,8.6,
"donato dozzy, nuel",,,,,artist not found!
posse,,,,,artist not found!
dean wareham,Mistress America,"Aug 14, 2015",75,6.6,
dean wareham,(Untitled),"Oct 23, 2009",58,6.9,
dean wareham,Piggie,"Sep 15, 2005",42,tbd,
dean wareham,Mr. Jealousy,"Jun 5, 1998",61,tbd,
peter walker,Lachesis/Clotho/Atropos,"Sep 14, 2018",80,tbd,
benedek,,,,,artist not found!
dodsferd,,,,,artist not found!
sun araw,Belomancie,"Feb 17, 2014",78,tbd,
sun araw,"Frkwys, Vol. 9: Icon Give Thank","Apr 17, 2012",77,tbd,
sun araw,Ancient Romans,"Aug 23, 2011",75,tbd,
sun araw,Night Gallery,"Jul 19, 2011",72,tbd,
hauschka,A Different Forest,"Feb 8, 2019",80,tbd,
hauschka,What If,"Mar 31, 2017",82,7.6,
hauschka,Abandoned City,"Mar 18, 2014",77,tbd,
hauschka,Silfra,"May 22, 2012",70,tbd,
hauschka,Salon des Amateurs,"Apr 12, 2011",78,tbd,
hauschka,Foreign Landscapes,"Oct 12, 2010",70,tbd,
hauschka,Snowflakes And Carwrecks [EP],"Feb 3, 2009",76,tbd,
hauschka,Ferndorf,"Oct 7, 2008",76,tbd,
thou,Magus,"Aug 31, 2018",83,7.5,
