artist,album,year,critic_score,user_score,comment
cooly g,Wait 'Til Night,"Oct 21, 2014",66,tbd,
cooly g,Hold Me [EP],"Jan 28, 2014",61,tbd,
dilly dally,Heaven,"Sep 14, 2018",82,7.5,
dilly dally,Sore,"Oct 9, 2015",81,8.4,
cara stacey,,,,,artist not found!
visionist,Value,"Oct 20, 2017",69,tbd,
visionist,Safe,"Oct 9, 2015",83,tbd,
the decemberists,I'll Be Your Girl,"Mar 16, 2018",69,6.2,
the decemberists,"What a Terrible World, What a Beautiful World","Jan 20, 2015",77,8.0,
the decemberists,We All Raise Our Voices to the Air: Live Songs 04.11.08,"Mar 13, 2012",77,8.0,
the decemberists,Long Live the King [EP],"Nov 1, 2011",66,6.1,
the decemberists,iTunes Session [EP],"Aug 2, 2011",69,tbd,
the decemberists,The  King Is Dead,"Jan 18, 2011",77,8.0,
the decemberists,The Hazards Of Love,"Mar 24, 2009",73,8.5,
the decemberists,The Crane Wife,"Oct 3, 2006",84,8.8,
the decemberists,Picaresque,"Mar 22, 2005",81,8.5,
the decemberists,Her Majesty The Decemberists,"Sep 9, 2003",83,7.9,
alex g,,,,,artist not found!
young dro,Nick Cannon Presents Wild 'N Out: Season 8,"Aug 4, 2016",tbd,tbd,
protomartyr,Consolation [EP],"Jun 15, 2018",81,8.5,
protomartyr,Relatives in Descent,"Sep 29, 2017",85,7.9,
protomartyr,The Agent Intellect,"Oct 9, 2015",85,8.2,
protomartyr,Under Color of Official Right,"Apr 8, 2014",83,8.3,
christian scott,Ancestral Recall,"Mar 15, 2019",88,8.6,
christian scott,The Emancipation Procrastination,"Oct 20, 2017",83,tbd,
christian scott,Christian a Tunde Adjuah,"Jul 31, 2012",75,8.6,
shopping,The  Official Body,"Jan 19, 2018",76,7.9,
shopping,Why Choose,"Oct 2, 2015",77,tbd,
donato dozzy,Filo Loves the Acid,"Jul 27, 2018",79,tbd,
donato dozzy,The  Loud Silence,"Oct 2, 2015",75,tbd,
donato dozzy,Voices from the Lake,"Jan 31, 2012",87,tbd,
eagles of death metal,Zipper Down,"Oct 2, 2015",73,7.2,
eagles of death metal,Heart On,"Oct 28, 2008",74,8.8,
eagles of death metal,Death By Sexy,"Apr 11, 2006",72,7.9,
eagles of death metal,Peace Love Death Metal,"Mar 23, 2004",73,8.1,
paul mccartney,Egypt Station,"Sep 7, 2018",74,7.5,
paul mccartney,Tug of War [Deluxe Edition],"Oct 2, 2015",79,6.7,
paul mccartney,Pipes of Peace [Deluxe Edition],"Oct 2, 2015",56,8.7,
paul mccartney,The U.S. Albums [Box Set],"Jan 21, 2014",74,7.7,
paul mccartney,"On Air: Live at the BBC, Vol. 2","Nov 11, 2013",82,8.8,
paul mccartney,New,"Oct 15, 2013",77,8.5,
paul mccartney,Wings Over America [Deluxe Edition],"May 28, 2013",72,8.1,
paul mccartney,Ram [Deluxe Edition],"May 22, 2012",86,8.7,
paul mccartney,Kisses on the Bottom,"Feb 7, 2012",62,7.8,
paul mccartney,Paul McCartney: Ocean's Kingdom,"Oct 4, 2011",60,5.6,
paul mccartney,Good Evening New York City,"Nov 17, 2009",71,7.5,
paul mccartney,Memory Almost Full,"Jun 5, 2007",69,8.4,
paul mccartney,Chaos And Creation In The Backyard,"Sep 13, 2005",78,8.8,
paul mccartney,Driving Rain,"Nov 13, 2001",75,7.6,
"ryan hemsworth, lucas",,,,,artist not found!
co la,Are Euphoria,"Jun 16, 2017",77,tbd,
co la,No No,"Oct 9, 2015",75,tbd,
co la,Daydream Repeater,"Nov 15, 2011",67,tbd,
wavves,You're Welcome,"May 19, 2017",71,7.0,
wavves,V,"Oct 2, 2015",77,7.4,
wavves,Afraid of Heights,"Mar 26, 2013",70,8.0,
wavves,Life Sux [EP],"Sep 20, 2011",67,8.7,
wavves,King of the Beach,"Aug 3, 2010",72,8.3,
wavves,Wavvves,"Mar 17, 2009",68,6.6,
autre ne veut,Age of Transparency,"Oct 2, 2015",79,8.7,
autre ne veut,Anxiety,"Feb 26, 2013",78,8.2,
girl band,The Talkies,"Sep 27, 2019",81,tbd,
girl band,Holding Hands With Jamie,"Sep 25, 2015",78,8.5,
girl band,The Early Years [EP],"Apr 21, 2015",76,8.0,
nicole dollanganger,,,,,artist not found!
larry gus,I Need New Eyes,"Oct 2, 2015",65,tbd,
larry gus,Years Not Living,"Aug 20, 2013",67,tbd,
battles,La Di Da Di,"Sep 18, 2015",73,7.4,
battles,Dross Glop,"Apr 17, 2012",64,tbd,
battles,Gloss Drop,"Jun 7, 2011",79,8.4,
battles,Mirrored,"May 22, 2007",86,8.0,
childbirth,Women's Rights,"Oct 2, 2015",58,tbd,
moscow club,,,,,artist not found!
deafheaven,Ordinary Corrupt Human Love,"Jul 13, 2018",85,7.9,
deafheaven,New Bermuda,"Oct 2, 2015",85,8.7,
deafheaven,Sunbather,"Jun 11, 2013",92,8.5,
big grams,Big Grams [EP],"Sep 25, 2015",61,7.0,
jay rock,Redemption,"Jun 15, 2018",81,8.1,
jay rock,90059,"Sep 11, 2015",79,7.6,
jay rock,Follow Me Home,"Jul 26, 2011",73,8.1,
mercury rev,Bobbie Gentry's the Delta Sweete Revisited,"Feb 8, 2019",73,6.6,
mercury rev,The Light in You,"Oct 2, 2015",75,8.0,
mercury rev,Snowflake Midnight,"Sep 30, 2008",67,8.3,
mercury rev,The Secret Migration,"May 17, 2005",76,7.8,
mercury rev,All Is Dream,"Sep 11, 2001",80,8.5,
drew mcdowall,,,,,artist not found!
graveyard,Innocence & Decadence,"Sep 25, 2015",77,tbd,
graveyard,Lights Out,"Nov 6, 2012",78,tbd,
graveyard,Hisingen Blues,"Apr 19, 2011",72,tbd,
doe paoro,,,,,artist not found!
the dead weather,Dodge and Burn,"Sep 25, 2015",75,8.1,
the dead weather,Sea Of Cowards,"May 11, 2010",70,8.0,
the dead weather,Horehound,"Jul 14, 2009",75,8.2,
peaches,Rub,"Sep 25, 2015",78,7.5,
peaches,I Feel Cream,"May 5, 2009",74,8.6,
peaches,Impeach My Bush,"Jul 11, 2006",74,6.7,
peaches,Fatherfucker,"Sep 23, 2003",70,7.2,
peaches,The Teaches of Peaches,"Oct 8, 2002",73,8.5,
wand,Laughing Matter,"Apr 19, 2019",77,7.3,
wand,Plum,"Sep 22, 2017",76,6.0,
wand,1000 Days,"Sep 25, 2015",76,tbd,
wand,Golem,"Mar 17, 2015",75,tbd,
wand,Ganglion Reef,"Aug 26, 2014",76,tbd,
ron morelli,The Biggest Loser: Season 7,"Jan 6, 2009",tbd,tbd,
sarah kirkland snider,,,,,artist not found!
chvrches,Love is Dead,"May 25, 2018",73,7.5,
chvrches,Every Open Eye,"Sep 25, 2015",77,8.0,
chvrches,The Bones of What You Believe,"Sep 24, 2013",80,8.8,
chvrches,Recover [EP],"Mar 26, 2013",75,8.1,
casey veggies,,,,,artist not found!
the world is a beautiful place & i am no longer afraid to die,,,,,artist not found!
chevel,,,,,artist not found!
mariah,RuPaul's Drag Race: Season 9,"Mar 24, 2017",tbd,8.6,
mariah,The Wendy Williams Show: Season 9,"Sep 19, 2016",tbd,tbd,
mariah,RuPaul's Drag Race: Season 3,"Jan 24, 2011",tbd,8.8,
mariah,RuPaul's Drag Race: Season 1,"Feb 2, 2009",tbd,8.8,
juicy j,Rubba Band Business: The Album,"Dec 8, 2017",59,5.8,
juicy j,Stay Trippy,"Aug 27, 2013",66,6.8,
t.i.,Monster Hunter,"Sep 4, 2020",tbd,tbd,
t.i.,Dolemite Is My Name,"Oct 4, 2019",71,tbd,
t.i.,Ant-Man and the Wasp,"Jul 6, 2018",70,7.1,
t.i.,Krystal,"Apr 13, 2018",39,5.8,
t.i.,Sleepless,"Jan 13, 2017",34,4.5,
t.i.,Ride Along 2,"Jan 15, 2016",32,tbd,
t.i.,Ant-Man,"Jul 17, 2015",64,8.1,
t.i.,Get Hard,"Mar 27, 2015",34,4.2,
t.i.,Identity Thief,"Feb 8, 2013",35,tbd,
t.i.,Takers,"Aug 27, 2010",45,5.4,
t.i.,ATL,"Mar 31, 2006",63,7.4,
t.i.,Cut Throat City,TBA,tbd,tbd,
des ark,,,,,artist not found!
micachu and the shapes,,,,,artist not found!
"drake, future",,,,,artist not found!
u.s. girls,,,,,artist not found!
"fennesz, king midas sound",,,,,artist not found!
jawbox,,,,,artist not found!
destruction unit,Negative Feedback Resistor,"Sep 18, 2015",71,tbd,
destruction unit,Deep Trip,"Aug 20, 2013",79,tbd,
kurt vile,Bottle It In,"Oct 12, 2018",78,7.9,
kurt vile,Lotta Sea Lice,"Oct 13, 2017",79,7.5,
kurt vile,B'lieve I'm Goin' Down,"Sep 25, 2015",83,7.5,
kurt vile,It's a Big World Out There (And I Am Scared) [EP],"Nov 19, 2013",70,tbd,
kurt vile,Jamaica Plain [EP],"Nov 4, 2013",59,tbd,
kurt vile,Wakin on a Pretty Daze,"Apr 9, 2013",82,8.6,
kurt vile,So Outta Reach [EP],"Nov 8, 2011",76,tbd,
kurt vile,Smoke Ring for My Halo,"Mar 8, 2011",82,8.0,
kurt vile,Childish Prodigy,"Oct 6, 2009",71,7.4,
new order,"∑(No,12k,Lg,17Mif) New Order + Liam Gillick: So it goes.. [Live]","Jul 12, 2019",74,tbd,
new order,Music Complete,"Sep 25, 2015",76,8.4,
new order,Live at Bestival 2012,"Jul 8, 2013",76,tbd,
new order,Lost Sirens,"Jan 14, 2013",65,6.5,
new order,Waiting For The Sirens' Call,"Apr 26, 2005",63,7.9,
new order,Get Ready,"Oct 16, 2001",72,8.4,
natasha kmeto,,,,,artist not found!
botany,,,,,artist not found!
lana del rey,Norman Fucking Rockwell!,"Aug 30, 2019",87,9.2,
lana del rey,Lust for Life,"Jul 21, 2017",77,8.0,
lana del rey,Honeymoon,"Sep 18, 2015",78,8.4,
lana del rey,Ultraviolence,"Jun 17, 2014",74,8.4,
lana del rey,Paradise [EP],"Nov 13, 2012",64,8.3,
lana del rey,Born to Die,"Jan 31, 2012",62,8.3,
the arcs,"Yours, Dreamily","Sep 4, 2015",76,8.2,
max richter,Max Richter: Three Worlds – Music from Woolf Works,"Jan 27, 2017",81,7.2,
max richter,Max Richter: Sleep [8 Hour Version],"Sep 4, 2015",79,7.9,
max richter,Infra,"Jul 20, 2010",77,8.2,
sam binga,,,,,artist not found!
donmonique,,,,,artist not found!
julia holter,Aviary,"Oct 26, 2018",83,8.0,
julia holter,In the Same Room,"Mar 31, 2017",76,7.8,
julia holter,Have You in My Wilderness,"Sep 25, 2015",87,8.6,
julia holter,Loud City Song,"Aug 20, 2013",88,8.5,
julia holter,Ekstasis,"Mar 12, 2012",83,8.5,
the roadside graves,,,,,artist not found!
dit,,,,,artist not found!
youth lagoon,Savage Hills Ballroom,"Sep 25, 2015",74,7.2,
youth lagoon,Wondrous Bughouse,"Mar 5, 2013",74,8.1,
youth lagoon,The  Year of Hibernation,"Sep 27, 2011",77,8.8,
blackalicious,"Imani, Vol. 1","Sep 18, 2015",76,8.1,
blackalicious,The Craft,"Sep 27, 2005",80,7.8,
jens uwe beyer,,,,,artist not found!
dope body,Kunk,"Aug 28, 2015",68,tbd,
dope body,Lifer,"Oct 21, 2014",72,tbd,
dope body,Natural History,"May 22, 2012",72,tbd,
willis earl beal,Noctunes,"Aug 28, 2015",70,tbd,
willis earl beal,Experiments in Time,"Aug 8, 2014",76,tbd,
willis earl beal,Nobody Knows,"Sep 10, 2013",74,8.8,
willis earl beal,Acousmatic Sorcery,"Apr 3, 2012",70,6.0,
corrina repp,,,,,artist not found!
"merzbow, jim orourke, akira sakata, chikamorachi",,,,,artist not found!
ought,Room Inside the World,"Feb 16, 2018",81,8.0,
ought,Sun Coming Down,"Sep 18, 2015",80,8.3,
ought,Once More With Feeling... [EP],"Oct 28, 2014",78,8.2,
ought,More Than Any Other Day,"Apr 29, 2014",84,8.6,
metric,Synthetica,"Jun 12, 2012",71,7.9,
metric,Fantasies,"Apr 14, 2009",77,8.8,
metric,Live It Out,"Oct 4, 2005",71,8.2,
pole,Steingarten,"Apr 3, 2007",82,8.5,
pole,Pole,"Jul 15, 2003",66,tbd,
pole,45/45 [EP],"Apr 22, 2003",75,tbd,
pole,3,"Jun 20, 2000",73,tbd,
air waves,,,,,artist not found!
low,Double Negative,"Sep 14, 2018",86,7.9,
low,Ones and Sixes,"Sep 11, 2015",78,8.3,
low,The Invisible Way,"Mar 19, 2013",80,8.4,
low,C'mon,"Apr 12, 2011",80,7.6,
low,Drums And Guns,"Mar 20, 2007",81,8.3,
low,The Great Destroyer,"Jan 25, 2005",82,8.2,
low,A Lifetime Of Temporary Relief,"Jul 20, 2004",80,tbd,
low,Trust,"Sep 24, 2002",76,8.4,
low,Things We Lost In The Fire,"Feb 6, 2001",87,8.8,
dj richard,,,,,artist not found!
rose mcdowall,Cut With the Cake Knife,"Sep 18, 2015",82,tbd,
skylar spence,,,,,artist not found!
joan shelley,Like the River Loves the Sea,"Aug 30, 2019",84,7.0,
joan shelley,Joan Shelley,"May 5, 2017",82,7.3,
joan shelley,Over and Even,"Sep 4, 2015",85,tbd,
the isley brothers,Power of Peace,"Jul 28, 2017",66,tbd,
the isley brothers,The  RCA Victor and T-Neck Album Masters: 1959-1983 [Box Set],"Aug 21, 2015",88,tbd,
phil cook,,,,,artist not found!
pwr bttm,Pageant,"May 12, 2017",85,5.5,
pwr bttm,Ugly Cherries,"Sep 25, 2015",79,8.1,
fidlar,Almost Free,"Jan 25, 2019",74,7.2,
fidlar,Too,"Sep 4, 2015",76,8.4,
fidlar,FIDLAR,"Jan 22, 2013",72,8.5,
slayer,Repentless,"Sep 11, 2015",70,7.4,
slayer,World Painted Blood,"Nov 3, 2009",78,8.4,
slayer,Christ Illusion,"Aug 8, 2006",72,7.7,
slayer,God Hates Us All,"Sep 11, 2001",80,8.4,
petite noir,La Maison Noir/The Black House,"Oct 12, 2018",79,tbd,
petite noir,La  Vie Est Belle,"Sep 11, 2015",79,7.0,
telekinesis,Effluxion,"Feb 22, 2019",68,tbd,
telekinesis,Ad Infinitum,"Sep 18, 2015",76,tbd,
telekinesis,Dormarion,"Apr 2, 2013",72,8.4,
telekinesis,12 Desperate Straight Lines,"Feb 15, 2011",69,8.0,
telekinesis,Telekinesis!,"Apr 7, 2009",68,6.8,
mueller & roedelius,,,,,artist not found!
beirut,Gallipoli,"Feb 1, 2019",75,7.5,
beirut,"No, No, No","Sep 11, 2015",64,6.7,
beirut,The  Rip Tide,"Aug 30, 2011",78,8.9,
beirut,March Of The Zapotec/Holland [EP],"Feb 17, 2009",71,7.8,
beirut,The Flying Club Cup,"Oct 9, 2007",80,8.8,
beirut,Gulag Orkestar,"May 9, 2006",80,8.8,
helen,Heroine,"Sep 28, 2012",tbd,tbd,
