artist,album,year,critic_score,user_score,comment
p:ano,,,,,artist not found!
a northern chorus,,,,,artist not found!
memphis bleek,Madden NFL 06 (X360),"Nov 16, 2005",74,5.2,
memphis bleek,Madden NFL 06 (PS2),"Aug 8, 2005",88,8.0,
memphis bleek,Madden NFL 06 (XBOX),"Aug 8, 2005",86,6.8,
memphis bleek,Madden NFL 06 (GC),"Aug 8, 2005",86,7.8,
eric b. & rakim,,,,,artist not found!
dead machines,,,,,artist not found!
an angle,,,,,artist not found!
gilles peterson,To Those of Earth & Other Worlds,"Oct 30, 2015",82,tbd,
troubled hubble,,,,,artist not found!
kill memory crash,,,,,artist not found!
ttc,,,,,artist not found!
fannypack,See You Next Tuesday,"May 10, 2005",79,tbd,
fannypack,So Stylistic,"Jul 8, 2003",78,7.3,
aimee mann,Mental Illness,"Mar 31, 2017",84,7.8,
aimee mann,The  Both,"Apr 15, 2014",79,7.1,
aimee mann,Charmer,"Sep 18, 2012",73,7.9,
aimee mann,@#%&*! Smilers,"Jun 3, 2008",79,7.6,
aimee mann,The Forgotten Arm,"May 3, 2005",70,8.5,
aimee mann,Lost In Space,"Aug 27, 2002",74,8.6,
aimee mann,"Bachelor No. 2 (or, the last remains of the dodo)","May 2, 2000",89,8.6,
audioslave,Revelations,"Sep 5, 2006",60,8.1,
audioslave,Out Of Exile,"May 24, 2005",67,7.7,
audioslave,Audioslave,"Nov 19, 2002",62,8.5,
plane,,,,,artist not found!
idiot pilot,,,,,artist not found!
deadbeat,Eight,"Sep 11, 2012",70,tbd,
dance disaster movement,,,,,artist not found!
the punks,,,,,artist not found!
goldie lookin' chain,,,,,artist not found!
the cloud room,,,,,artist not found!
hal,Hal,"May 10, 2005",68,7.7,
shrimp boat,,,,,artist not found!
the dudley coroporation,,,,,artist not found!
c rayz walz,,,,,artist not found!
"animal collective, vashti bunyan",,,,,artist not found!
bearsuit,,,,,artist not found!
chok rock,,,,,artist not found!
currituck co.,,,,,artist not found!
dj clever,,,,,artist not found!
populous,,,,,artist not found!
headphones,Headphones,"May 10, 2005",74,7.9,
scott h. biram,,,,,artist not found!
resplendent,,,,,artist not found!
nathan michel,,,,,artist not found!
parlour,,,,,artist not found!
caesars,Strawberry Weed,"Aug 19, 2008",56,tbd,
caesars,Paper Tigers,"Apr 26, 2005",63,6.9,
the exposures,,,,,artist not found!
starflyer 59,,,,,artist not found!
wha ha ha,,,,,artist not found!
the penetrators,,,,,artist not found!
omfo,,,,,artist not found!
the blue van,,,,,artist not found!
alec empire,,,,,artist not found!
drowsy,,,,,artist not found!
john zorn,Bill Frisell: A Portrait,"Dec 6, 2017",71,tbd,
markus guentner,,,,,artist not found!
the glimmers,,,,,artist not found!
dutch dub,,,,,artist not found!
enduser,,,,,artist not found!
emperor x,Western Teleport,"Oct 4, 2011",79,tbd,
fantmas,Suspended Animation,"Apr 5, 2005",76,8.1,
fantmas,Delirium Cordia,"Jan 27, 2004",65,8.6,
weird war,Illuminated By The Light,"Apr 19, 2005",69,tbd,
chicks on speed,Press The Spacebar,"Mar 22, 2005",50,5.0,
chicks on speed,99 Cents,"Nov 2, 2004",65,tbd,
my way my love,,,,,artist not found!
the merediths,,,,,artist not found!
mars black,,,,,artist not found!
guapo,Mojados: Through the Night,"May 18, 2005",59,2.8,
jim and jennie and the pinetops,,,,,artist not found!
edie sedgwick,Andy Warhol: A Documentary Film,"Sep 1, 2006",86,8.0,
edie sedgwick,The Queen,"Jun 17, 1968",78,tbd,
crain,,,,,artist not found!
ocean colour scene,Painting,"Feb 11, 2013",55,tbd,
ocean colour scene,A Hyperactive Workout For The Flying Squad,"Mar 29, 2005",58,8.4,
ocean colour scene,Mechanical Wonder,"May 1, 2001",61,8.2,
the free design,,,,,artist not found!
"dj target, riko",,,,,artist not found!
et sans,,,,,artist not found!
david last,,,,,artist not found!
hrvatski,,,,,artist not found!
ffa coffi pawb,,,,,artist not found!
phonophani,,,,,artist not found!
emiliana torrini,Music to Draw To: Satellite,"Jan 20, 2017",74,tbd,
emiliana torrini,The Colorist & Emiliana Torrini [Live],"Dec 9, 2016",73,tbd,
emiliana torrini,Tookah,"Sep 10, 2013",71,8.4,
emiliana torrini,Me And Armini,"Sep 9, 2008",75,8.2,
petra haden,Carolina,"Jun 3, 2016",75,tbd,
petra haden,Petra Goes to the Movies,"Jan 22, 2013",69,tbd,
out hud,Let Us Never Speak Of It Again,"Mar 22, 2005",76,8.7,
out hud,S.T.R.E.E.T. D.A.D.,"Nov 19, 2002",84,8.3,
summer at shatter creek,,,,,artist not found!
drop the lime,,,,,artist not found!
the damned,Evil Spirits,"Apr 13, 2018",75,tbd,
ben lee,Love Is the Great Rebellion,"Jun 2, 2015",60,tbd,
ben lee,Deeper into Dream,"Oct 11, 2011",59,tbd,
ben lee,The Rebirth Of Venus,"Apr 28, 2009",43,5.0,
ben lee,Ripe,"Sep 18, 2007",62,tbd,
ben lee,Awake Is The New Sleep,"Feb 22, 2005",57,7.6,
ivy,In The Clear,"Mar 1, 2005",73,8.1,
ivy,Long Distance,"Jul 10, 2001",68,8.5,
the dissociatives,,,,,artist not found!
gustav,,,,,artist not found!
airborn audio,,,,,artist not found!
zzzz,,,,,artist not found!
shipping news,One Less Heartless To Fear,"Nov 9, 2010",74,tbd,
shipping news,Flies The Fields,"Mar 22, 2005",75,tbd,
shipping news,Three-Four,"Feb 18, 2003",63,tbd,
jan dukes de grey,,,,,artist not found!
a frames,,,,,artist not found!
unrest,,,,,artist not found!
langtry,,,,,artist not found!
emanon,,,,,artist not found!
steve wynn,,,,,artist not found!
