artist,album,year,critic_score,user_score,comment
tensnake,Glow,"Mar 11, 2014",65,7.9,
d. charles speer and the helix,,,,,artist not found!
abraxas,,,,,artist not found!
cynic,Kindly Bent to Free Us,"Feb 18, 2014",66,2.5,
pharrell,,,,,artist not found!
m,Open Grave,"Jan 3, 2014",33,5.7,
m,Reaching for the Moon,"Nov 8, 2013",44,6.3,
m,V/H/S/2,"Jul 12, 2013",49,6.9,
m,Los Chidos,"Mar 29, 2013",tbd,tbd,
m,Kika,"May 6, 1994",53,tbd,
linda perhacs,I'm a Harmony,"Sep 22, 2017",81,tbd,
linda perhacs,The  Soul of All Natural Things,"Mar 4, 2014",73,8.8,
laibach,The  Sound of Music,"Nov 23, 2018",73,7.6,
laibach,Also Sprach Zarathustra,"Jul 14, 2017",80,tbd,
laibach,Spectre,"Mar 11, 2014",75,tbd,
laibach,An Introduction To... Laibach/Reproduction Prohibited,"Nov 6, 2012",74,tbd,
eadonmm,,,,,artist not found!
lakutis,,,,,artist not found!
perc,,,,,artist not found!
empty flowers,,,,,artist not found!
whomadewho,Dreams,"Mar 18, 2014",71,8.5,
whomadewho,Brighter,"Mar 5, 2012",64,tbd,
whomadewho,Knee Deep,"Apr 26, 2011",75,8.8,
patten,Psi,"Sep 16, 2016",79,tbd,
patten,Estoile Naiant,"Feb 25, 2014",70,tbd,
patten,Glaqjo Xaacsso,"Sep 26, 2011",74,tbd,
"obey city, seiho",,,,,artist not found!
real estate,In Mind,"Mar 17, 2017",76,7.4,
real estate,Atlas,"Mar 4, 2014",78,7.8,
real estate,Days,"Oct 18, 2011",77,8.4,
real estate,Real Estate,"Nov 17, 2009",79,8.1,
nguzunguzu,Warm Pulse [EP],"Aug 14, 2012",70,tbd,
death vessel,Island Intervals,"Feb 25, 2014",72,tbd,
death vessel,Nothing Is Precious Enough For Us,"Aug 19, 2008",75,tbd,
the notwist,"Superheroes, Ghostvillains & Stuff [Live]","Oct 28, 2016",76,tbd,
the notwist,The  Messier Objects,"Feb 3, 2015",49,tbd,
the notwist,Close to the Glass,"Feb 25, 2014",75,8.1,
the notwist,"The Devil, You + Me","Jun 17, 2008",74,8.8,
the notwist,Neon Golden,"Feb 25, 2003",89,8.8,
skaters,Manhattan,"Feb 25, 2014",66,7.3,
,,,,,artist not found!
superchunk,What a Time to Be Alive,"Feb 16, 2018",83,7.9,
superchunk,I Hate Music,"Aug 20, 2013",83,8.0,
superchunk,Majesty Shredding,"Sep 14, 2010",83,8.5,
behemoth,I Loved You at Your Darkest,"Oct 5, 2018",88,7.9,
behemoth,The Satanist,"Feb 4, 2014",92,8.5,
christina vantzou,No. 4,"Apr 6, 2018",76,tbd,
christina vantzou,No. 2,"Feb 25, 2014",79,tbd,
the souljazz orchestra,Resistance,"Sep 4, 2015",61,tbd,
the souljazz orchestra,Inner Fire,"Feb 25, 2014",74,tbd,
the souljazz orchestra,Solidarity,"Sep 18, 2012",79,tbd,
beck,Morning Phase,"Feb 25, 2014",81,8.3,
beck,Mirror Traffic,"Aug 23, 2011",80,7.9,
beck,Demolished Thoughts,"May 24, 2011",78,8.1,
beck,Modern Guilt,"Jul 8, 2008",77,8.2,
beck,The Information,"Oct 3, 2006",73,8.2,
beck,Guerolito,"Dec 13, 2005",66,7.4,
beck,Guero,"Mar 29, 2005",78,8.6,
beck,Sea Change,"Sep 24, 2002",79,8.9,
beck,Midnite Vultures,"Nov 16, 1999",83,8.5,
damaged bug,Bunker Funk,"Mar 10, 2017",78,tbd,
damaged bug,Cold Hot Plumbs,"Jun 2, 2015",72,tbd,
damaged bug,Hubba Bubba,"Feb 25, 2014",63,tbd,
ramesh,,,,,artist not found!
st. vincent,MassEducation [2018],"Oct 12, 2018",80,8.0,
st. vincent,Masseduction,"Oct 13, 2017",88,8.8,
st. vincent,St. Vincent,"Feb 25, 2014",89,8.5,
st. vincent,Strange Mercy,"Sep 13, 2011",85,8.8,
st. vincent,Actor,"May 5, 2009",81,8.8,
st. vincent,Marry Me,"Jul 10, 2007",78,8.5,
neneh cherry,Broken Politics,"Oct 19, 2018",81,8.0,
neneh cherry,Blank Project,"Feb 25, 2014",82,7.7,
neneh cherry,The Cherry Thing,"Jun 19, 2012",77,tbd,
magic touch,,,,,artist not found!
dena,,,,,artist not found!
bleeding rainbow,Yeah Right,"Jan 29, 2013",65,tbd,
new bums,Voices In A Rented Room,"Feb 25, 2014",71,tbd,
peter buck,R.E.M. at the BBC [Box Set],"Oct 19, 2018",85,tbd,
peter buck,Paging Mr. Proust,"Apr 29, 2016",77,8.1,
peter buck,Unplugged 1991 & 2001: The Complete Sessions,"May 19, 2014",73,7.5,
peter buck,3rd,"Mar 25, 2014",77,tbd,
peter buck,Peter Buck,"Nov 20, 2012",77,tbd,
peter buck,Part Lies Part Heart Part Truth Part Garbage: 1982-2011,"Nov 15, 2011",87,8.5,
peter buck,"Baseball Project, Vol. 2: High and Inside","Mar 1, 2011",74,tbd,
slough feg,Digital Resistance,"Feb 18, 2014",81,tbd,
untold,,,,,artist not found!
optimo,,,,,artist not found!
karen gwyer,Rembo,"Jul 21, 2017",81,tbd,
kalle mattson,,,,,artist not found!
shocking pinks,Guilt Mirrors,"Feb 18, 2014",69,tbd,
shocking pinks,Shocking Pinks,"Sep 25, 2007",76,8.3,
illum sphere,Glass,"Nov 11, 2016",75,tbd,
illum sphere,The  Ghosts of Then & Now,"Feb 11, 2014",77,tbd,
culted,Oblique to All Paths,"Jan 21, 2014",69,tbd,
junius,,,,,artist not found!
hurray for the riff raff,The Navigator,"Mar 10, 2017",83,7.1,
hurray for the riff raff,Small Town Heroes,"Feb 11, 2014",80,7.3,
leyland kirby,,,,,artist not found!
solids,Blame Confusion,"Feb 18, 2014",67,tbd,
woods of desolation,As the Stars,"Feb 6, 2014",85,tbd,
hands,The  Soul is Quick,"Feb 10, 2014",76,tbd,
hands,Synesthesia,"Apr 30, 2013",59,tbd,
lydia loveless,Real,"Aug 19, 2016",82,6.8,
lydia loveless,Somewhere Else,"Feb 18, 2014",81,8.3,
