artist,album,year,critic_score,user_score,comment
"henry flynt, the insurrections",,,,,artist not found!
isan,,,,,artist not found!
20 miles,,,,,artist not found!
paul burch,Great Chicago Fire,"Apr 24, 2012",80,tbd,
bravehearts,,,,,artist not found!
"ekkehard ehlers, joseph suchy, franz hautzinger",,,,,artist not found!
probot,Probot,"Feb 10, 2004",72,8.8,
"daft punk, leiji matsumoto",,,,,artist not found!
challenger,,,,,artist not found!
clouddead,Ten,"Mar 16, 2004",74,8.6,
"!!!, out hud",,,,,artist not found!
90 day men,Panda Park,"Feb 24, 2004",82,tbd,
ogurusu norihide,,,,,artist not found!
dead raven choir,,,,,artist not found!
melvin van peebles,Armed,"Sep 14, 2018",tbd,tbd,
melvin van peebles,Peeples,"May 10, 2013",52,5.6,
melvin van peebles,Redemption Road ,"Aug 26, 2011",44,4.5,
melvin van peebles,Confessionsofa Ex-Doofus-ItchyFooted Mutha,"Aug 21, 2009",44,tbd,
melvin van peebles,Baadasssss!,"May 28, 2004",75,8.4,
melvin van peebles,The Hebrew Hammer,"Dec 19, 2003",41,7.4,
melvin van peebles,Tales of Erotica,"Feb 21, 2003",24,tbd,
melvin van peebles,Jaws: The Revenge,"Jul 17, 1987",15,2.1,
melvin van peebles,Greased Lightning,"Jul 1, 1977",57,tbd,
melvin van peebles,Sweet Sweetback's Baadasssss Song,"Apr 23, 1971",71,tbd,
courtney love,J.T. Leroy,"Apr 26, 2019",55,5.5,
courtney love,"Jim & Andy: The Great Beyond — Featuring a Very Special, Contractually Obligated Mention of Tony Clifton","Nov 17, 2017",77,8.6,
courtney love,Kurt Cobain: Montage of Heck,"Apr 24, 2015",83,7.8,
courtney love,Hit So Hard,"Apr 13, 2012",52,7.2,
courtney love,Kurt Cobain About a Son,"Oct 3, 2007",69,7.6,
courtney love,Last Party 2000,"Oct 24, 2003",37,tbd,
courtney love,Trapped,"Sep 20, 2002",42,8.5,
courtney love,Bounce: Behind the Velvet Rope,"Sep 7, 2001",36,tbd,
courtney love,The People vs. Larry Flynt,"Dec 25, 1996",79,8.6,
courtney love,Feeling Minnesota,"Sep 13, 1996",30,7.9,
courtney love,Basquiat,"Aug 9, 1996",65,tbd,
courtney love,Sid and Nancy,"Nov 7, 1986",76,tbd,
klezmatics,,,,,artist not found!
bottle rockets,,,,,artist not found!
evergreen,,,,,artist not found!
aero,,,,,artist not found!
relict,,,,,artist not found!
yes,Saints Row (X360),"Aug 29, 2006",81,7.5,
yes,World of Warcraft (PC),"Nov 23, 2004",93,7.4,
yes,Warcraft III: The Frozen Throne (PC),"Jul 1, 2003",88,9.0,
yes,Warcraft III: Reign of Chaos (PC),"Jul 3, 2002",92,9.1,
yes,Diablo II: Lord of Destruction (PC),"Jun 27, 2001",87,9.0,
yes,Diablo II (PC),"Jun 29, 2000",88,8.8,
yes,Starcraft (PC),"Mar 31, 1998",88,9.1,
my favorite,,,,,artist not found!
all night radio,Spirit Stereo Frequency,"Feb 17, 2004",76,8.3,
auteurs,,,,,artist not found!
triosk meets jan jelinek,,,,,artist not found!
sami koivikko,,,,,artist not found!
zoot woman,Star Climbing,"Aug 29, 2014",60,tbd,
amon dl,,,,,artist not found!
asheru & blue black,,,,,artist not found!
28th day,,,,,artist not found!
phantom planet,Raise The Dead,"Apr 15, 2008",71,8.8,
phantom planet,Phantom Planet,"Jan 6, 2004",66,8.9,
phantom planet,The Guest,"Feb 26, 2002",71,8.4,
adventure time,,,,,artist not found!
jack nitzsche,,,,,artist not found!
"jack white, alison krauss",,,,,artist not found!
remarc,,,,,artist not found!
"bobby conn, the glass gypsies",,,,,artist not found!
dub narcotic,,,,,artist not found!
movietone,,,,,artist not found!
wannadies,,,,,artist not found!
music a.m.,,,,,artist not found!
absolute grey,,,,,artist not found!
millennium,,,,,artist not found!
martin rev,Stigmata,"Jan 5, 2010",63,tbd,
bluegrazer,,,,,artist not found!
caural,,,,,artist not found!
l.a. carnival,,,,,artist not found!
the pearlfishers,,,,,artist not found!
iven schmidt,,,,,artist not found!
