artist,album,year,critic_score,user_score,comment
from monument to masses,,,,,artist not found!
destiny's child,,,,,artist not found!
the joggers,With A Cape And A Cane,"Sep 27, 2005",70,7.9,
the band,Music from Big Pink [50th Anniversary],"Aug 31, 2018",99,7.8,
the band,The Basement Tapes Complete: The Bootleg Series Vol. 11,"Nov 4, 2014",99,7.6,
the band,Live at the Academy of Music 1971,"Sep 17, 2013",92,7.1,
make a rising,,,,,artist not found!
rev run,Madden NFL 06 (X360),"Nov 16, 2005",74,5.2,
rev run,Madden NFL 06 (PS2),"Aug 8, 2005",88,8.0,
rev run,Madden NFL 06 (XBOX),"Aug 8, 2005",86,6.8,
t. raumschmiere,Blitzkrieg Pop,"Aug 23, 2005",62,tbd,
wayne b,,,,,artist not found!
diamond nights,,,,,artist not found!
joan of arc,1984,"Jun 1, 2018",70,tbd,
joan of arc,He's Got the Whole This Land Is Your Land in His Hands,"Jan 20, 2017",60,5.3,
joan of arc,Testimonium Songs,"Jul 30, 2013",60,tbd,
joan of arc,Joan Of Arc,"Nov 27, 2012",73,tbd,
joan of arc,Life Like,"May 10, 2011",73,tbd,
joan of arc,Flowers,"Jun 9, 2009",61,tbd,
joan of arc,Boo! Human,"May 20, 2008",71,tbd,
joan of arc,"Joan Of Arc, Dick Cheney, Mark Twain...","Aug 24, 2004",70,8.6,
joan of arc,In Rape Fantasy And Terror Sex We Trust,"May 27, 2003",63,tbd,
joan of arc,So Much Staying Alive & Lovelessness,"Feb 4, 2003",75,tbd,
liz janes,Say Goodbye,"Dec 7, 2010",75,tbd,
ninja high school,Young Adults Against Suicide,"Oct 18, 2005",59,7.4,
delia gonzalez and gavin russom,,,,,artist not found!
talking heads,The Name Of This Band Is Talking Heads [2004 Version],"Aug 17, 2004",93,8.9,
talking heads,Once In A Lifetime,"Nov 18, 2003",83,8.3,
the deadly snakes,,,,,artist not found!
j live,,,,,artist not found!
cerberus shoal,,,,,artist not found!
neon blonde,,,,,artist not found!
deus,Keep You Close,"Oct 3, 2011",70,7.2,
deus,Vantage Point,"Apr 21, 2008",66,8.3,
tren brothers,,,,,artist not found!
swords,,,,,artist not found!
paul wall,I Hope They Serve Beer in Hell,"Sep 25, 2009",26,4.6,
hackensaw boys,,,,,artist not found!
amusement parks on fire,,,,,artist not found!
the hospitals,,,,,artist not found!
armand van helden,Quack,"Apr 15, 2014",76,8.1,
armand van helden,Gandhi Kahn,"Oct 2, 2001",63,tbd,
armand van helden,Killing Puritans,"Jun 6, 2000",62,tbd,
kiss me deadly,,,,,artist not found!
the sun,,,,,artist not found!
ghost of monkshood,,,,,artist not found!
the occasion,,,,,artist not found!
giant drag,,,,,artist not found!
dj spooky,"Deconstructing Dad: The Music, Machines and Mystery of Raymond Scott","Jul 13, 2012",65,tbd,
dj spooky,Moog,"Sep 24, 2004",51,tbd,
kepler,,,,,artist not found!
