artist,album,year,critic_score,user_score,comment
icky boyfriends,,,,,artist not found!
subtitle,,,,,artist not found!
without gravity,,,,,artist not found!
the posies,Solid States,"May 6, 2016",68,tbd,
the posies,Every Kind Of Light,"Jun 28, 2005",66,8.3,
the posies,Nice Cheekbones and a Ph.D,"Mar 6, 2001",65,tbd,
the nein,Wrath Of Circuits,"May 17, 2005",70,tbd,
the body haters,,,,,artist not found!
oxes,,,,,artist not found!
dipset,,,,,artist not found!
alaska!,,,,,artist not found!
statistics,Often Lie,"Jul 12, 2005",57,tbd,
statistics,Leave Your Name,"Jan 20, 2004",66,8.2,
funkadelic,Reworked by Detroiters,"Nov 3, 2017",77,tbd,
elektro4,,,,,artist not found!
turbonegro,,,,,artist not found!
clor,Clor,"Jul 25, 2005",76,8.7,
bakonour,,,,,artist not found!
unklesounds,,,,,artist not found!
spires that in the sunset rise,,,,,artist not found!
negativland,No Business,"May 24, 2005",69,tbd,
negativland,Deathsentences of the Polished & Structurally Weak,"Oct 1, 2002",59,tbd,
ferenc,,,,,artist not found!
denison witmer,Denison Witmer,"Apr 30, 2013",69,tbd,
merzbow,,,,,artist not found!
eric malmberg,,,,,artist not found!
tosca,Odeon,"Feb 5, 2013",61,tbd,
tosca,j.a.c.,"May 31, 2005",73,tbd,
youth group,Casino Twilight Dogs,"Jan 30, 2007",60,8.5,
alan braxe,,,,,artist not found!
the starvations,,,,,artist not found!
the black dahlia murder,Nightbringers,"Oct 6, 2017",85,8.0,
the black dahlia murder,Everblack,"Jun 11, 2013",72,8.4,
the black dahlia murder,Ritual,"Jun 21, 2011",82,8.7,
hosono & yokoo,,,,,artist not found!
little barrie,Shadow,"May 27, 2014",74,tbd,
little barrie,Stand Your Ground,"Jan 29, 2007",68,tbd,
little barrie,We Are Little Barrie,"Jun 28, 2005",69,8.8,
nick castro and the poison tree,,,,,artist not found!
vanishing kids,,,,,artist not found!
"jim orourke, white out, william winant",,,,,artist not found!
"grandmaster flash, grandmaster flash & the furious five",,,,,artist not found!
esmerine,Mechanics of Dominion,"Oct 20, 2017",83,tbd,
esmerine,Dalmak,"Sep 3, 2013",79,tbd,
puerto muerto,,,,,artist not found!
the redwalls,,,,,artist not found!
platinum pied pipers,,,,,artist not found!
femi kuti,One People One World,"Feb 23, 2018",71,tbd,
femi kuti,No Place for My Dream,"Jun 25, 2013",74,tbd,
femi kuti,Africa for Africa,"Apr 12, 2011",79,tbd,
femi kuti,Day By Day,"Nov 18, 2008",73,tbd,
stromba,,,,,artist not found!
richard buckner & jon langford,,,,,artist not found!
slim thug,Madden NFL 06 (X360),"Nov 16, 2005",74,5.2,
slim thug,Madden NFL 06 (PS2),"Aug 8, 2005",88,8.0,
slim thug,Madden NFL 06 (XBOX),"Aug 8, 2005",86,6.8,
the primary 5,,,,,artist not found!
13th floor elevators,You're Gonna Miss Me,"Jun 8, 2007",64,7.0,
ying yang twins,USA (United State Of Atlanta),"Jun 28, 2005",76,6.5,
the peppermints,,,,,artist not found!
collapsar,,,,,artist not found!
f.s. blumm,,,,,artist not found!
doris henson,,,,,artist not found!
smegma,,,,,artist not found!
skeletons and the girl faced boys,,,,,artist not found!
slow dazzle,,,,,artist not found!
white rock,,,,,artist not found!
the planet the,,,,,artist not found!
desmond dekker,,,,,artist not found!
fifths of seven,,,,,artist not found!
no wait wait,,,,,artist not found!
lowlights,,,,,artist not found!
ol' dirty bastard,,,,,artist not found!
battletorn,,,,,artist not found!
the red chord,,,,,artist not found!
more dogs,,,,,artist not found!
rod lee,,,,,artist not found!
yann tiersen & shannon wright,,,,,artist not found!
joy zipper,,,,,artist not found!
eyeball skeleton,,,,,artist not found!
goon moon,,,,,artist not found!
black sunday,,,,,artist not found!
orthrelm,,,,,artist not found!
22 20s,22-20s,"Apr 19, 2005",61,7.9,
need new body,,,,,artist not found!
billy corgan,Mellon Collie and the Infinite Sadness [Deluxe Edition],"Dec 4, 2012",88,8.9,
billy corgan,Gish [Deluxe Edition],"Nov 29, 2011",87,8.8,
billy corgan,Siamese Dream [Deluxe Edition],"Nov 29, 2011",96,9.0,
billy corgan,TheFutureEmbrace,"Jun 21, 2005",59,7.7,
the tears,Here Come The Tears,"Jun 6, 2005",74,8.2,
applied communications,,,,,artist not found!
laura cantrell,No Way There from Here,"Jan 28, 2014",82,tbd,
laura cantrell,Kitty Wells Dresses: Songs of the Queen of Country Music,"May 17, 2011",77,tbd,
laura cantrell,Humming By The Flowered Vine,"Jun 21, 2005",80,8.5,
engineers,Always Returning,"Sep 16, 2014",76,tbd,
engineers,Three Fact Fader,"Oct 13, 2009",80,7.6,
engineers,Engineers,"Jun 21, 2005",81,8.6,
the orange peels,,,,,artist not found!
the dead 60s,,,,,artist not found!
t.o.k.,,,,,artist not found!
bear vs. shark,,,,,artist not found!
thrones,,,,,artist not found!
the oranges band,,,,,artist not found!
despistado,,,,,artist not found!
spoonie gee,,,,,artist not found!
tullycraft,"Beat, Surf, Fun","Mar 5, 2002",75,tbd,
chris cutler,,,,,artist not found!
young gunz,,,,,artist not found!
kirsty maccoll,,,,,artist not found!
