artist,album,year,critic_score,user_score,comment
jimi tents,,,,,artist not found!
craw,,,,,artist not found!
young marco,,,,,artist not found!
chief keef,Finally Rich,"Dec 18, 2012",62,5.1,
willow,,,,,artist not found!
mikael tariverdiev,Film Music [Box Set],"Nov 20, 2015",88,tbd,
kyle hall,,,,,artist not found!
odd nosdam,Level Live Wires,"Aug 28, 2007",79,7.0,
odd nosdam,Burner,"Jun 14, 2005",81,8.8,
odd nosdam,No More Wig For Ohio,"May 27, 2003",62,8.3,
ches smith,,,,,artist not found!
ennio morricone,Metal Gear Solid V: Ground Zeroes (PS3),"Mar 18, 2014",66,6.0,
ennio morricone,Metal Gear Solid V: Ground Zeroes (XONE),"Mar 18, 2014",76,5.5,
ennio morricone,Metal Gear Solid V: Ground Zeroes (PS4),"Mar 18, 2014",75,6.4,
hinds,I Don't Run,"Apr 6, 2018",77,7.7,
hinds,Leave Me Alone,"Jan 8, 2016",74,7.6,
august alsina,Testimony,"Apr 15, 2014",79,8.1,
the soft pink truth,Why Do the Heathen Rage?,"Jun 17, 2014",82,tbd,
the soft pink truth,Do You Want New Wave Or Do You Want The Soft Pink Truth?,"Nov 2, 2004",71,7.8,
gag,,,,,artist not found!
pusha t,DAYTONA,"May 25, 2018",86,8.5,
pusha t,King Push - Darkest Before Dawn: The Prelude,"Dec 18, 2015",85,8.4,
pusha t,My Name Is My Name,"Oct 7, 2013",81,8.3,
pusha t,Fear of God II: Let Us Pray [EP],"Nov 8, 2011",69,8.0,
"aesop rock, homeboy sandman",,,,,artist not found!
teenage jesus & the jerks,,,,,artist not found!
archy marshall,A New Place 2 Drown,"Dec 11, 2015",74,7.9,
wiki,,,,,artist not found!
harmonia,,,,,artist not found!
the spook school,Could It Be Different?,"Jan 26, 2018",79,6.9,
the spook school,Try to Be Hopeful,"Oct 9, 2015",81,tbd,
baroness,Gold & Grey,"Jun 14, 2019",91,7.3,
baroness,Purple,"Dec 18, 2015",85,8.6,
baroness,Live at Maida Vale [EP],"Jul 23, 2013",76,tbd,
baroness,Yellow & Green,"Jul 17, 2012",82,8.2,
baroness,Blue Record,"Oct 13, 2009",87,8.7,
rick ross,Port of Miami 2,"Aug 9, 2019",67,6.6,
rick ross,Rather You Than Me,"Mar 17, 2017",71,7.0,
